|6.6.6
Archiving\03_Data\Deq/QFM_m5/WD94/WD94_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        97.2588        2.74118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        97.2481        2.75186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        97.2375        2.76255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        97.2268        2.77324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        97.2161        2.78393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        97.2054        2.79462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        97.1947        2.80532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        97.1840        2.81603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        97.1733        2.82673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        97.1629        2.83715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        97.1524        2.84757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        97.1420        2.85800                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        97.1316        2.86843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        97.1211        2.87886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        97.1107        2.88929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        97.1003        2.89973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        97.0898        2.91017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        97.0797        2.92033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        97.0695        2.93050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        97.0593        2.94067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        97.0492        2.95084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        97.0390        2.96101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        97.0288        2.97119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        97.0186        2.98137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        97.0084        2.99155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        96.9985        3.00153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        96.9885        3.01152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        96.9785        3.02150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        96.9685        3.03149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        96.9586        3.04137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        96.9487        3.05125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        96.2063        3.04937       0.744334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        95.9637        3.05653       0.979763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        95.3830        3.05542        1.56160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        94.8018        3.05431        2.14391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        94.2201        3.05320        2.72668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        93.6380        3.05208        3.30992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        93.0554        3.05096        3.89363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        92.4724        3.04983        4.47779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        91.8889        3.04869        5.06242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        91.3050        3.04755        5.64750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        90.7583        3.04296        6.19878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        90.2112        3.03836        6.75042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        89.6638        3.03375        7.30244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        89.1161        3.02913        7.85482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        88.5679        3.02451        8.40756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        88.0195        3.01988        8.96066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        87.4706        3.01524        9.51412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        86.9215        3.01060        10.0679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        86.3879        3.00381        10.6083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        85.8540        2.99701        11.1490                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        85.3239        2.98982        11.6862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        84.7905        2.98104        12.2276       0.848907E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        84.2511        2.97070        12.7659       0.123258E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        83.7113        2.96035        13.3045       0.238100E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        83.1713        2.94999        13.8434       0.353012E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        82.6309        2.93962        14.3826       0.467996E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        82.0941        2.92616        14.9218       0.578554E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        81.5571        2.91268        15.4613       0.689173E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        81.0198        2.89920        16.0010       0.799851E-001            NaN            NaN            NaN            NaN            NaN            NaN
