|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/TAY13/TAY13_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1592.95        2500.00        99.9031                 NaN  0.833967E-001  0.134651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00        99.3454                 NaN  0.612183       0.418972E-001  0.527943E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        2500.00        99.3421                 NaN  0.578566       0.793294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00        99.3515                 NaN  0.569981       0.785115E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        2500.00        99.3426                 NaN  0.574508       0.828086E-001  0.116671E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00        99.3801                 NaN  0.544992       0.748827E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        2500.00        99.3680                 NaN  0.556129       0.758358E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00        99.3736                 NaN  0.552003       0.744270E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        2500.00        99.3801                 NaN  0.546301       0.736374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        2500.00        99.3824                 NaN  0.545030       0.725316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        2500.00        99.3931                 NaN  0.535241       0.716283E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00        99.3964                 NaN  0.532949       0.706972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        2500.00        99.4016                 NaN  0.528304       0.701384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00        99.4071                 NaN  0.523549       0.693876E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        2500.00        99.4041                 NaN  0.504310       0.915731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        2500.00        99.4229                 NaN  0.536203       0.409315E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        2500.00        99.3877                 NaN  0.541061       0.712532E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
