|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/TAY13/TAY13_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1592.95        2500.00        99.8893                 NaN  0.949522E-001  0.157793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00        99.2533                 NaN  0.696750       0.490811E-001  0.820292E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        2500.00        99.2484                 NaN  0.658660       0.929707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00        99.2588                 NaN  0.649106       0.920704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        2500.00        99.2481                 NaN  0.654575       0.971306E-001  0.181289E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00        99.2910                 NaN  0.621089       0.878917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        2500.00        99.2770                 NaN  0.633937       0.890502E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00        99.2831                 NaN  0.629457       0.874416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        2500.00        99.2903                 NaN  0.623165       0.865533E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        2500.00        99.2928                 NaN  0.621887       0.852846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        2500.00        99.3048                 NaN  0.610964       0.842691E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00        99.3082                 NaN  0.608537       0.832160E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        2500.00        99.3139                 NaN  0.603449       0.826076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00        99.3200                 NaN  0.598238       0.817691E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        2500.00        99.3157                 NaN  0.576348       0.107980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        2500.00        99.3386                 NaN  0.613118       0.482755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        2500.00        99.2972                 NaN  0.618720       0.840779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00        99.3830                 NaN  0.544891       0.720806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        2500.00        99.3471                 NaN  0.577384       0.755654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        2500.00        98.9191                 NaN  0.952990       0.127925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        2500.00        99.7940                 NaN  0.182341       0.236659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00        99.3623                 NaN  0.566084       0.716486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        2500.00        99.3666                 NaN  0.561477       0.719092E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        2500.00        99.3730                 NaN  0.554259       0.727176E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        2500.00        99.3796                 NaN  0.550853       0.695768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00        99.3811                 NaN  0.550527       0.684152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00        99.3865                 NaN  0.545649       0.678382E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.83        2500.00        99.3897                 NaN  0.546865       0.634684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.34        2500.00        99.3951                 NaN  0.539459       0.654495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.85        2500.00        99.4021                 NaN  0.533342       0.645779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.37        2500.00        99.4002                 NaN  0.534309       0.654974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00        99.4157                 NaN  0.522008       0.623199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00        99.4156                 NaN  0.522198       0.621995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        2500.00        99.4186                 NaN  0.520625       0.608044E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.42        2500.00        99.9920                 NaN  0.796793E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.94        2500.00        98.8593                 NaN   1.01571       0.124996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.45        2500.00        99.4344                 NaN  0.508080       0.575566E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.96        2500.00        99.4355                 NaN  0.507065       0.574705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.48        2500.00        99.4377                 NaN  0.505726       0.565483E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00        99.4421                 NaN  0.502738       0.551764E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.51        2500.00        99.4473                 NaN  0.498469       0.542156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        2500.00        99.4500                 NaN  0.496461       0.535473E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.53        2500.00        99.4526                 NaN  0.494280       0.531688E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.05        2500.00        99.4569                 NaN  0.491878       0.511800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.56        2500.00        99.3343                 NaN  0.606705       0.590311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        2500.00        99.5885                 NaN  0.372719       0.387866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.59        2500.00        99.4685                 NaN  0.482010       0.495129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        2500.00        98.9158                 NaN  0.986784       0.974085E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00        99.5115                 NaN  0.445832       0.427032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.65        2500.00        99.4797                 NaN  0.474402       0.458620E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        2500.00        99.4849                 NaN  0.470751       0.443295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.67        2500.00        99.4881                 NaN  0.467939       0.439324E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        2500.00        99.4898                 NaN  0.466586       0.436514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        2500.00        99.4940                 NaN  0.463841       0.421673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.22        2500.00        99.4974                 NaN  0.461251       0.413745E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.73        2500.00        99.4523                 NaN  0.503798       0.438863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        2500.00        99.5483                 NaN  0.416909       0.348272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.76        2500.00        99.5062                 NaN  0.454971       0.388540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        2500.00        99.5081                 NaN  0.454138       0.377751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.78        2500.00        99.4653                 NaN  0.493134       0.415754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        2500.00        99.5599                 NaN  0.407659       0.324714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.81        2500.00        99.5156                 NaN  0.449746       0.346475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.33        2500.00        99.5183                 NaN  0.448289       0.333832E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.84        2500.00        99.5201                 NaN  0.447555       0.323143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.35        2500.00        99.5235                 NaN  0.444248       0.322951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.87        2500.00        99.5261                 NaN  0.443303       0.306267E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.38        2500.00        99.5267                 NaN  0.443605       0.297403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        2500.00        99.5309                 NaN  0.440143       0.289595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        2500.00        99.7120                 NaN  0.273438       0.145548E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
