|6.6.6
Archiving\03_Data\eqLP/QFM_m0.5/KHA22/KHA22_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          O(HP)          mang           Sp(TH)         pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.4838       0.305898                 NaN  0.210290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.4724       0.317345                 NaN  0.210304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.4609       0.328794                 NaN  0.210319                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.4494       0.340246                 NaN  0.210334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.4380       0.351700                 NaN  0.210349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.4265       0.363156                 NaN  0.210364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.4150       0.374615                 NaN  0.210379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.4035       0.386076                 NaN  0.210394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.3921       0.397539                 NaN  0.210409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.3689       0.420674                 NaN  0.210425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.3457       0.443814                 NaN  0.210442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.3226       0.466960                 NaN  0.210459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.2994       0.490110                 NaN  0.210475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.2762       0.513266                 NaN  0.210492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.2531       0.536426                 NaN  0.210509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.2299       0.559592                 NaN  0.210525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.2067       0.582763                 NaN  0.210542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.1478       0.641679                 NaN  0.210564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.0888       0.700611                 NaN  0.210586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.0298       0.759559                 NaN  0.210608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        98.9708       0.818523                 NaN  0.210630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        98.9118       0.877503                 NaN  0.210652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        98.8528       0.936498                 NaN  0.210673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        98.7938       0.995510                 NaN  0.210695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.7347        1.05454                 NaN  0.210717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.5121        1.27715                 NaN  0.210762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.2893        1.49988                 NaN  0.210808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.0664        1.72271                 NaN  0.210853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        97.8434        1.94565                 NaN  0.210898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        97.6204        2.16870                 NaN  0.210943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        97.3972        2.39186                 NaN  0.210988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        97.1738        2.61512                 NaN  0.211033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        96.9504        2.83849                 NaN  0.211078                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        96.4922        3.29660                 NaN  0.211156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        96.0337        3.75508                 NaN  0.211234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        95.5748        4.21392                 NaN  0.211312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        95.1155        4.67311                 NaN  0.211389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        93.6610        5.86683                 NaN  0.467831E-001            NaN  0.425407                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        92.8225        6.61956                 NaN            NaN  0.113665E-001  0.546525                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        92.2393        7.18969                 NaN            NaN  0.241544E-001  0.546807                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        91.6556        7.76037                 NaN            NaN  0.369554E-001  0.547087                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        91.0750        8.32866                 NaN            NaN  0.490085E-001  0.547367                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        90.4938        8.89750                 NaN            NaN  0.610737E-001  0.547646                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        89.9121        9.46687                 NaN            NaN  0.731512E-001  0.547924                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        89.3298        10.0368                 NaN            NaN  0.852408E-001  0.548201                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        88.7469        10.6072                 NaN            NaN  0.973425E-001  0.548478                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        88.1636        11.1782                 NaN            NaN  0.109456       0.548754                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        87.5796        11.7498                 NaN            NaN  0.121582       0.549029                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        86.9952        12.3218                 NaN            NaN  0.133720       0.549304                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        86.4345        12.8711                 NaN            NaN  0.144807       0.549572                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        85.8734        13.4209                 NaN            NaN  0.155906       0.549838                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        85.3117        13.9712                 NaN            NaN  0.167015       0.550105                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        84.7496        14.5219                 NaN            NaN  0.178134       0.550370                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        84.1869        15.0732                 NaN            NaN  0.189264       0.550635                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        83.6238        15.6249                 NaN            NaN  0.200404       0.550898                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        83.0602        16.1771                 NaN            NaN  0.211555       0.551161                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        82.4961        16.7298                 NaN            NaN  0.222715       0.551424                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        81.9633        17.2520                 NaN            NaN  0.232970       0.551675                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        81.4301        17.7747                 NaN            NaN  0.243233       0.551925                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        80.8965        18.2978                 NaN            NaN  0.253505       0.552175                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        80.3624        18.8214                 NaN            NaN  0.263786       0.552424                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        79.8279        19.3453                 NaN            NaN  0.274075       0.552672                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        79.2930        19.8697                 NaN            NaN  0.284374       0.552919                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        78.7577        20.3945                 NaN            NaN  0.294681       0.553165                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        78.2219        20.9197                 NaN            NaN  0.304997       0.553411                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        77.7108        21.4212                 NaN            NaN  0.314418       0.553648                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        77.1992        21.9231                 NaN            NaN  0.323846       0.553884                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        76.6872        22.4254                 NaN            NaN  0.333282       0.554119                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        76.1749        22.9280                 NaN            NaN  0.342726       0.554354                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        75.6622        23.4310                 NaN            NaN  0.352177       0.554588                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        75.1492        23.9344                 NaN            NaN  0.361635       0.554821                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        74.6357        24.4381                 NaN            NaN  0.371100       0.555053                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        74.1219        24.9422                 NaN            NaN  0.380573       0.555284                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        73.6326        25.4225                 NaN            NaN  0.389339       0.555505                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        73.1430        25.9032                 NaN            NaN  0.398112       0.555726                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        72.6530        26.3841                 NaN            NaN  0.406890       0.555945                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        72.1627        26.8654                 NaN            NaN  0.415675       0.556164                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        71.6721        27.3470                 NaN            NaN  0.424466       0.556382                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        71.1812        27.8289                 NaN            NaN  0.433263       0.556599                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        70.6900        28.3111                 NaN            NaN  0.442067       0.556815                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        70.1985        28.7936                 NaN            NaN  0.450876       0.557030                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        69.7286        29.2551                 NaN            NaN  0.459021       0.557236                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        69.2585        29.7169                 NaN            NaN  0.467171       0.557441                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        68.7881        30.1789                 NaN            NaN  0.475326       0.557645                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        68.3175        30.6412                 NaN            NaN  0.483487       0.557848                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        67.8466        31.1037                 NaN            NaN  0.491652       0.558050                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        67.3754        31.5665                 NaN            NaN  0.499823       0.558251                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        66.9039        32.0296                 NaN            NaN  0.507998       0.558451                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        66.4322        32.4929                 NaN            NaN  0.516179       0.558651                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        65.9827        32.9347                 NaN            NaN  0.523779       0.558840                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        65.5330        33.3766                 NaN            NaN  0.531384       0.559028                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        65.0830        33.8188                 NaN            NaN  0.538993       0.559216                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        64.6328        34.2612                 NaN            NaN  0.546606       0.559402                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        64.1824        34.7038                 NaN            NaN  0.554223       0.559588                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        63.7318        35.1466                 NaN            NaN  0.561844       0.559772                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        63.2809        35.5896                 NaN            NaN  0.569469       0.559956                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        62.8299        36.0329                 NaN            NaN  0.577098       0.560138                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        62.4025        36.4530                 NaN            NaN  0.584243       0.560310                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        61.9749        36.8733                 NaN            NaN  0.591391       0.560481                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        61.5471        37.2937                 NaN            NaN  0.598543       0.560651                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        61.1191        37.7144                 NaN            NaN  0.605698       0.560820                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        60.6910        38.1352                 NaN            NaN  0.612856       0.560988                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        60.2627        38.5561                 NaN            NaN  0.620017       0.561155                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        59.8342        38.9773                 NaN            NaN  0.627182       0.561321                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        59.4056        39.3985                 NaN            NaN  0.634349       0.561486                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        59.0031        39.7942                 NaN            NaN  0.641118       0.561639                 NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        58.6003        40.1900                 NaN            NaN  0.647889       0.561792                 NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        58.1975        40.5859                 NaN            NaN  0.654663       0.561944                 NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        57.7945        40.9819                 NaN            NaN  0.661439       0.562095                 NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        57.3915        41.3781                 NaN            NaN  0.668218       0.562244                 NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        56.9883        41.7743                 NaN            NaN  0.675000       0.562393                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        56.5849        42.1707                 NaN            NaN  0.681783       0.562540                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        56.1815        42.5672                 NaN            NaN  0.688569       0.562687                 NaN            NaN            NaN            NaN            NaN            NaN
