|6.6.6
Archiving\03_Data\eqLP/QFM_m0.5/GRV/GRV_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        500.000        99.3259       0.674070                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.3259       0.674143                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.3258       0.674216                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.3257       0.674290                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.3256       0.674363                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.3256       0.674437                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.3255       0.674510                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.3254       0.674584                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.3253       0.674657                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.3253       0.674730                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.3252       0.674804                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.3251       0.674877                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.3250       0.674951                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.3250       0.675024                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.3249       0.675098                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.3248       0.675172                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.3248       0.675246                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.3247       0.675319                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.3246       0.675393                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.3245       0.675466                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.3245       0.675540                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.3244       0.675614                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.3243       0.675687                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.3242       0.675761                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.3242       0.675835                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.3241       0.675909                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.3240       0.675983                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.3239       0.676057                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.3239       0.676130                 NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.3238       0.676204                 NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.3237       0.676279                 NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.3236       0.676353                 NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.3236       0.676427                 NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.3235       0.676500                 NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.3234       0.676574                 NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.3234       0.676648                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.3233       0.676721                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.3232       0.676795                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.3231       0.676869                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.3231       0.676943                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.3230       0.677017                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.3229       0.677091                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.3228       0.677165                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.3228       0.677239                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.3227       0.677313                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.3226       0.677387                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.3225       0.677461                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.3225       0.677535                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.3224       0.677609                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.3223       0.677683                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        99.3222       0.677757                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        99.3222       0.677831                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.3221       0.677905                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        99.3220       0.677979                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        99.3219       0.678053                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        99.3219       0.678127                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        99.3218       0.678201                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        99.3173       0.678281       0.444907E-002            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        99.3077       0.678368       0.139105E-001            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        99.2927       0.678463       0.288089E-001            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        99.2777       0.678558       0.437114E-001            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        99.2632       0.678651       0.581233E-001            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        99.2487       0.678745       0.725391E-001            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        99.2342       0.678838       0.869589E-001            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        99.2197       0.678932       0.101383                 NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        99.2058       0.679024       0.115146                 NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        99.1920       0.679116       0.128914                 NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        99.1781       0.679209       0.142685                 NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        99.1642       0.679301       0.156460                 NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        99.1504       0.679393       0.170238                 NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        99.1365       0.679485       0.184020                 NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        99.1226       0.679578       0.197806                 NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        99.1087       0.679670       0.211596                 NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        99.0955       0.679761       0.224770                 NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        99.0822       0.679852       0.237948                 NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        99.0689       0.679942       0.251129                 NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        99.0557       0.680033       0.264313                 NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        99.0428       0.680124       0.277108                 NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        99.0299       0.680214       0.289906                 NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        99.0171       0.680304       0.302603                 NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        98.3892       0.680640       0.314449       0.615686                 NaN            NaN            NaN            NaN
  1740.38        500.000        97.6409       0.681023       0.325650        1.35246                 NaN            NaN            NaN            NaN
  1737.18        500.000        96.8917       0.681405       0.336862        2.09004                 NaN            NaN            NaN            NaN
  1733.97        500.000        96.1417       0.681786       0.348086        2.82841                 NaN            NaN            NaN            NaN
  1730.77        500.000        95.3909       0.682164       0.359321        3.56757                 NaN            NaN            NaN            NaN
