|6.6.6
Archiving\03_Data\eqLP/QFM_m3.75/Y98/Y98_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        500.000        99.0123                 NaN  0.964053       0.236625E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.0123                 NaN  0.964052       0.236625E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.0123                 NaN  0.964052       0.236625E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.0123                 NaN  0.964052       0.236625E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.0123                 NaN  0.964051       0.236625E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.0123                 NaN  0.964051       0.236625E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.0123                 NaN  0.964050       0.236624E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.0123                 NaN  0.964050       0.236624E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.0123                 NaN  0.964050       0.236624E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.0123                 NaN  0.964049       0.236624E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.0123                 NaN  0.964049       0.236624E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.0123                 NaN  0.964048       0.236624E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.0123                 NaN  0.964048       0.236624E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.0123                 NaN  0.964047       0.236624E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.0123                 NaN  0.964047       0.236624E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.0123                 NaN  0.964047       0.236624E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.0123                 NaN  0.964046       0.236623E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.0123                 NaN  0.964046       0.236623E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.0123                 NaN  0.964045       0.236623E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.0123                 NaN  0.964045       0.236623E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.0123                 NaN  0.964044       0.236623E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.0123                 NaN  0.964044       0.236623E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.0123                 NaN  0.964043       0.236623E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.0123                 NaN  0.964043       0.236623E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.0123                 NaN  0.964042       0.236623E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.0123                 NaN  0.964042       0.236622E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.0123                 NaN  0.964041       0.236622E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.0123                 NaN  0.964041       0.236622E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.0123                 NaN  0.964040       0.236622E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.0123                 NaN  0.964040       0.236622E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.0123                 NaN  0.964039       0.236622E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.0123                 NaN  0.964039       0.236622E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.0123                 NaN  0.964038       0.236622E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.0123                 NaN  0.964038       0.236621E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.0123                 NaN  0.964037       0.236621E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.0123                 NaN  0.964037       0.236621E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.0123                 NaN  0.964036       0.236621E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.0123                 NaN  0.964036       0.236621E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.0123                 NaN  0.964035       0.236621E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.0123                 NaN  0.964034       0.236621E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.0123                 NaN  0.964034       0.236620E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.0123                 NaN  0.964033       0.236620E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.0123                 NaN  0.964033       0.236620E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.0123                 NaN  0.964032       0.236620E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.0123                 NaN  0.964031       0.236620E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.0123                 NaN  0.964031       0.236620E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.0123                 NaN  0.964030       0.236619E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.0123                 NaN  0.964029       0.236619E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.0123                 NaN  0.964029       0.236619E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.0123                 NaN  0.964028       0.236619E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        99.0123                 NaN  0.964027       0.236619E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        99.0123                 NaN  0.964027       0.236619E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.0123                 NaN  0.964026       0.236619E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        99.0123                 NaN  0.964025       0.236618E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        99.0123                 NaN  0.964025       0.236618E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        99.0123                 NaN  0.964024       0.236618E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        99.0123                 NaN  0.964023       0.236618E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        99.0123                 NaN  0.964023       0.236618E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        99.0123                 NaN  0.964022       0.236617E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        99.0123                 NaN  0.964021       0.236617E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        99.0123                 NaN  0.964020       0.236617E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        99.0123                 NaN  0.964020       0.236617E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        99.0123                 NaN  0.964019       0.236617E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        99.0123                 NaN  0.964018       0.236617E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        99.0123                 NaN  0.964018       0.236616E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        99.0123                 NaN  0.964017       0.236616E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        99.0123                 NaN  0.964016       0.236616E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        99.0123                 NaN  0.964015       0.236616E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        99.0123                 NaN  0.964014       0.236616E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        99.0123                 NaN  0.964013       0.236615E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        99.0123                 NaN  0.964013       0.236615E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        99.0123                 NaN  0.964012       0.236615E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        99.0123                 NaN  0.964011       0.236615E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        99.0123                 NaN  0.964010       0.236615E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        99.0123                 NaN  0.964009       0.236614E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        99.0123                 NaN  0.964008       0.236614E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        99.0123                 NaN  0.964008       0.236614E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        99.0123                 NaN  0.964007       0.236614E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        99.0123                 NaN  0.964006       0.236614E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        99.0123                 NaN  0.964005       0.236613E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        99.0123                 NaN  0.964004       0.236613E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        99.0123                 NaN  0.964003       0.236613E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        99.0123                 NaN  0.964002       0.236613E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        99.0123                 NaN  0.964001       0.236612E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        99.0123                 NaN  0.964000       0.236612E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        99.0123                 NaN  0.963999       0.236612E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        99.0123                 NaN  0.963998       0.236612E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        99.0123                 NaN  0.963997       0.236611E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        99.0123                 NaN  0.963996       0.236611E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        99.0123                 NaN  0.963995       0.236611E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        99.0123                 NaN  0.963994       0.236611E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        99.0123                 NaN  0.963993       0.236610E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        99.0123                 NaN  0.963992       0.236610E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        99.0123                 NaN  0.963991       0.236610E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        99.0123                 NaN  0.963990       0.236610E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        99.0124                 NaN  0.963989       0.236609E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        99.0124                 NaN  0.963988       0.236609E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        99.0124                 NaN  0.963987       0.236609E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        99.0113                 NaN  0.963986       0.236609E-001  0.100841E-002            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        99.0113                 NaN  0.963986       0.236609E-001  0.100841E-002            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        98.8132       0.177180       0.963998       0.236612E-001  0.219857E-001            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        98.8132       0.177180       0.963998       0.236612E-001  0.219857E-001            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        98.8132       0.177180       0.963998       0.236612E-001  0.219857E-001            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        98.8132       0.177180       0.963998       0.236612E-001  0.219857E-001            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        98.9074                 NaN  0.963978       0.236607E-001  0.104949                 NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        98.8902                 NaN  0.963977       0.236606E-001  0.122195                 NaN            NaN            NaN            NaN            NaN
