|6.6.6
Archiving\03_Data\eqLP/QFM_m3.75/Y98/Y98_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        500.000        99.2191                 NaN  0.772598       0.831663E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.2190                 NaN  0.772671       0.831665E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.2189                 NaN  0.772744       0.831667E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.2189                 NaN  0.772818       0.831669E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.2188                 NaN  0.772891       0.831671E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.2187                 NaN  0.772965       0.831674E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.2186                 NaN  0.773039       0.831677E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.2186                 NaN  0.773113       0.831680E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.2185                 NaN  0.773186       0.831683E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.2184                 NaN  0.773260       0.831686E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.2183                 NaN  0.773334       0.831690E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.2183                 NaN  0.773408       0.831693E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.2182                 NaN  0.773482       0.831697E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.2181                 NaN  0.773557       0.831701E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.2181                 NaN  0.773631       0.831706E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.2180                 NaN  0.773705       0.831710E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.2179                 NaN  0.773779       0.831715E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.2178                 NaN  0.773854       0.831720E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.2178                 NaN  0.773928       0.831725E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.2177                 NaN  0.774003       0.831730E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.2176                 NaN  0.774077       0.831736E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.2175                 NaN  0.774152       0.831741E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.2175                 NaN  0.774227       0.831747E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.2174                 NaN  0.774301       0.831753E-002            NaN            NaN            NaN            NaN            NaN            NaN
