|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/Y98/Y98_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             ilm            San(TH)        q             
  1451.92        500.000        97.5537        1.50522       0.941046                 NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.1289       0.344658       0.526480                 NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        99.1410       0.519507       0.339499                 NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.1429       0.338027       0.519033       0.283152E-005            NaN            NaN            NaN            NaN
  1447.39        500.000        99.1511       0.335113       0.513818                 NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.1531       0.334506       0.512400                 NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.1623       0.330924       0.506800                 NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.1652       0.505392       0.329425                 NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.1646       0.506009       0.329348                 NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.1806       0.323083       0.496304                 NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.1824       0.495632       0.321994                 NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.1860       0.493623       0.320426                 NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.1764       0.323769       0.499794                 NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.2085       0.311189       0.480304                 NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        99.2013       0.313953       0.484771                 NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        99.2054       0.311938       0.482646                 NaN            NaN            NaN            NaN            NaN
  1433.80        500.000        99.2100       0.480000       0.309988                 NaN            NaN            NaN            NaN            NaN
  1432.67        500.000        99.2149       0.307818       0.477299                 NaN            NaN            NaN            NaN            NaN
  1431.53        500.000        99.2191       0.475079       0.305801                 NaN            NaN            NaN            NaN            NaN
  1430.40        500.000        99.2236       0.303823       0.472583                 NaN            NaN            NaN            NaN            NaN
  1429.27        500.000        98.9837       0.507439       0.407244                 NaN  0.101634                 NaN            NaN            NaN
  1428.13        500.000        97.8946       0.670039       0.876603                 NaN  0.558743                 NaN            NaN            NaN
  1427.00        500.000        97.9285       0.659640       0.862179                 NaN  0.549704                 NaN            NaN            NaN
  1425.87        500.000        97.9607       0.649839       0.848689                 NaN  0.540821                 NaN            NaN            NaN
  1424.74        500.000        97.9913       0.641307       0.835225                 NaN  0.532200                 NaN            NaN            NaN
  1423.60        500.000        98.0211       0.821915       0.632423       0.465668E-005  0.524563                 NaN            NaN            NaN
  1422.47        500.000        98.0565       0.807436       0.621463                 NaN  0.514590                 NaN            NaN            NaN
  1421.34        500.000        98.0831       0.795812       0.613700                 NaN  0.507419                 NaN            NaN            NaN
  1420.21        500.000        98.1111       0.784061       0.605295                 NaN  0.499552                 NaN            NaN            NaN
  1419.07        500.000        98.1384       0.772037       0.597219                 NaN  0.492325                 NaN            NaN            NaN
  1417.94        500.000        98.1658       0.588902       0.760621                 NaN  0.484724                 NaN            NaN            NaN
  1416.81        500.000        98.1907       0.750232       0.581255                 NaN  0.477782                 NaN            NaN            NaN
  1415.68        500.000        98.2178       0.738897       0.573013                 NaN  0.470256                 NaN            NaN            NaN
  1414.54        500.000        98.2402       0.565939       0.729816       0.250838E-005  0.464089                 NaN            NaN            NaN
  1413.41        500.000        98.2640       0.559258       0.719387       0.806402E-005  0.457312                 NaN            NaN            NaN
  1412.28        500.000        98.2886       0.709228       0.551211                 NaN  0.450931                 NaN            NaN            NaN
  1411.15        500.000        98.3097       0.544711       0.700775                 NaN  0.444832                 NaN            NaN            NaN
  1410.01        500.000        98.3337       0.537920       0.690340                 NaN  0.438084                 NaN            NaN            NaN
  1408.88        500.000        98.3559       0.530704       0.681121                 NaN  0.432226                 NaN            NaN            NaN
  1407.75        500.000        98.3765       0.672745       0.524139                 NaN  0.426582                 NaN            NaN            NaN
  1406.61        500.000        98.3963       0.664532       0.518405                 NaN  0.420739                 NaN            NaN            NaN
  1405.48        500.000        98.4073       0.446203       0.551498       0.152769       0.442185                 NaN            NaN            NaN
  1404.35        500.000        98.2025       0.864193       0.224724       0.231176       0.477453                 NaN            NaN            NaN
  1403.22        500.000        98.6771       0.217808       0.624015       0.884528E-001  0.392628                 NaN            NaN            NaN
  1402.08        500.000        98.4649       0.406419       0.536862       0.163564       0.428271                 NaN            NaN            NaN
  1400.95        500.000        98.4881       0.531161       0.395299       0.163858       0.421625                 NaN            NaN            NaN
  1399.82        500.000        98.5022       0.527420       0.386864       0.165538       0.417929                 NaN            NaN            NaN
  1398.69        500.000        98.5216       0.376973       0.522104       0.166697       0.412617                 NaN            NaN            NaN
  1397.55        500.000        98.5383       0.517874       0.367276       0.168224       0.408354                 NaN            NaN            NaN
  1396.42        500.000        98.5529       0.358291       0.514197       0.170158       0.404477                 NaN            NaN            NaN
  1395.29        500.000        98.5673       0.510052       0.350671       0.170922       0.401033                 NaN            NaN            NaN
  1394.16        500.000        98.5962       0.501888       0.336831       0.172074       0.393018                 NaN            NaN            NaN
  1393.02        500.000        98.6046       0.500364       0.331459       0.173075       0.390460                 NaN            NaN            NaN
  1391.89        500.000        98.6177       0.497159       0.322481       0.175383       0.387274                 NaN            NaN            NaN
  1390.76        500.000        98.6336       0.489301       0.331823       0.164156       0.381154                 NaN            NaN            NaN
  1389.63        500.000        98.6500       0.492288       0.288029       0.189457       0.380187                 NaN            NaN            NaN
  1388.49        500.000        98.6627       0.485389       0.297967       0.178816       0.375100                 NaN            NaN            NaN
