|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/Y98/Y98_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             ilm            San(TH)        q             
  1451.92        500.000        97.8655        1.31859       0.815938                 NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.2419       0.298059       0.460058                 NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        99.2527       0.453840       0.293483                 NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.2546       0.292116       0.453307       0.232047E-005            NaN            NaN            NaN            NaN
  1447.39        500.000        99.2620       0.289433       0.448555                 NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.2640       0.288774       0.447191                 NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.2723       0.285557       0.442147                 NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.2751       0.440753       0.284113                 NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.2750       0.441114       0.283893                 NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.2891       0.278371       0.432499                 NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.2909       0.431769       0.277294                 NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.2943       0.429868       0.275808                 NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.2864       0.278528       0.435092                 NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.3146       0.267533       0.417882                 NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        99.3085       0.269818       0.421671                 NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        99.3123       0.267969       0.419704                 NaN            NaN            NaN            NaN            NaN
  1433.80        500.000        99.3166       0.417229       0.266158                 NaN            NaN            NaN            NaN            NaN
  1432.67        500.000        99.3211       0.264177       0.414742                 NaN            NaN            NaN            NaN            NaN
  1431.53        500.000        99.3250       0.412651       0.262303                 NaN            NaN            NaN            NaN            NaN
  1430.40        500.000        99.3292       0.260473       0.410322                 NaN            NaN            NaN            NaN            NaN
  1429.27        500.000        99.1036       0.440468       0.348999                 NaN  0.106906                 NaN            NaN            NaN
  1428.13        500.000        98.0788       0.581764       0.751272                 NaN  0.588146                 NaN            NaN            NaN
  1427.00        500.000        98.1105       0.572460       0.738405                 NaN  0.578640                 NaN            NaN            NaN
  1425.87        500.000        98.1406       0.563683       0.726380                 NaN  0.569294                 NaN            NaN            NaN
  1424.74        500.000        98.1694       0.556042       0.714350                 NaN  0.560221                 NaN            NaN            NaN
  1423.60        500.000        98.1972       0.702521       0.548111       0.374133E-005  0.552179                 NaN            NaN            NaN
  1422.47        500.000        98.2303       0.689691       0.538357                 NaN  0.541674                 NaN            NaN            NaN
  1421.34        500.000        98.2552       0.679320       0.531388                 NaN  0.534119                 NaN            NaN            NaN
  1420.21        500.000        98.2815       0.668820       0.523841                 NaN  0.525828                 NaN            NaN            NaN
  1419.07        500.000        98.3070       0.658141       0.516616                 NaN  0.518207                 NaN            NaN            NaN
  1417.94        500.000        98.3326       0.509198       0.647986                 NaN  0.510190                 NaN            NaN            NaN
  1416.81        500.000        98.3562       0.638665       0.502295                 NaN  0.502866                 NaN            NaN            NaN
  1415.68        500.000        98.3815       0.628598       0.494950                 NaN  0.494923                 NaN            NaN            NaN
  1414.54        500.000        98.4026       0.488560       0.620399       0.199521E-005  0.488410                 NaN            NaN            NaN
  1413.41        500.000        98.4251       0.482558       0.611117       0.640645E-005  0.481253                 NaN            NaN            NaN
  1412.28        500.000        98.4480       0.602120       0.475399                 NaN  0.474509                 NaN            NaN            NaN
  1411.15        500.000        98.4680       0.469518       0.594458                 NaN  0.468062                 NaN            NaN            NaN
  1410.01        500.000        98.4904       0.463445       0.585250                 NaN  0.460929                 NaN            NaN            NaN
  1408.88        500.000        98.5112       0.457009       0.577069                 NaN  0.454731                 NaN            NaN            NaN
  1407.75        500.000        98.5306       0.569560       0.451110                 NaN  0.448758                 NaN            NaN            NaN
  1406.61        500.000        98.5493       0.562178       0.445918                 NaN  0.442575                 NaN            NaN            NaN
  1405.48        500.000        98.5635       0.377164       0.474072       0.120258       0.465043                 NaN            NaN            NaN
  1404.35        500.000        98.3837       0.742670       0.189782       0.181697       0.502119                 NaN            NaN            NaN
  1403.22        500.000        98.8046       0.186921       0.526441       0.693952E-001  0.412601                 NaN            NaN            NaN
  1402.08        500.000        98.6185       0.342662       0.460596       0.128151       0.450059                 NaN            NaN            NaN
  1400.95        500.000        98.6406       0.455315       0.332972       0.128171       0.442951                 NaN            NaN            NaN
  1399.82        500.000        98.6544       0.451763       0.325574       0.129271       0.438943                 NaN            NaN            NaN
  1398.69        500.000        98.6729       0.316971       0.446887       0.129965       0.433235                 NaN            NaN            NaN
  1397.55        500.000        98.6889       0.442959       0.308555       0.130943       0.428628                 NaN            NaN            NaN
  1396.42        500.000        98.7032       0.300707       0.439444       0.132217       0.424427                 NaN            NaN            NaN
  1395.29        500.000        98.7169       0.435660       0.294115       0.132675       0.420678                 NaN            NaN            NaN
  1394.16        500.000        98.7440       0.428330       0.282222       0.133295       0.412130                 NaN            NaN            NaN
  1393.02        500.000        98.7528       0.426641       0.277424       0.133839       0.409313                 NaN            NaN            NaN
  1391.89        500.000        98.7655       0.423635       0.269660       0.135415       0.405833                 NaN            NaN            NaN
  1390.76        500.000        98.7804       0.416575       0.277239       0.126525       0.399281                 NaN            NaN            NaN
  1389.63        500.000        98.7969       0.418780       0.240421       0.145784       0.398120                 NaN            NaN            NaN
  1388.49        500.000        98.8089       0.412574       0.248468       0.137377       0.392647                 NaN            NaN            NaN
  1387.36        500.000        98.8232       0.241288       0.409151       0.138110       0.388213                 NaN            NaN            NaN
  1386.23        500.000        98.8368       0.234440       0.405705       0.138807       0.384245                 NaN            NaN            NaN
  1385.09        500.000        98.8502       0.227713       0.402229       0.139674       0.380166                 NaN            NaN            NaN
  1383.96        500.000        98.8633       0.220906       0.399403       0.140207       0.376211                 NaN            NaN            NaN
  1382.83        500.000        98.8757       0.396237       0.214627       0.140966       0.372472                 NaN            NaN            NaN
  1381.70        500.000        98.8853       0.394557       0.208851       0.141801       0.369532                 NaN            NaN            NaN
  1380.56        500.000        98.9007       0.390195       0.202345       0.141989       0.364809                 NaN            NaN            NaN
  1379.43        500.000        98.9118       0.195609       0.387729       0.143275       0.361612                 NaN            NaN            NaN
  1378.30        500.000        98.9261       0.383725       0.190015       0.143230       0.356980                 NaN            NaN            NaN
  1377.17        500.000        98.9327       0.185407       0.382742       0.144139       0.355011                 NaN            NaN            NaN
  1376.03        500.000        98.9468       0.178630       0.379066       0.144644       0.350865                 NaN            NaN            NaN
  1374.90        500.000        98.9584       0.173041       0.376375       0.144987       0.347234                 NaN            NaN            NaN
  1373.77        500.000        98.9690       0.373669       0.167398       0.145844       0.344115                 NaN            NaN            NaN
  1372.64        500.000        98.9736       0.373477       0.162165       0.147548       0.343196                 NaN            NaN            NaN
  1371.50        500.000        98.9955       0.157627       0.366566       0.145066       0.335281                 NaN            NaN            NaN
  1370.37        500.000        98.9979       0.367644       0.151373       0.147725       0.335350                 NaN            NaN            NaN
  1369.24        500.000        99.0135       0.146883       0.362601       0.146849       0.330129                 NaN            NaN            NaN
  1368.11        500.000        98.9946       0.333847       0.232197       0.111577       0.327756                 NaN            NaN            NaN
  1366.97        500.000        99.0574       0.387466       0.449146E-001  0.185095       0.325149                 NaN            NaN            NaN
  1365.84        500.000        99.0399       0.131814       0.357357       0.148757       0.322173                 NaN            NaN            NaN
  1364.71        500.000        99.0500       0.354863       0.127574       0.148649       0.318871                 NaN            NaN            NaN
  1363.57        500.000        99.0571       0.122768       0.353871       0.149593       0.316628                 NaN            NaN            NaN
  1362.44        500.000        99.0694       0.118855       0.350192       0.148933       0.312589                 NaN            NaN            NaN
  1361.31        500.000        99.0763       0.114198       0.348937       0.149816       0.310707                 NaN            NaN            NaN
  1360.18        500.000        99.0877       0.345754       0.110056       0.149541       0.306904                 NaN            NaN            NaN
  1359.04        500.000        99.0949       0.344714       0.105750       0.149949       0.304703                 NaN            NaN            NaN
  1357.91        500.000        99.1039       0.342134       0.102032       0.150042       0.301916                 NaN            NaN            NaN
  1356.78        500.000        99.1124       0.341015       0.971160E-001  0.150389       0.299127                 NaN            NaN            NaN
  1355.65        500.000        99.1206       0.338157       0.950654E-001  0.149782       0.296359                 NaN            NaN            NaN
  1354.51        500.000        99.1285       0.907133E-001  0.336765       0.150095       0.293932                 NaN            NaN            NaN
  1353.38        500.000        99.1371       0.334453       0.872713E-001  0.150058       0.291137                 NaN            NaN            NaN
  1352.25        500.000        99.1448       0.332812       0.839320E-001  0.149866       0.288542                 NaN            NaN            NaN
  1351.12        500.000        99.1362       0.801672E-001  0.336228       0.154142       0.293272                 NaN            NaN            NaN
  1349.98        500.000        99.1801       0.323559       0.743674E-001  0.146471       0.275550                 NaN            NaN            NaN
  1348.85        500.000        99.1686       0.739361E-001  0.327014       0.149607       0.280819                 NaN            NaN            NaN
  1347.72        500.000        99.1748       0.325704       0.716457E-001  0.149216       0.278679                 NaN            NaN            NaN
  1346.59        500.000        99.1837       0.662520E-001  0.323738       0.150031       0.276327                 NaN            NaN            NaN
  1345.45        500.000        99.1910       0.321815       0.660423E-001  0.148124       0.273056                 NaN            NaN            NaN
  1344.32        500.000        99.1972       0.320204       0.631670E-001  0.148239       0.271142                 NaN            NaN            NaN
  1343.19        500.000        99.2005       0.612734E-001  0.319084       0.148632       0.270477                 NaN            NaN            NaN
  1342.05        500.000        99.2134       0.316182       0.587871E-001  0.146442       0.265228                 NaN            NaN            NaN
  1340.92        500.000        99.2187       0.314682       0.557682E-001  0.147000       0.263884                 NaN            NaN            NaN
  1339.79        500.000        99.2243       0.313419       0.539546E-001  0.146386       0.261901                 NaN            NaN            NaN
  1338.66        500.000        99.2316       0.311567       0.513839E-001  0.145969       0.259462                 NaN            NaN            NaN
  1337.52        500.000        99.2374       0.312577       0.429547E-001  0.148641       0.258427                 NaN            NaN            NaN
  1336.39        500.000        99.2377       0.527836E-001  0.309315       0.143387       0.256853                 NaN            NaN            NaN
  1335.26        500.000        99.2582       0.462730E-001  0.303414       0.142317       0.249775                 NaN            NaN            NaN
  1334.13        500.000        99.2569       0.444367E-001  0.304694       0.143323       0.250620                 NaN            NaN            NaN
  1332.99        500.000        99.2632       0.303357       0.425157E-001  0.142546       0.248382                 NaN            NaN            NaN
  1331.86        500.000        99.2692       0.411687E-001  0.301726       0.141724       0.246137                 NaN            NaN            NaN
  1330.73        500.000        99.2746       0.401386E-001  0.300080       0.140982       0.244246                 NaN            NaN            NaN
  1329.60        500.000        99.0106       0.518930E-001  0.409657       0.193375       0.334462                 NaN            NaN            NaN
  1328.46        500.000        99.5647       0.182510       0.187629E-001  0.877854E-001  0.146192                 NaN            NaN            NaN
  1327.33        500.000        99.2502       0.266686       0.136641       0.983498E-001  0.241320       0.675313E-002            NaN            NaN
  1326.20        500.000        99.1610       0.369739                 NaN  0.148868       0.274601       0.457731E-001            NaN            NaN
  1325.07        500.000        99.1709       0.364236                 NaN  0.148108       0.271706       0.450886E-001            NaN            NaN
  1323.93        500.000        99.1804       0.358900                 NaN  0.147547       0.268747       0.443944E-001            NaN            NaN
