|6.6.6
Archiving\03_Data\Deqfrac/QFM_m3/YM20/YM20_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)        
  1618.59        2500.00        99.8049       0.118910       0.762080E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1617.04        2500.00        99.1541       0.819178       0.267085E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1615.49        2500.00        99.1595       0.783148       0.573405E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00        99.1634       0.742152       0.944714E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1612.39        2500.00        99.1696       0.737774       0.926355E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00        99.1814       0.726698       0.918987E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1609.29        2500.00        99.1899       0.719193       0.908611E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00        99.1924       0.719217       0.883861E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1606.19        2500.00        99.2054       0.705823       0.888010E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1604.64        2500.00        99.2152       0.699420       0.854239E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1603.09        2500.00        99.2205       0.694244       0.852921E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1601.54        2500.00        99.2277       0.688245       0.840408E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1599.99        2500.00        99.2363       0.680616       0.830878E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1598.44        2500.00        99.2436       0.673994       0.824269E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1596.89        2500.00        99.2509       0.668392       0.807360E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1595.33        2500.00        99.2561       0.664747       0.791058E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.78        2500.00        99.1985       0.718961       0.825600E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1592.23        2500.00        99.3356       0.594676       0.697275E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1590.68        2500.00        99.2792       0.644256       0.765541E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1589.13        2500.00        99.2854       0.639151       0.754720E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1587.58        2500.00        99.2051       0.711236       0.836521E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00        99.6273       0.333429       0.392729E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.48        2500.00        99.0648       0.838501       0.966539E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        2500.00        99.3111       0.618148       0.707676E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1581.38        2500.00        99.3170       0.613235       0.697395E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        2500.00        99.3235       0.607843       0.686272E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1578.28        2500.00        99.3262       0.606704       0.670972E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00        99.3376       0.594563       0.678217E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1575.18        2500.00        99.2615       0.665186       0.732947E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00        99.4265       0.516481       0.570195E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.08        2500.00        99.3524       0.584045       0.635846E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00        99.3570       0.580410       0.625947E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1568.98        2500.00        99.2404       0.688403       0.711830E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.43        2500.00        99.4897       0.460425       0.498897E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1565.88        2500.00        99.9829       0.170556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.33        2500.00        98.7722        1.10923       0.118565                 NaN            NaN            NaN            NaN            NaN            NaN
  1562.78        2500.00        99.3309       0.607985       0.611625E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.23        2500.00        99.4398       0.507346       0.528647E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1559.68        2500.00        99.3246       0.606103       0.692769E-001            NaN            NaN            NaN            NaN            NaN            NaN
