|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m4.75/WD94/WD94_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q             
  1602.56        500.000        99.3093                 NaN  0.506160       0.184516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        500.000        99.1284                 NaN  0.825968       0.456288E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        500.000        99.1375                 NaN  0.817282       0.451993E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        500.000        99.1463                 NaN  0.808576       0.451735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        500.000        99.1305                 NaN  0.828830       0.406563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        500.000        99.6871                 NaN  0.296031       0.169054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        500.000        98.6786                 NaN   1.25964       0.617686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        500.000        99.1846                 NaN  0.775016       0.403581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        500.000        99.1924                 NaN  0.769139       0.384787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.1953                 NaN  0.768366       0.363385E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        500.000        99.2095                 NaN  0.755268       0.352133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        500.000        99.2155                 NaN  0.749233       0.352920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        500.000        99.2282                 NaN  0.734266       0.375563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        500.000        99.2300                 NaN  0.736350       0.336335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        500.000        99.2459                 NaN  0.720168       0.339301E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        500.000        99.2477                 NaN  0.721323       0.310113E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        500.000        99.2556                 NaN  0.713816       0.305989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        500.000        99.2620                 NaN  0.709306       0.287233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        500.000        99.2699                 NaN  0.701100       0.289537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        500.000        99.2756                 NaN  0.697072       0.273320E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        500.000        99.2855                 NaN  0.687595       0.268821E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        500.000        99.2893                 NaN  0.685940       0.247737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        500.000        99.2965                 NaN  0.678652       0.248633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        500.000        99.3045                 NaN  0.667128       0.283549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        500.000        99.3144                 NaN  0.662492       0.231065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.3176                 NaN  0.658993       0.233908E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        500.000        99.3224                 NaN  0.656568       0.210251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.3281                 NaN  0.649716       0.221570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.28        500.000        99.3397                 NaN  0.638946       0.213251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.76        500.000        99.3411                 NaN  0.639938       0.189268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.25        500.000        99.3472                 NaN  0.634315       0.184946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        500.000        99.3510                 NaN  0.631547       0.174426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.23        500.000        99.3614                 NaN  0.621593       0.169737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.72        500.000        99.3661                 NaN  0.608860       0.250542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.21        500.000        99.3685                 NaN  0.625556       0.599332E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        500.000        99.3756                 NaN  0.610628       0.137544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.19        500.000        99.3802                 NaN  0.604981       0.147951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        500.000        99.3860                 NaN  0.601425       0.125304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.17        500.000        99.3973                 NaN  0.547059       0.556220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        500.000        98.8817                 NaN   1.10631       0.119855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.15        500.000        99.8843                 NaN  0.811959E-001  0.344846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        500.000        99.4546                 NaN  0.469501       0.759187E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        500.000        99.4143                 NaN  0.552700       0.329679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        500.000        99.4209                 NaN  0.536788       0.422730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        500.000        99.3687                 NaN  0.631312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        500.000        99.5624                 NaN  0.437568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        500.000        99.3376                 NaN  0.662360       0.204613E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000        99.4447                 NaN  0.493532       0.617870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        500.000        99.4286                 NaN  0.570743       0.704886E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        500.000        99.7318                 NaN  0.268209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.05        500.000        99.1632                 NaN  0.836806                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        500.000        99.4132                 NaN  0.586805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.03        500.000        99.4500                 NaN  0.549983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.52        500.000        99.5462                 NaN  0.453808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.01        500.000        99.4120                 NaN  0.588002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        500.000        99.4692                 NaN  0.530747       0.843757E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.99        500.000        99.4683                 NaN  0.531742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.48        500.000        99.5390                 NaN  0.460964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.97        500.000        99.4119                 NaN  0.588123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        500.000        99.4810                 NaN  0.518993                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.95        500.000        99.4859                 NaN  0.514041       0.127954E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        500.000        99.4893                 NaN  0.510713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.93        500.000        99.4912                 NaN  0.508839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        500.000        99.4961                 NaN  0.503863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.91        500.000        99.4997                 NaN  0.500319                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.40        500.000        99.5026                 NaN  0.497410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.89        500.000        99.5056                 NaN  0.494415                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.38        500.000        99.5072                 NaN  0.492774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.87        500.000        99.5118                 NaN  0.488153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.4545                 NaN  0.201345                 NaN  0.344116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.85        500.000        99.4151                 NaN  0.171490                 NaN  0.413379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.34        500.000        99.4044                 NaN            NaN            NaN  0.595572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.83        500.000        99.4242                 NaN            NaN            NaN  0.575781                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.32        500.000        99.4232                 NaN  0.479737E-001            NaN  0.528865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.81        500.000        99.4116                 NaN            NaN            NaN  0.588449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.30        500.000        99.4224                 NaN  0.662305E-001            NaN  0.511372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.79        500.000        99.4196                 NaN            NaN            NaN  0.580411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        500.000        99.4223                 NaN            NaN            NaN  0.577675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.77        500.000        99.4184                 NaN            NaN            NaN  0.581594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.26        500.000        99.4266                 NaN            NaN            NaN  0.573408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.75        500.000        99.4250                 NaN            NaN            NaN  0.574977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.24        500.000        99.4210                 NaN            NaN            NaN  0.579014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.73        500.000        99.4241                 NaN            NaN            NaN  0.575939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.22        500.000        99.4235                 NaN            NaN            NaN  0.576468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.71        500.000        99.4223                 NaN            NaN            NaN  0.577661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.20        500.000        99.4210                 NaN            NaN            NaN  0.579033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.68        500.000        99.4159                 NaN            NaN            NaN  0.584147                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.17        500.000        99.4188                 NaN            NaN            NaN  0.581185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.66        500.000        99.4124                 NaN            NaN            NaN  0.587614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.15        500.000        99.4070                 NaN            NaN            NaN  0.593002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.64        500.000        99.4020                 NaN            NaN            NaN  0.598027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.13        500.000        99.3964                 NaN            NaN            NaN  0.603647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.62        500.000        99.2321                 NaN            NaN            NaN  0.472890       0.295029                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.11        500.000        99.0552                 NaN            NaN            NaN  0.303160       0.641650                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.60        500.000        99.0639                 NaN            NaN            NaN  0.635763       0.300346                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.09        500.000        99.0727                 NaN            NaN            NaN  0.630804       0.296543                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.58        500.000        99.0831                 NaN            NaN            NaN  0.623724       0.293135                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.07        500.000        99.0921                 NaN            NaN            NaN  0.618817       0.289054                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.56        500.000        99.1017                 NaN            NaN            NaN  0.286347       0.611953                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.05        500.000        99.1113                 NaN            NaN            NaN  0.606377       0.282358                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.54        500.000        99.1190                 NaN            NaN            NaN  0.601212       0.279767                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.03        500.000        99.1744                 NaN            NaN            NaN  0.261919       0.563689                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.0911                 NaN            NaN            NaN  0.619925       0.289016                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.01        500.000        99.1483                 NaN            NaN            NaN  0.581495       0.270161                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.50        500.000        99.1544                 NaN            NaN            NaN  0.266543       0.579098                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.1625                 NaN            NaN            NaN  0.574259       0.263200                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.48        500.000        99.1694                 NaN            NaN            NaN  0.569833       0.260752                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.97        500.000        99.1782                 NaN            NaN            NaN  0.257884       0.563912                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.1860                 NaN            NaN            NaN  0.559086       0.254946                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.95        500.000        98.0338                 NaN            NaN            NaN  0.724295       0.716467                 NaN  0.525456                 NaN            NaN            NaN            NaN
  1436.44        500.000        97.1140                 NaN            NaN            NaN  0.834000        1.09964                 NaN  0.952407                 NaN            NaN            NaN            NaN
  1434.93        500.000        97.1797                 NaN            NaN            NaN   1.07199       0.816841                 NaN  0.931436                 NaN            NaN            NaN            NaN
  1433.42        500.000        97.2628                 NaN            NaN            NaN   1.03971       0.792931                 NaN  0.904610                 NaN            NaN            NaN            NaN
  1431.91        500.000        97.3249                 NaN            NaN            NaN  0.776112        1.01405                 NaN  0.884987                 NaN            NaN            NaN            NaN
