|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m4.75/WD94/WD94_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q             
  1602.56        500.000        99.2084                 NaN  0.575284       0.216301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        500.000        99.0075                 NaN  0.938960       0.535158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        500.000        99.0176                 NaN  0.929345       0.530318E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        500.000        99.0273                 NaN  0.919665       0.530266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        500.000        99.0097                 NaN  0.942565       0.477426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        500.000        99.6428                 NaN  0.337337       0.198901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        500.000        98.4946                 NaN   1.43286       0.725451E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        500.000        99.0700                 NaN  0.882567       0.474600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        500.000        99.0786                 NaN  0.876149       0.452697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.0817                 NaN  0.875553       0.427899E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        500.000        99.0977                 NaN  0.860798       0.414852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        500.000        99.1042                 NaN  0.854188       0.415769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        500.000        99.1182                 NaN  0.837519       0.442535E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        500.000        99.1204                 NaN  0.839941       0.396539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        500.000        99.1381                 NaN  0.821847       0.400285E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        500.000        99.1401                 NaN  0.823297       0.365987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        500.000        99.1488                 NaN  0.815067       0.361314E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        500.000        99.1560                 NaN  0.810101       0.339374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        500.000        99.1648                 NaN  0.800955       0.342224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        500.000        99.1711                 NaN  0.796628       0.323206E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        500.000        99.1822                 NaN  0.785999       0.317999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        500.000        99.1864                 NaN  0.784290       0.293209E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        500.000        99.1944                 NaN  0.776182       0.294416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        500.000        99.2028                 NaN  0.763614       0.335949E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        500.000        99.2145                 NaN  0.758152       0.273807E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        500.000        99.2178                 NaN  0.754449       0.277369E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        500.000        99.2234                 NaN  0.751667       0.249321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        99.2294                 NaN  0.744310       0.263038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.28        500.000        99.2426                 NaN  0.732089       0.253209E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.76        500.000        99.2441                 NaN  0.733415       0.224843E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.25        500.000        99.2508                 NaN  0.727261       0.219803E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        500.000        99.2550                 NaN  0.724286       0.207403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.23        500.000        99.2668                 NaN  0.713042       0.201920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.72        500.000        99.2715                 NaN  0.698677       0.298260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.21        500.000        99.2748                 NaN  0.718023       0.713695E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        500.000        99.2825                 NaN  0.701125       0.163894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.19        500.000        99.2876                 NaN  0.694807       0.176359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        500.000        99.2941                 NaN  0.690929       0.149428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.17        500.000        99.3049                 NaN  0.628687       0.663696E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        500.000        98.7143                 NaN   1.27136       0.143167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.15        500.000        99.8653                 NaN  0.934379E-001  0.412155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        500.000        99.3691                 NaN  0.540176       0.907378E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        500.000        99.3246                 NaN  0.635963       0.393977E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        500.000        99.3315                 NaN  0.617894       0.505759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        500.000        99.2731                 NaN  0.726911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        500.000        99.4960                 NaN  0.504027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        500.000        99.2372                 NaN  0.762829       0.244897E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        500.000        99.3572                 NaN  0.568730       0.740522E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        500.000        99.3411                 NaN  0.658042       0.846000E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        500.000        99.6905                 NaN  0.309540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.05        500.000        99.0350                 NaN  0.965039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        500.000        99.3230                 NaN  0.676999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
