|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2/ALH/ALH_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1525.64        500.000       0.207797E-001   99.9616       0.146769E-001  0.293329E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.32        500.000                 NaN   99.4364       0.563572       0.463526E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.01        500.000       0.183985E-002   99.4526       0.528341       0.171891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        500.000                 NaN   99.4449       0.549331       0.580547E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.37        500.000                 NaN   99.4348       0.561530       0.371253E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.05        500.000                 NaN   99.4659       0.529497       0.461955E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.74        500.000                 NaN   99.4557       0.540320       0.401772E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.42        500.000                 NaN   99.4607       0.534339       0.498429E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.10        500.000                 NaN   99.4622       0.537779       0.583360E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000                 NaN   99.4671       0.525562       0.735254E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.47        500.000                 NaN   99.4684       0.529518       0.210518E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.15        500.000                 NaN   99.4708       0.528810       0.373946E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.83        500.000                 NaN   99.4753       0.523024       0.163016E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.51        500.000                 NaN   99.4781       0.520112       0.174450E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.20        500.000                 NaN   99.4817       0.518284       0.139264E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.88        500.000                 NaN   99.4867       0.502203       0.111250E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.56        500.000                 NaN   99.4876       0.512244       0.181354E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.24        500.000                 NaN   99.4915       0.493084       0.153876E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.93        500.000                 NaN   99.6817       0.298133       0.202048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.61        500.000                 NaN   99.3097       0.688551       0.171987E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.29        500.000                 NaN   99.4998       0.500160       0.435382E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.97        500.000                 NaN   99.5020       0.498006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.66        500.000                 NaN   99.5068       0.475533       0.176903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.34        500.000                 NaN   99.5081       0.491914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.02        500.000                 NaN   99.4454       0.258907                 NaN            NaN  0.295703                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        500.000                 NaN   99.3847       0.781706E-002            NaN            NaN  0.607474                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.39        500.000                 NaN   99.3819       0.586410E-002            NaN            NaN  0.612228                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        500.000                 NaN   99.3842       0.272125E-002            NaN            NaN  0.613038                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.75        500.000                 NaN   99.2767       0.255741E-001  0.313659E-005            NaN  0.697682                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.44        500.000                 NaN   99.6484       0.140849                 NaN            NaN  0.210742                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.12        500.000                 NaN   99.2344       0.310795E-001            NaN            NaN  0.734564                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        500.000                 NaN   99.3899       0.121091                 NaN            NaN  0.488964                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.48        500.000                 NaN   99.3848                 NaN            NaN            NaN  0.615237                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.17        500.000                 NaN   99.3834                 NaN            NaN            NaN  0.616568                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.85        500.000                 NaN   99.3828       0.194839E-001            NaN            NaN  0.597693                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.53        500.000                 NaN   99.3833                 NaN            NaN            NaN  0.616733                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.21        500.000                 NaN   99.3799                 NaN            NaN            NaN  0.620093                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.90        500.000                 NaN   99.3783                 NaN            NaN            NaN  0.621731                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.58        500.000                 NaN   99.3752                 NaN  0.689562E-004            NaN  0.624749                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.26        500.000                 NaN   99.3721                 NaN  0.380241E-005            NaN  0.627932                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.94        500.000                 NaN   99.3693                 NaN  0.121627E-005            NaN  0.630685                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.63        500.000                 NaN   99.3643                 NaN            NaN            NaN  0.635717                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.31        500.000                 NaN   99.6927       0.307250                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.99        500.000                 NaN   98.8744                 NaN            NaN            NaN  0.840202       0.285432                 NaN            NaN            NaN            NaN            NaN
  1467.67        500.000                 NaN   98.9904                 NaN            NaN            NaN  0.618877       0.390742                 NaN            NaN            NaN            NaN            NaN
  1466.36        500.000                 NaN   98.9949                 NaN            NaN            NaN  0.616446       0.388619                 NaN            NaN            NaN            NaN            NaN
  1465.04        500.000                 NaN   99.0096                 NaN            NaN            NaN  0.607131       0.383291                 NaN            NaN            NaN            NaN            NaN
  1463.72        500.000                 NaN   99.0146                 NaN            NaN            NaN  0.381783       0.603579                 NaN            NaN            NaN            NaN            NaN
  1462.41        500.000                 NaN   99.0248                 NaN            NaN            NaN  0.377054       0.598149                 NaN            NaN            NaN            NaN            NaN
  1461.09        500.000                 NaN   99.0317                 NaN            NaN            NaN  0.374656       0.593680                 NaN            NaN            NaN            NaN            NaN
  1459.77        500.000                 NaN   99.0396                 NaN            NaN            NaN  0.589346       0.371082                 NaN            NaN            NaN            NaN            NaN
  1458.45        500.000                 NaN   99.0483                 NaN            NaN            NaN  0.583270       0.368432                 NaN            NaN            NaN            NaN            NaN
  1457.14        500.000                 NaN   98.9268                 NaN            NaN            NaN  0.414631       0.658541                 NaN            NaN            NaN            NaN            NaN
  1455.82        500.000                 NaN   99.1924                 NaN            NaN            NaN  0.312484       0.495092                 NaN            NaN            NaN            NaN            NaN
  1454.50        500.000                 NaN   99.0725                 NaN            NaN            NaN  0.358506       0.569014                 NaN            NaN            NaN            NaN            NaN
  1453.18        500.000                 NaN   99.0794                 NaN            NaN            NaN  0.355822       0.564760                 NaN            NaN            NaN            NaN            NaN
  1451.87        500.000                 NaN   99.0868                 NaN            NaN            NaN  0.559934       0.353239                 NaN            NaN            NaN            NaN            NaN
  1450.55        500.000       0.643483E-003   99.0933                 NaN            NaN            NaN  0.351047       0.555048                 NaN            NaN            NaN            NaN            NaN
  1449.23        500.000       0.164892E-002   99.0993                 NaN            NaN            NaN  0.549105       0.349968                 NaN            NaN            NaN            NaN            NaN
  1447.91        500.000       0.234097E-002   99.1085                 NaN            NaN            NaN  0.346547       0.542654                 NaN            NaN            NaN            NaN            NaN
  1446.60        500.000       0.226807E-002   99.1163                 NaN            NaN            NaN  0.537807       0.343594                 NaN            NaN            NaN            NaN            NaN
  1445.28        500.000       0.218611E-002   99.1228                 NaN            NaN            NaN  0.341071       0.533933                 NaN            NaN            NaN            NaN            NaN
  1443.96        500.000       0.210572E-002   99.1275                 NaN            NaN            NaN  0.531605       0.338800                 NaN            NaN            NaN            NaN            NaN
  1442.64        500.000       0.202583E-002   99.1361                 NaN            NaN            NaN  0.526700       0.335145                 NaN            NaN            NaN            NaN            NaN
  1441.33        500.000       0.196641E-002   99.1457                 NaN            NaN            NaN  0.332435       0.519902                 NaN            NaN            NaN            NaN            NaN
  1440.01        500.000       0.189615E-002   99.1514                 NaN            NaN            NaN  0.329803       0.516890                 NaN            NaN            NaN            NaN            NaN
  1438.69        500.000       0.183991E-002   99.1571                 NaN            NaN            NaN  0.327230       0.513806                 NaN            NaN            NaN            NaN            NaN
  1437.37        500.000       0.177456E-002   99.1636                 NaN            NaN            NaN  0.509892       0.324759                 NaN            NaN            NaN            NaN            NaN
  1436.06        500.000       0.170152E-002   99.1707                 NaN            NaN            NaN  0.505781       0.321828                 NaN            NaN            NaN            NaN            NaN
  1434.74        500.000       0.164719E-002   99.1746                 NaN            NaN            NaN  0.319623       0.504164                 NaN            NaN            NaN            NaN            NaN
