|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2/ALH/ALH_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1525.64        500.000       0.131073E-001   99.9718       0.126883E-001  0.244501E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.32        500.000                 NaN   99.5125       0.487456       0.386464E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.01        500.000       0.116117E-002   99.5277       0.456817       0.143264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        500.000                 NaN   99.5203       0.474905       0.483640E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.37        500.000                 NaN   99.5115       0.485448       0.309270E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.05        500.000                 NaN   99.5386       0.457524       0.384663E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.74        500.000                 NaN   99.5299       0.466778       0.334332E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.42        500.000                 NaN   99.5344       0.461428       0.414452E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.10        500.000                 NaN   99.5356       0.464347       0.484716E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000                 NaN   99.5402       0.453661       0.610961E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.47        500.000                 NaN   99.5412       0.457006       0.174857E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.15        500.000                 NaN   99.5433       0.456359       0.310465E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.83        500.000                 NaN   99.5475       0.451176       0.135282E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.51        500.000                 NaN   99.5500       0.448526       0.144684E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.20        500.000                 NaN   99.5532       0.446821       0.115471E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.88        500.000                 NaN   99.5580       0.432830       0.921995E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.56        500.000                 NaN   99.5584       0.441415       0.150262E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.24        500.000                 NaN   99.5625       0.424791       0.127391E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.93        500.000                 NaN   99.7266       0.256692       0.167098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.61        500.000                 NaN   99.4056       0.593019       0.142299E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.29        500.000                 NaN   99.5695       0.430537       0.359923E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.97        500.000                 NaN   99.5714       0.428565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.66        500.000                 NaN   99.5762       0.409162       0.146138E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.34        500.000                 NaN   99.5769       0.423135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.02        500.000                 NaN   99.5216       0.222649                 NaN            NaN  0.255710                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        500.000                 NaN   99.4681       0.672011E-002            NaN            NaN  0.525150                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.39        500.000                 NaN   99.4658       0.503955E-002            NaN            NaN  0.529113                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        500.000                 NaN   99.4681       0.233768E-002            NaN            NaN  0.529574                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.75        500.000                 NaN   99.3755       0.219619E-001  0.258434E-005            NaN  0.602547                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.44        500.000                 NaN   99.6972       0.120867                 NaN            NaN  0.181887                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.12        500.000                 NaN   99.3395       0.266710E-001            NaN            NaN  0.633870                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        500.000                 NaN   99.4745       0.103846                 NaN            NaN  0.421666                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.48        500.000                 NaN   99.4695                 NaN            NaN            NaN  0.530462                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.17        500.000                 NaN   99.4687                 NaN            NaN            NaN  0.531342                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.85        500.000                 NaN   99.4683       0.166927E-001            NaN            NaN  0.514992                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.53        500.000                 NaN   99.4689                 NaN            NaN            NaN  0.531080                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.21        500.000                 NaN   99.4662                 NaN            NaN            NaN  0.533812                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.90        500.000                 NaN   99.4650                 NaN            NaN            NaN  0.534994                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.58        500.000                 NaN   99.4626                 NaN  0.563067E-004            NaN  0.537361                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.26        500.000                 NaN   99.4600                 NaN  0.310378E-005            NaN  0.539965                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.94        500.000                 NaN   99.4579                 NaN  0.991877E-006            NaN  0.542091                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.63        500.000                 NaN   99.4538                 NaN            NaN            NaN  0.546161                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.31        500.000                 NaN   99.7377       0.262306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.99        500.000                 NaN   99.0309                 NaN            NaN            NaN  0.721792       0.247300                 NaN            NaN            NaN            NaN            NaN
  1467.67        500.000                 NaN   99.1288                 NaN            NaN            NaN  0.535819       0.335352                 NaN            NaN            NaN            NaN            NaN
  1466.36        500.000                 NaN   99.1332                 NaN            NaN            NaN  0.533484       0.333349                 NaN            NaN            NaN            NaN            NaN
  1465.04        500.000                 NaN   99.1463                 NaN            NaN            NaN  0.525159       0.328563                 NaN            NaN            NaN            NaN            NaN
  1463.72        500.000                 NaN   99.1509                 NaN            NaN            NaN  0.327132       0.521920                 NaN            NaN            NaN            NaN            NaN
  1462.41        500.000                 NaN   99.1602                 NaN            NaN            NaN  0.322833       0.516921                 NaN            NaN            NaN            NaN            NaN
  1461.09        500.000                 NaN   99.1666                 NaN            NaN            NaN  0.320596       0.512832                 NaN            NaN            NaN            NaN            NaN
  1459.77        500.000                 NaN   99.1738                 NaN            NaN            NaN  0.508866       0.317338                 NaN            NaN            NaN            NaN            NaN
  1458.45        500.000                 NaN   99.1818                 NaN            NaN            NaN  0.503349       0.314870                 NaN            NaN            NaN            NaN            NaN
  1457.14        500.000                 NaN   99.0778                 NaN            NaN            NaN  0.354162       0.568084                 NaN            NaN            NaN            NaN            NaN
  1455.82        500.000                 NaN   99.3065                 NaN            NaN            NaN  0.266680       0.426778                 NaN            NaN            NaN            NaN            NaN
  1454.50        500.000                 NaN   99.2039                 NaN            NaN            NaN  0.305805       0.490333                 NaN            NaN            NaN            NaN            NaN
  1453.18        500.000                 NaN   99.2102                 NaN            NaN            NaN  0.303349       0.486431                 NaN            NaN            NaN            NaN            NaN
  1451.87        500.000                 NaN   99.2170                 NaN            NaN            NaN  0.482061       0.300948                 NaN            NaN            NaN            NaN            NaN
  1450.55        500.000       0.406823E-003   99.2231                 NaN            NaN            NaN  0.298873       0.477615                 NaN            NaN            NaN            NaN            NaN
  1449.23        500.000       0.104287E-002   99.2289                 NaN            NaN            NaN  0.472265       0.297777                 NaN            NaN            NaN            NaN            NaN
  1447.91        500.000       0.148111E-002   99.2374                 NaN            NaN            NaN  0.294669       0.466479                 NaN            NaN            NaN            NaN            NaN
  1446.60        500.000       0.143511E-002   99.2445                 NaN            NaN            NaN  0.462081       0.291966                 NaN            NaN            NaN            NaN            NaN
  1445.28        500.000       0.138358E-002   99.2504                 NaN            NaN            NaN  0.289647       0.458544                 NaN            NaN            NaN            NaN            NaN
  1443.96        500.000       0.133291E-002   99.2549                 NaN            NaN            NaN  0.456272       0.287494                 NaN            NaN            NaN            NaN            NaN
  1442.64        500.000       0.128245E-002   99.2626                 NaN            NaN            NaN  0.451875       0.284194                 NaN            NaN            NaN            NaN            NaN
  1441.33        500.000       0.124531E-002   99.2712                 NaN            NaN            NaN  0.281757       0.445824                 NaN            NaN            NaN            NaN            NaN
  1440.01        500.000       0.120114E-002   99.2764                 NaN            NaN            NaN  0.279354       0.443029                 NaN            NaN            NaN            NaN            NaN
  1438.69        500.000       0.116582E-002   99.2817                 NaN            NaN            NaN  0.276984       0.440150                 NaN            NaN            NaN            NaN            NaN
  1437.37        500.000       0.112454E-002   99.2876                 NaN            NaN            NaN  0.436593       0.274725                 NaN            NaN            NaN            NaN            NaN
  1436.06        500.000       0.107855E-002   99.2940                 NaN            NaN            NaN  0.432833       0.272046                 NaN            NaN            NaN            NaN            NaN
  1434.74        500.000       0.104400E-002   99.2978                 NaN            NaN            NaN  0.269961       0.431172                 NaN            NaN            NaN            NaN            NaN
  1433.42        500.000       0.994898E-003   99.3060                 NaN            NaN            NaN  0.425638       0.267330                 NaN            NaN            NaN            NaN            NaN
  1432.11        500.000       0.960614E-003   99.3111                 NaN            NaN            NaN  0.423110       0.264851                 NaN            NaN            NaN            NaN            NaN
  1430.79        500.000       0.922382E-003   99.3168                 NaN            NaN            NaN  0.262769       0.419510                 NaN            NaN            NaN            NaN            NaN
  1429.47        500.000       0.887061E-003   99.3219                 NaN            NaN            NaN  0.260686       0.416551                 NaN            NaN            NaN            NaN            NaN
  1428.15        500.000       0.850054E-003   99.3273                 NaN            NaN            NaN  0.413343       0.258462                 NaN            NaN            NaN            NaN            NaN
