|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/WD94/WD94_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        an             San(TH)        ne             ilm            lc            
  1612.18        2500.00       0.199309E-001   99.7634       0.133457       0.831964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.65        2500.00                 NaN   99.1515       0.782144       0.634600E-001  0.290317E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.11        2500.00                 NaN   99.1597       0.752461       0.878874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        2500.00                 NaN   99.1660       0.747237       0.868008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.04        2500.00                 NaN   99.1749       0.739614       0.854845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.51        2500.00                 NaN   99.1818       0.733381       0.848241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.97        2500.00                 NaN   99.1913       0.725562       0.831316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.44        2500.00                 NaN   99.1999       0.718197       0.818874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.91        2500.00                 NaN   99.2056       0.712552       0.818202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.37        2500.00                 NaN   99.2158       0.704957       0.792096E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.84        2500.00                 NaN   99.2221       0.699378       0.785280E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.30        2500.00                 NaN   99.2296       0.692991       0.774345E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.77        2500.00                 NaN   99.2119       0.709221       0.788709E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.23        2500.00                 NaN   99.7818       0.174608       0.301920E-001  0.133891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.70        2500.00                 NaN   98.7256        1.19107       0.833444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.17        2500.00                 NaN   99.2595       0.667030       0.734569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.63        2500.00                 NaN   99.1963       0.722887       0.807826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.10        2500.00                 NaN   99.3438       0.592565       0.636261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.56        2500.00                 NaN   99.2780       0.652134       0.698308E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.03        2500.00                 NaN   99.2853       0.645508       0.691796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.49        2500.00                 NaN   99.2829       0.600160       0.116923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00                 NaN   99.3046       0.679019       0.164131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.43        2500.00                 NaN   99.3042       0.615747       0.800263E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        2500.00                 NaN   99.3098       0.639457       0.507426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.36        2500.00                 NaN   99.3013       0.631970       0.666878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        2500.00                 NaN   99.8176       0.164939       0.174451E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.29        2500.00                 NaN   98.8501        1.04417       0.105749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00                 NaN   98.9978       0.908867       0.933560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.22        2500.00                 NaN   99.6772       0.292667       0.301011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00                 NaN   99.3439       0.598551       0.575861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.15        2500.00                 NaN   99.3512       0.589961       0.588257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.62        2500.00                 NaN   99.3558       0.586335       0.578390E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.08        2500.00                 NaN   99.3609       0.583252       0.558848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.55        2500.00                 NaN   99.3657       0.578493       0.557580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.01        2500.00                 NaN   99.3717       0.574062       0.542812E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        2500.00                 NaN   99.3762       0.569580       0.542128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.95        2500.00                 NaN   99.3822       0.565429       0.524112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.41        2500.00                 NaN   99.3868       0.560936       0.522984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00                 NaN   99.3844       0.564078       0.514904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        2500.00                 NaN   99.4018       0.549542       0.486619E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.81        2500.00                 NaN   99.3934       0.557786       0.488478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.27        2500.00                 NaN   99.4128       0.539019       0.482311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.74        2500.00                 NaN   99.4082       0.545526       0.462991E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.21        2500.00                 NaN   99.4143       0.539343       0.463972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.67        2500.00                 NaN   99.4201       0.534187       0.456911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        2500.00                 NaN   99.4229       0.532288       0.448213E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.60        2500.00                 NaN   99.4254       0.531821       0.428035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        2500.00                 NaN   99.2403       0.702012       0.576937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.53        2500.00                 NaN   99.6280       0.344748       0.272369E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
