|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.75/ALH/ALH_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        q             
  1528.85        500.000        99.9481       0.518623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.52        500.000        99.9482       0.300910E-001  0.217496E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.20        500.000        99.1762       0.432773E-001  0.780486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000        99.5198       0.322719E-002  0.476946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.55        500.000        99.5243       0.401732E-002  0.471719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        500.000        99.5256       0.200843E-002  0.472417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.90        500.000        99.5346       0.238433E-001  0.441596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        99.5376       0.286267E-001  0.433757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.25        500.000        99.5287                 NaN  0.471325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        500.000        99.5484       0.694709E-002  0.444688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.60        500.000        99.5420                 NaN  0.458031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.27        500.000        99.5588       0.740176E-001  0.367168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.94        500.000        99.5294                 NaN  0.470638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        500.000        99.5724       0.183128E-002  0.425730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000        99.5563       0.137348E-001  0.429992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        500.000        99.5560       0.157801E-005  0.444029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.64        500.000        99.5609       0.194410E-002  0.437167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.32        500.000        99.5621                 NaN  0.437945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.99        500.000        99.5663                 NaN  0.433728                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.67        500.000        99.0718       0.120403E-001  0.582933       0.333205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.34        500.000        99.9656                 NaN  0.144167E-002  0.329423E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        500.000        99.5023                 NaN  0.298013E-001  0.467883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        500.000        99.4652                 NaN  0.656161E-001  0.469185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.4643                 NaN            NaN  0.535655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.04        500.000        99.4560                 NaN  0.201453E-001  0.523857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.4806                 NaN  0.228945E-001  0.496515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.39        500.000        99.4547                 NaN            NaN  0.545265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.4840                 NaN  0.411313E-001  0.474896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.74        500.000        99.4703                 NaN  0.324246E-001  0.497289                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000        99.4716                 NaN  0.213904E-003  0.528227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.09        500.000        99.4732                 NaN  0.120361E-001  0.514792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000        99.4722                 NaN  0.101811E-001  0.517581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.44        500.000        99.4722                 NaN  0.788910E-002  0.519914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        500.000        99.4721                 NaN  0.534666E-002  0.522589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.79        500.000        99.4705                 NaN  0.237437E-002  0.527110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.46        500.000        99.4712                 NaN            NaN  0.528825                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.13        500.000        99.3964                 NaN  0.224718E-001  0.581127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.81        500.000        99.6540                 NaN  0.979319E-002  0.336209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.48        500.000        99.3567                 NaN            NaN  0.643283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.16        500.000        99.4638                 NaN            NaN  0.536243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.83        500.000        99.4619                 NaN            NaN  0.538075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.51        500.000        99.5185                 NaN            NaN  0.479843                 NaN            NaN  0.169280E-002            NaN            NaN            NaN            NaN
  1473.18        500.000        99.3818                 NaN            NaN  0.614050                 NaN            NaN  0.412342E-002            NaN            NaN            NaN            NaN
  1471.86        500.000        99.4424                 NaN            NaN  0.553980                 NaN            NaN  0.365140E-002            NaN            NaN            NaN            NaN
  1470.53        500.000        98.9604                 NaN            NaN  0.589000       0.447495                 NaN  0.310423E-002            NaN            NaN            NaN            NaN
  1469.21        500.000        99.3549                 NaN            NaN  0.241908       0.401480                 NaN  0.167494E-002            NaN            NaN            NaN            NaN
  1467.88        500.000        99.1431                 NaN            NaN  0.533259       0.321494                 NaN  0.218911E-002            NaN            NaN            NaN            NaN
  1466.55        500.000        99.1517                 NaN            NaN  0.318110       0.528043                 NaN  0.213518E-002            NaN            NaN            NaN            NaN
  1465.23        500.000        99.1599                 NaN            NaN  0.314707       0.523300                 NaN  0.206818E-002            NaN            NaN            NaN            NaN
  1463.90        500.000        99.1687                 NaN            NaN  0.311634       0.517625                 NaN  0.200949E-002            NaN            NaN            NaN            NaN
  1462.58        500.000        99.1752                 NaN            NaN  0.308453       0.514405                 NaN  0.195720E-002            NaN            NaN            NaN            NaN
  1461.25        500.000        99.1854                 NaN            NaN  0.507445       0.305257                 NaN  0.189275E-002            NaN            NaN            NaN            NaN
  1459.93        500.000        99.1925                 NaN            NaN  0.302355       0.503351                 NaN  0.183699E-002            NaN            NaN            NaN            NaN
  1458.60        500.000        99.5598                 NaN            NaN  0.163947       0.275228                 NaN  0.983801E-003            NaN            NaN            NaN            NaN
  1457.28        500.000        98.8426                 NaN            NaN  0.720511       0.434335                 NaN  0.252388E-002            NaN            NaN            NaN            NaN
  1455.95        500.000        99.2211                 NaN            NaN  0.485639       0.291642                 NaN  0.166680E-002            NaN            NaN            NaN            NaN
  1454.63        500.000        98.9431                 NaN            NaN  0.662178       0.392544                 NaN  0.215506E-002            NaN            NaN            NaN            NaN
  1453.30        500.000        99.5108                 NaN            NaN  0.183299       0.304960                 NaN  0.989984E-003            NaN            NaN            NaN            NaN
  1451.97        500.000        99.2365                 NaN            NaN  0.285248       0.476720                 NaN  0.152739E-002            NaN            NaN            NaN            NaN
  1450.65        500.000        99.2433                 NaN            NaN  0.472420       0.282844                 NaN  0.148096E-002            NaN            NaN            NaN            NaN
  1449.32        500.000        99.2520                 NaN            NaN  0.279703       0.466833                 NaN  0.142514E-002            NaN            NaN            NaN            NaN
  1448.00        500.000        99.5183                 NaN            NaN  0.179635       0.301146                 NaN  0.895246E-003            NaN            NaN            NaN            NaN
  1446.67        500.000        98.9981                 NaN            NaN  0.627749       0.372289                 NaN  0.183435E-002            NaN            NaN            NaN            NaN
  1445.35        500.000        99.2766                 NaN            NaN  0.451313       0.270796                 NaN  0.127429E-002            NaN            NaN            NaN            NaN
  1444.02        500.000        99.2772                 NaN            NaN  0.269411       0.452136                 NaN  0.124013E-002            NaN            NaN            NaN            NaN
  1442.70        500.000        99.2844                 NaN            NaN  0.266875       0.447578                 NaN  0.118509E-002            NaN            NaN            NaN            NaN
  1441.37        500.000        99.2865                 NaN            NaN  0.447285       0.265014                 NaN  0.115889E-002            NaN            NaN            NaN            NaN
  1440.05        500.000        99.3012                 NaN            NaN  0.260590       0.437092                 NaN  0.110426E-002            NaN            NaN            NaN            NaN
  1438.72        500.000        99.3034                 NaN            NaN  0.436264       0.259319                 NaN  0.106241E-002            NaN            NaN            NaN            NaN
  1437.39        500.000        99.3089                 NaN            NaN  0.256950       0.433178                 NaN  0.102118E-002            NaN            NaN            NaN            NaN
  1436.07        500.000        99.3147                 NaN            NaN  0.254902       0.429400                 NaN  0.979074E-003            NaN            NaN            NaN            NaN
  1434.74        500.000        99.3211                 NaN            NaN  0.425859       0.252110                 NaN  0.941660E-003            NaN            NaN            NaN            NaN
  1433.42        500.000        99.1056                 NaN            NaN  0.560038       0.333155                 NaN  0.117190E-002            NaN            NaN            NaN            NaN
  1432.09        500.000        99.5534                 NaN            NaN  0.166077       0.279897                 NaN  0.582333E-003            NaN            NaN            NaN            NaN
  1430.77        500.000        99.3376                 NaN            NaN  0.245854       0.415687                 NaN  0.826728E-003            NaN            NaN            NaN            NaN
  1429.44        500.000        99.3431                 NaN            NaN  0.243484       0.412611                 NaN  0.788667E-003            NaN            NaN            NaN            NaN
  1428.12        500.000        99.3485                 NaN            NaN  0.241441       0.409313                 NaN  0.754150E-003            NaN            NaN            NaN            NaN
  1426.79        500.000        99.3538                 NaN            NaN  0.239140       0.406381                 NaN  0.720528E-003            NaN            NaN            NaN            NaN
  1425.47        500.000        99.3588                 NaN            NaN  0.237227       0.403281                 NaN  0.687245E-003            NaN            NaN            NaN            NaN
  1424.14        500.000        99.3640                 NaN            NaN  0.400228       0.235148                 NaN  0.648321E-003            NaN            NaN            NaN            NaN
  1422.81        500.000        99.3692                 NaN            NaN  0.232996       0.397153                 NaN  0.620383E-003            NaN            NaN            NaN            NaN
  1421.49        500.000        99.3736                 NaN            NaN  0.395035       0.230820                 NaN  0.588100E-003            NaN            NaN            NaN            NaN
  1420.16        500.000        99.3795                 NaN            NaN  0.228988       0.390948                 NaN  0.547420E-003            NaN            NaN            NaN            NaN
  1418.84        500.000        99.3843                 NaN            NaN  0.388113       0.227063                 NaN  0.521762E-003            NaN            NaN            NaN            NaN
  1417.51        500.000        99.2615                 NaN            NaN  0.273806       0.401625                 NaN  0.334438E-003  0.627202E-001            NaN            NaN            NaN
