|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.75/ALH/ALH_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        q             
  1528.85        500.000        99.9376       0.623579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.52        500.000        99.9387       0.361554E-001  0.251885E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.20        500.000        99.0440       0.520394E-001  0.903971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000        99.4433       0.388445E-002  0.552847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.55        500.000        99.4483       0.483661E-002  0.546906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        500.000        99.4496       0.242001E-002  0.547949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.90        500.000        99.4589       0.287369E-001  0.512325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        99.4621       0.345179E-001  0.503335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.25        500.000        99.4529                 NaN  0.547094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        500.000        99.4753       0.838498E-002  0.516290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.60        500.000        99.4680                 NaN  0.531976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.27        500.000        99.4840       0.894503E-001  0.426523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.94        500.000        99.4531                 NaN  0.546916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        500.000        99.5029       0.221302E-002  0.494903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000        99.4835       0.166119E-001  0.499924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        500.000        99.4836       0.191029E-005  0.516411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.64        500.000        99.4892       0.235539E-002  0.508482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.32        500.000        99.4905                 NaN  0.509498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.99        500.000        99.4952                 NaN  0.504767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.67        500.000        98.9218       0.145812E-001  0.678049       0.385552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.34        500.000        99.9601                 NaN  0.167994E-002  0.381777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        500.000        99.4233                 NaN  0.347130E-001  0.541996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        500.000        99.3798                 NaN  0.764573E-001  0.543755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.3790                 NaN            NaN  0.620978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.04        500.000        99.3688                 NaN  0.234976E-001  0.607719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.3971                 NaN  0.267102E-001  0.576213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.39        500.000        99.3670                 NaN            NaN  0.632987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.4005                 NaN  0.480253E-001  0.551448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
