|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.5/WD94/WD94_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         ilm            q             
  1596.15        2500.00        99.7047       0.119274       0.176049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00        99.3008       0.612914       0.863346E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00        99.3071       0.607928       0.850067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00        99.3208       0.595861       0.833027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00        99.3194       0.599988       0.806563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.3303       0.589071       0.806161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00        99.3347       0.585240       0.800454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00        99.3397       0.581090       0.792445E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00        99.3166       0.601224       0.821327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00        99.3777       0.547371       0.748944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00        99.3693       0.554808       0.758895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00        99.3645       0.560927       0.745494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00        99.3709       0.561589       0.675196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00        99.3750       0.546263       0.787068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00        99.1583       0.814130       0.275857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        99.6085       0.276550       0.114995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00        99.3950       0.534605       0.704013E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00        99.3980       0.532964       0.690389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        2500.00        99.4004       0.532062       0.675591E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00        99.4061       0.526878       0.669944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00        99.4148       0.520011       0.651946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00        99.7878       0.185817       0.264321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00        99.0505       0.845778       0.103722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00        99.4294       0.505902       0.647253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00        99.4191       0.517182       0.637167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00        99.4509       0.488960       0.601554E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00        99.4384       0.501517       0.600543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        2500.00        99.4443       0.495286       0.604616E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00        99.4541       0.487507       0.583835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        2500.00        99.4539       0.487474       0.585844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        2500.00        99.4577       0.486667       0.556031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00        99.4632       0.480210       0.566397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        2500.00        99.4576       0.486585       0.557797E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00        99.4804       0.464348       0.552347E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00        99.4776       0.468726       0.536594E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.4789       0.468822       0.523248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00        99.4107       0.530826       0.585167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
