|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.5/GRV/GRV_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1564.10        500.000       0.450231E-002   99.9952                 NaN  0.307459E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000       0.238134E-002   99.3184                 NaN            NaN  0.679217                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000                 NaN   99.2397                 NaN            NaN  0.760296                 NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000                 NaN   99.2442                 NaN            NaN  0.755759                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000                 NaN   99.2481                 NaN            NaN  0.751894                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000                 NaN   99.2537                 NaN            NaN  0.746293                 NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000                 NaN   99.2574                 NaN            NaN  0.742552                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.2617                 NaN  0.172656E-004  0.738259                 NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.2666                 NaN            NaN  0.733382                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000                 NaN   99.2704                 NaN            NaN  0.729649                 NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000                 NaN   99.2740                 NaN            NaN  0.725991                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000                 NaN   99.2786                 NaN            NaN  0.721359                 NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000                 NaN   99.2811                 NaN            NaN  0.718898                 NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000                 NaN   99.2851                 NaN            NaN  0.714904                 NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000                 NaN   99.2885                 NaN            NaN  0.711518                 NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000                 NaN   99.2908                 NaN            NaN  0.709178                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000                 NaN   99.2771                 NaN            NaN  0.630345       0.925455E-001            NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   99.1229                 NaN            NaN  0.554207E-001  0.821678                 NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   99.1039                 NaN            NaN            NaN  0.896096                 NaN            NaN            NaN            NaN            NaN
  1537.24        500.000                 NaN   99.0861                 NaN            NaN            NaN  0.913944                 NaN            NaN            NaN            NaN            NaN
  1535.82        500.000       0.653519E-002   98.8913                 NaN            NaN            NaN   1.10214                 NaN            NaN            NaN            NaN            NaN
  1534.41        500.000       0.431290E-003   99.9051                 NaN            NaN            NaN  0.944269E-001            NaN            NaN            NaN            NaN            NaN
  1533.00        500.000       0.120221E-001   98.2357                 NaN            NaN            NaN   1.75228                 NaN            NaN            NaN            NaN            NaN
  1531.58        500.000       0.685566E-002   98.9382                 NaN            NaN            NaN  0.465559E-002   1.05032                 NaN            NaN            NaN            NaN
  1530.17        500.000       0.680199E-002   98.3930                 NaN            NaN            NaN   1.10894       0.491262                 NaN            NaN            NaN            NaN
  1528.76        500.000       0.667081E-002   98.4030                 NaN            NaN            NaN  0.468223        1.12212                 NaN            NaN            NaN            NaN
  1527.34        500.000       0.651017E-002   98.4308                 NaN            NaN            NaN  0.458834        1.10387                 NaN            NaN            NaN            NaN
  1525.93        500.000       0.637194E-002   98.4554                 NaN            NaN            NaN   1.08800       0.450244                 NaN            NaN            NaN            NaN
  1524.51        500.000       0.680554E-002   98.3485                 NaN            NaN            NaN  0.480656        1.16400                 NaN            NaN            NaN            NaN
  1523.10        500.000       0.555241E-002   98.6360                 NaN            NaN            NaN  0.962478       0.395987                 NaN            NaN            NaN            NaN
  1521.69        500.000       0.597766E-002   98.5259                 NaN            NaN            NaN  0.427340        1.04075                 NaN            NaN            NaN            NaN
  1520.27        500.000       0.580849E-002   98.5519                 NaN            NaN            NaN   1.02409       0.418166                 NaN            NaN            NaN            NaN
  1518.86        500.000       0.609792E-002   98.4704                 NaN            NaN            NaN  0.442115        1.08137                 NaN            NaN            NaN            NaN
  1517.45        500.000       0.513952E-002   98.6979                 NaN            NaN            NaN  0.375670       0.921243                 NaN            NaN            NaN            NaN
  1516.03        500.000       0.541657E-002   98.6166                 NaN            NaN            NaN  0.979621       0.398349                 NaN            NaN            NaN            NaN
  1514.62        500.000       0.482301E-003   98.6304                 NaN            NaN  0.309357        1.05980                 NaN            NaN            NaN            NaN            NaN
  1513.20        500.000       0.348790E-003   98.6499                 NaN            NaN  0.305932        1.04383                 NaN            NaN            NaN            NaN            NaN
  1511.79        500.000       0.179695E-003   98.6726                 NaN            NaN  0.302825        1.02441                 NaN            NaN            NaN            NaN            NaN
  1510.38        500.000       0.119421E-003   98.6947                 NaN            NaN  0.295433        1.00978                 NaN            NaN            NaN            NaN            NaN
  1508.96        500.000       0.150247E-003   98.7158                 NaN            NaN  0.290723       0.993288                 NaN            NaN            NaN            NaN            NaN
  1507.55        500.000       0.495667E-003   98.7357                 NaN            NaN  0.281447       0.982334                 NaN            NaN            NaN            NaN            NaN
  1506.13        500.000       0.294470E-002   98.7597                 NaN            NaN  0.250914       0.986417                 NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN   98.7765                 NaN            NaN  0.268404       0.955095                 NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   98.7927                 NaN            NaN  0.264671       0.942605                 NaN            NaN            NaN            NaN            NaN
  1501.89        500.000                 NaN   98.8100                 NaN            NaN  0.259808       0.930235                 NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   98.8288                 NaN            NaN  0.247712       0.919288       0.415645E-002            NaN            NaN            NaN            NaN
  1499.07        500.000                 NaN   98.8449                 NaN            NaN  0.240299       0.818364E-002  0.906642                 NaN            NaN            NaN            NaN
  1497.65        500.000                 NaN   98.8561                 NaN            NaN  0.186775       0.871915       0.852408E-001            NaN            NaN            NaN            NaN
  1496.24        500.000                 NaN   98.8701                 NaN            NaN  0.173101       0.984588E-001  0.858390                 NaN            NaN            NaN            NaN
  1494.82        500.000                 NaN   98.8840                 NaN            NaN  0.164501       0.846548       0.104911                 NaN            NaN            NaN            NaN
  1493.41        500.000                 NaN   98.9005                 NaN            NaN  0.147426       0.123694       0.828333                 NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   98.9132                 NaN            NaN  0.138663       0.133351       0.814827                 NaN            NaN            NaN            NaN
  1490.58        500.000       0.558696E-003   98.9264                 NaN            NaN  0.987817E-001  0.794474       0.179770                 NaN            NaN            NaN            NaN
  1489.17        500.000       0.290765E-004   98.9397                 NaN            NaN  0.172154       0.845710E-001  0.803540                 NaN            NaN            NaN            NaN
  1487.76        500.000       0.324980E-002   98.9462                 NaN            NaN            NaN  0.749049       0.301532                 NaN            NaN            NaN            NaN
  1486.34        500.000       0.318876E-002   98.9602                 NaN            NaN            NaN  0.738607       0.297985                 NaN            NaN            NaN            NaN
  1484.93        500.000       0.378992E-002   98.7495                 NaN            NaN            NaN  0.889183       0.357548                 NaN            NaN            NaN            NaN
  1483.51        500.000       0.235471E-002   99.2076                 NaN            NaN            NaN  0.562461       0.227608                 NaN            NaN            NaN            NaN
  1482.10        500.000       0.294820E-002   98.9961                 NaN            NaN            NaN  0.288664       0.712329                 NaN            NaN            NaN            NaN
  1480.69        500.000       0.288057E-002   99.0038                 NaN            NaN            NaN  0.706509       0.286820                 NaN            NaN            NaN            NaN
  1479.27        500.000       0.277007E-002   99.0251                 NaN            NaN            NaN  0.280352       0.691779                 NaN            NaN            NaN            NaN
  1477.86        500.000       0.270927E-002   99.0291                 NaN            NaN            NaN  0.689265       0.278914                 NaN            NaN            NaN            NaN
  1476.45        500.000       0.262615E-002   99.0446                 NaN            NaN            NaN  0.677302       0.275506                 NaN            NaN            NaN            NaN
  1475.03        500.000       0.255666E-002   99.0536                 NaN            NaN            NaN  0.272993       0.670801                 NaN            NaN            NaN            NaN
  1473.62        500.000       0.248318E-002   99.0630                 NaN            NaN            NaN  0.269930       0.664553                 NaN            NaN            NaN            NaN
  1472.20        500.000       0.241342E-002   99.0743                 NaN            NaN            NaN  0.655708       0.267534                 NaN            NaN            NaN            NaN
  1470.79        500.000       0.234710E-002   99.0833                 NaN            NaN            NaN  0.649660       0.264650                 NaN            NaN            NaN            NaN
  1469.38        500.000       0.226514E-002   99.0968                 NaN            NaN            NaN  0.260987       0.639902                 NaN            NaN            NaN            NaN
  1467.96        500.000       0.220373E-002   99.1050                 NaN            NaN            NaN  0.258328       0.634419                 NaN            NaN            NaN            NaN
  1466.55        500.000       0.213608E-002   99.1142                 NaN            NaN            NaN  0.256000       0.627687                 NaN            NaN            NaN            NaN
  1465.14        500.000       0.207083E-002   99.1241                 NaN            NaN            NaN  0.253623       0.620255                 NaN            NaN            NaN            NaN
