|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.5/GRV/GRV_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1564.10        500.000       0.722917E-002   99.9924                 NaN  0.364440E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        500.000       0.382072E-002   99.2212                 NaN            NaN  0.774985                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        500.000                 NaN   99.1324                 NaN            NaN  0.867584                 NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        500.000                 NaN   99.1374                 NaN            NaN  0.862627                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        500.000                 NaN   99.1416                 NaN            NaN  0.858364                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        500.000                 NaN   99.1477                 NaN            NaN  0.852314                 NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        500.000                 NaN   99.1518                 NaN            NaN  0.848171                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        500.000                 NaN   99.1565                 NaN  0.205165E-004  0.843470                 NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        500.000                 NaN   99.1619                 NaN            NaN  0.838096                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000                 NaN   99.1659                 NaN            NaN  0.834062                 NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        500.000                 NaN   99.1699                 NaN            NaN  0.830136                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        500.000                 NaN   99.1750                 NaN            NaN  0.824998                 NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        500.000                 NaN   99.1776                 NaN            NaN  0.822406                 NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        500.000                 NaN   99.1819                 NaN            NaN  0.818109                 NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        500.000                 NaN   99.1855                 NaN            NaN  0.814476                 NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        500.000                 NaN   99.1880                 NaN            NaN  0.812009                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        500.000                 NaN   99.1727                 NaN            NaN  0.721848       0.105466                 NaN            NaN            NaN            NaN            NaN
  1540.07        500.000                 NaN   99.0000                 NaN            NaN  0.634760E-001  0.936543                 NaN            NaN            NaN            NaN            NaN
  1538.65        500.000                 NaN   98.9784                 NaN            NaN            NaN   1.02164                 NaN            NaN            NaN            NaN            NaN
  1537.24        500.000                 NaN   98.9575                 NaN            NaN            NaN   1.04246                 NaN            NaN            NaN            NaN            NaN
  1535.82        500.000       0.105153E-001   98.7317                 NaN            NaN            NaN   1.25782                 NaN            NaN            NaN            NaN            NaN
  1534.41        500.000       0.694435E-003   99.8914                 NaN            NaN            NaN  0.107879                 NaN            NaN            NaN            NaN            NaN
  1533.00        500.000       0.193000E-001   97.9823                 NaN            NaN            NaN   1.99843                 NaN            NaN            NaN            NaN            NaN
  1531.58        500.000       0.110199E-001   98.7842                 NaN            NaN            NaN  0.529531E-002   1.19945                 NaN            NaN            NaN            NaN
  1530.17        500.000       0.109236E-001   98.1673                 NaN            NaN            NaN   1.26086       0.560872                 NaN            NaN            NaN            NaN
  1528.76        500.000       0.107114E-001   98.1780                 NaN            NaN            NaN  0.534870        1.27641                 NaN            NaN            NaN            NaN
  1527.34        500.000       0.104514E-001   98.2090                 NaN            NaN            NaN  0.524420        1.25617                 NaN            NaN            NaN            NaN
  1525.93        500.000       0.102281E-001   98.2362                 NaN            NaN            NaN   1.23867       0.514900                 NaN            NaN            NaN            NaN
  1524.51        500.000       0.109186E-001   98.1136                 NaN            NaN            NaN  0.549903        1.32555                 NaN            NaN            NaN            NaN
  1523.10        500.000       0.891205E-002   98.4406                 NaN            NaN            NaN   1.09699       0.453467                 NaN            NaN            NaN            NaN
  1521.69        500.000       0.959113E-002   98.3144                 NaN            NaN            NaN  0.489558        1.18649                 NaN            NaN            NaN            NaN
  1520.27        500.000       0.931883E-002   98.3433                 NaN            NaN            NaN   1.16806       0.479336                 NaN            NaN            NaN            NaN
  1518.86        500.000       0.977855E-002   98.2495                 NaN            NaN            NaN  0.506975        1.23370                 NaN            NaN            NaN            NaN
  1517.45        500.000       0.824367E-002   98.5088                 NaN            NaN            NaN  0.431168        1.05183                 NaN            NaN            NaN            NaN
  1516.03        500.000       0.868592E-002   98.4150                 NaN            NaN            NaN   1.11888       0.457425                 NaN            NaN            NaN            NaN
  1514.62        500.000       0.773313E-003   98.4309                 NaN            NaN  0.357303        1.21102                 NaN            NaN            NaN            NaN            NaN
  1513.20        500.000       0.559187E-003   98.4525                 NaN            NaN  0.353577        1.19340                 NaN            NaN            NaN            NaN            NaN
  1511.79        500.000       0.288020E-003   98.4779                 NaN            NaN  0.350158        1.17164                 NaN            NaN            NaN            NaN            NaN
  1510.38        500.000       0.191398E-003   98.5024                 NaN            NaN  0.341869        1.15550                 NaN            NaN            NaN            NaN            NaN
  1508.96        500.000       0.240763E-003   98.5261                 NaN            NaN  0.336615        1.13708                 NaN            NaN            NaN            NaN            NaN
  1507.55        500.000       0.794190E-003   98.5480                 NaN            NaN  0.326094        1.12515                 NaN            NaN            NaN            NaN            NaN
  1506.13        500.000       0.471814E-002   98.5739                 NaN            NaN  0.290938        1.13045                 NaN            NaN            NaN            NaN            NaN
  1504.72        500.000                 NaN   98.5936                 NaN            NaN  0.311373        1.09504                 NaN            NaN            NaN            NaN            NaN
  1503.31        500.000                 NaN   98.6116                 NaN            NaN  0.307232        1.08121                 NaN            NaN            NaN            NaN            NaN
  1501.89        500.000                 NaN   98.6307                 NaN            NaN  0.301776        1.06748                 NaN            NaN            NaN            NaN            NaN
  1500.48        500.000                 NaN   98.6517                 NaN            NaN  0.287926        1.05556       0.480549E-002            NaN            NaN            NaN            NaN
