|6.6.6
Archiving\03_Data\eqfrac/QFM_m3/EETA/EETA_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00        99.9329                 NaN  0.671340E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00        99.4044                 NaN  0.193221       0.401835                 NaN  0.587161E-003            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00        99.2910                 NaN  0.219602       0.488083                 NaN  0.129044E-002            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00        99.2936                 NaN  0.490440       0.215935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00        99.2976                 NaN  0.486199       0.215886                 NaN  0.343641E-003            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00        99.3013                 NaN  0.214813       0.483619                 NaN  0.231440E-003            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00        99.3044                 NaN  0.214399       0.480423                 NaN  0.790823E-003            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        99.3091                 NaN  0.476158       0.214014                 NaN  0.752291E-003            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00        99.3123                 NaN  0.212667       0.474327                 NaN  0.722906E-003            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00        99.3158                 NaN  0.211633       0.471914                 NaN  0.696136E-003            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00        99.3186                 NaN  0.210705       0.470041                 NaN  0.662991E-003            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00        99.3225                 NaN  0.209345       0.467522                 NaN  0.638180E-003  0.208865E-005            NaN            NaN            NaN            NaN
  1447.66        2500.00        99.3257                 NaN  0.208722       0.464999                 NaN  0.600968E-003            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00        99.3288                 NaN  0.207511       0.463090                 NaN  0.567111E-003            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00        99.3321                 NaN  0.205879       0.460972                 NaN  0.544518E-003  0.492737E-003            NaN            NaN            NaN            NaN
  1444.19        2500.00        99.3345                 NaN  0.205962       0.459015                 NaN  0.510658E-003            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00        99.3390                 NaN  0.204560       0.455950                 NaN  0.495274E-003  0.421296E-005            NaN            NaN            NaN            NaN
