|6.6.6
Archiving\03_Data\eq/QFM/Y98/Y98_1.tab                                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             pnt           
  2000.00        2500.00        98.9533       0.847106E-001  0.961992                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        98.9528       0.852252E-001  0.961990                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        98.9523       0.857399E-001  0.961987                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        98.9518       0.862545E-001  0.961985                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        98.9512       0.867692E-001  0.961983                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        98.9507       0.872838E-001  0.961980                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        98.9502       0.877984E-001  0.961978                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        98.9497       0.883131E-001  0.961976                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        98.9492       0.888277E-001  0.961973                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        98.9486       0.893929E-001  0.961971                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        98.9481       0.899581E-001  0.961968                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        98.9475       0.905233E-001  0.961965                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        98.9469       0.910885E-001  0.961963                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        98.9464       0.916537E-001  0.961960                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        98.9458       0.922189E-001  0.961958                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        98.9453       0.927841E-001  0.961955                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        98.9447       0.933493E-001  0.961952                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        98.9440       0.940118E-001  0.961949                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.9434       0.946743E-001  0.961947                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        98.9427       0.953368E-001  0.961944                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        98.9421       0.959993E-001  0.961941                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.9414       0.966618E-001  0.961938                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.9407       0.973243E-001  0.961935                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        98.9401       0.979868E-001  0.961932                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        98.9394       0.986493E-001  0.961929                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        98.9386       0.994473E-001  0.961926                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        98.9378       0.100245       0.961923                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        98.9370       0.101043       0.961920                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        98.9362       0.101841       0.961917                 NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        98.9354       0.102639       0.961914                 NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        98.9347       0.103437       0.961911                 NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        98.9339       0.104235       0.961907                 NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        98.9331       0.105033       0.961904                 NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        98.9321       0.106009       0.961901                 NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        98.9311       0.106985       0.961897                 NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        98.9301       0.107960       0.961894                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        98.9292       0.108936       0.961891                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        98.9282       0.109912       0.961887                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        98.9272       0.110887       0.961884                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        98.9263       0.111863       0.961880                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        98.9253       0.112839       0.961877                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        98.9241       0.114052       0.961873                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        98.9229       0.115265       0.961869                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        98.9217       0.116479       0.961866                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        98.9204       0.117692       0.961862                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        98.9192       0.118906       0.961858                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        98.9180       0.120119       0.961855                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        98.9168       0.121332       0.961851                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        98.9156       0.122546       0.961847                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        98.9141       0.124082       0.961843                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        98.9125       0.125618       0.961839                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        98.9110       0.127154       0.961835                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        98.9095       0.128690       0.961831                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        98.9079       0.130225       0.961827                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        98.9064       0.131761       0.961823                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        98.9049       0.133297       0.961819                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        98.9034       0.134833       0.961815                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        98.9013       0.136843       0.961810                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        98.8993       0.138853       0.961806                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        98.8973       0.140863       0.961801                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        98.8953       0.142873       0.961797                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        98.8933       0.144883       0.961793                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        98.8913       0.146893       0.961788                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        98.8893       0.148903       0.961784                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        98.8873       0.150913       0.961779                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        98.8846       0.153627       0.961775                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        98.8819       0.156341       0.961770                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        98.8792       0.159056       0.961765                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        98.8765       0.161770       0.961760                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        98.8738       0.164484       0.961756                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        98.8711       0.167198       0.961751                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        98.8683       0.169913       0.961746                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        98.8656       0.172627       0.961741                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        98.8617       0.176523       0.961736                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        98.8578       0.180420       0.961731                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        98.8540       0.184316       0.961726                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        98.8501       0.188212       0.961721                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        98.8462       0.192108       0.961716                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        98.8423       0.196005       0.961711                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        98.8384       0.199901       0.961706                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        98.8345       0.203797       0.961701                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        98.8286       0.209698       0.961695                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        98.8227       0.215599       0.961690                 NaN            NaN            NaN            NaN            NaN            NaN
