|6.6.6
Archiving\03_Data\eq/QFM/Y98/Y98_3.tab                                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             pnt           
  2000.00        2500.00        99.1620       0.647718E-001  0.773255                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.1614       0.652299E-001  0.773325                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.1609       0.656881E-001  0.773394                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.1604       0.661464E-001  0.773463                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.1599       0.666047E-001  0.773532                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.1593       0.670631E-001  0.773602                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.1588       0.675216E-001  0.773671                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.1583       0.679802E-001  0.773741                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.1578       0.684388E-001  0.773810                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.1572       0.689419E-001  0.773879                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.1566       0.694450E-001  0.773948                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.1560       0.699483E-001  0.774018                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.1555       0.704516E-001  0.774087                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.1549       0.709550E-001  0.774157                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.1543       0.714585E-001  0.774226                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.1537       0.719620E-001  0.774296                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.1532       0.724656E-001  0.774365                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.1525       0.730534E-001  0.774434                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.1519       0.736413E-001  0.774504                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.1512       0.742292E-001  0.774573                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.1505       0.748173E-001  0.774643                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.1499       0.754054E-001  0.774712                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.1492       0.759937E-001  0.774782                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.1486       0.765820E-001  0.774852                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.1479       0.771704E-001  0.774921                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.1471       0.778792E-001  0.774991                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.1464       0.785882E-001  0.775060                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.1456       0.792972E-001  0.775130                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.1448       0.800063E-001  0.775200                 NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.1440       0.807156E-001  0.775269                 NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.1432       0.814250E-001  0.775339                 NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.1425       0.821345E-001  0.775409                 NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.1417       0.828440E-001  0.775479                 NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.1407       0.837100E-001  0.775548                 NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.1398       0.845761E-001  0.775618                 NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.1389       0.854424E-001  0.775688                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.1379       0.863087E-001  0.775757                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.1370       0.871753E-001  0.775827                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.1361       0.880419E-001  0.775897                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.1351       0.889087E-001  0.775967                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.1342       0.897756E-001  0.776037                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.1330       0.908504E-001  0.776107                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.1319       0.919253E-001  0.776176                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.1308       0.930005E-001  0.776246                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.1296       0.940758E-001  0.776316                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.1285       0.951512E-001  0.776386                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.1273       0.962268E-001  0.776456                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.1262       0.973026E-001  0.776526                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.1250       0.983786E-001  0.776596                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.1236       0.997410E-001  0.776666                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.1222       0.101104       0.776736                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.1207       0.102466       0.776805                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.1193       0.103830       0.776875                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.1179       0.105193       0.776945                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.1164       0.106556       0.777015                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.1150       0.107920       0.777085                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.1136       0.109284       0.777156                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.1117       0.111063       0.777225                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.1099       0.112842       0.777295                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.1080       0.114622       0.777365                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.1062       0.116401       0.777435                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.1043       0.118181       0.777505                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        99.1025       0.119962       0.777575                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        99.1006       0.121742       0.777646                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        99.0988       0.123523       0.777716                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        99.0963       0.125923       0.777786                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        99.0938       0.128323       0.777856                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        99.0914       0.130724       0.777926                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        99.0889       0.133125       0.777996                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        99.0864       0.135526       0.778066                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        99.0839       0.137927       0.778136                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        99.0815       0.140329       0.778207                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        99.0790       0.142732       0.778277                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        99.0755       0.146176       0.778347                 NaN            NaN            NaN            NaN            NaN            NaN
