|6.6.6
Archiving\03_Data\eqLP/QFM_m4/GRV/GRV_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.3231       0.676898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.3230       0.676973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.3230       0.677049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.3229       0.677124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.3228       0.677200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.3227       0.677276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.3226       0.677352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.3226       0.677427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.3225       0.677503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.3224       0.677579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.3223       0.677655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.3223       0.677732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.3222       0.677808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.3221       0.677884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.3220       0.677960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.3220       0.678037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.3219       0.678113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.3218       0.678189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.3217       0.678266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.3217       0.678343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.3216       0.678419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.3215       0.678496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.3214       0.678573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.3214       0.678650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.3213       0.678726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.3212       0.678803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.3211       0.678880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.3210       0.678958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.3210       0.679035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.3209       0.679112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.3208       0.679189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.3207       0.679266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.3207       0.679344                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.3206       0.679421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.3205       0.679499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.3204       0.679576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.3203       0.679654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.3203       0.679731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.3202       0.679809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.3201       0.679887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.3200       0.679965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.3200       0.680043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.3199       0.680121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.3198       0.680199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.3197       0.680277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.3196       0.680355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
