|6.6.6
Archiving\03_Data\Deq/QFM_m4.5/K22/K22_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        2500.00        99.9859       0.141234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.9859       0.141239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.9859       0.141243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.9859       0.141247E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.9859       0.141252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.9859       0.141256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.9859       0.141261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.9859       0.141265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.9859       0.141270E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.9859       0.141274E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.9859       0.141279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.9859       0.141284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.9859       0.141288E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.9526       0.141144E-001  0.333189E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.1084       0.137366E-001  0.877912                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        98.2819       0.133588E-001   1.70471                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        97.4545       0.129806E-001   2.53249                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        96.6966       0.126054E-001   3.29084                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        95.9377       0.122298E-001   4.05004                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        95.1781       0.118538E-001   4.81007                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        94.4176       0.114774E-001   5.57094                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        93.6563       0.111007E-001   6.33264                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        92.8941       0.107235E-001   7.09517                 NaN            NaN            NaN            NaN            NaN            NaN
