|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2/WD94/WD94_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1631.41        2500.00       0.840615E-002   98.9382                 NaN  0.936901       0.116487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.83        2500.00                 NaN   99.0187                 NaN  0.844494       0.136770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.25        2500.00                 NaN   98.9303                 NaN  0.929261       0.140463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.66        2500.00                 NaN   98.9445                 NaN  0.915913       0.139590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00                 NaN   98.9545                 NaN  0.907260       0.138281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.50        2500.00                 NaN   98.9637                 NaN  0.900703       0.135629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.92        2500.00                 NaN   98.9773                 NaN  0.881085       0.141592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.33        2500.00                 NaN   98.9881                 NaN  0.886845       0.125015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.75        2500.00                 NaN   98.9988                 NaN  0.870626       0.130547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.17        2500.00                 NaN   99.0094                 NaN  0.867715       0.122920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.59        2500.00                 NaN   99.0194                 NaN  0.846794       0.133846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.00        2500.00                 NaN   99.0281                 NaN  0.845638       0.126236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.42        2500.00                 NaN   99.0408                 NaN  0.835140       0.124062                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.84        2500.00                 NaN   99.0494                 NaN  0.828878       0.121732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.26        2500.00                 NaN   99.0569                 NaN  0.822174       0.120970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.67        2500.00                 NaN   99.0700                 NaN  0.810284       0.119706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
