|6.6.6
Archiving\03_Data\eqfracLP/QFM/WD94/WD94_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1557.69        500.000       0.147028E-002   99.5872                 NaN  0.380377       0.309278E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1556.29        500.000                 NaN   99.3936                 NaN  0.571772       0.346043E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.89        500.000                 NaN   99.3941                 NaN  0.572729       0.331551E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1553.50        500.000                 NaN   99.3988                 NaN  0.567619       0.335710E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.10        500.000                 NaN   99.3849                 NaN  0.580668       0.343853E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1550.70        500.000                 NaN   99.4291                 NaN  0.537703       0.332266E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.30        500.000                 NaN   99.4148                 NaN  0.554986       0.302234E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1547.91        500.000                 NaN   99.4192                 NaN  0.548322       0.324378E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.51        500.000                 NaN   99.3412                 NaN  0.632539       0.262868E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        500.000                 NaN   99.5067                 NaN  0.468980       0.243673E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.71        500.000                 NaN   99.4323                 NaN  0.539791       0.278809E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.32        500.000                 NaN   98.9433                 NaN   1.00541       0.513108E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.92        500.000                 NaN   99.9394                 NaN  0.574458E-001  0.319330E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1539.52        500.000                 NaN   99.4488                 NaN  0.525195       0.259771E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1538.12        500.000                 NaN   99.4522                 NaN  0.522800       0.250344E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.72        500.000                 NaN   99.4532                 NaN  0.520259       0.265364E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1535.33        500.000                 NaN   99.4633                 NaN  0.513617       0.230748E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1533.93        500.000                 NaN   99.8133                 NaN  0.178029       0.867433E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1532.53        500.000                 NaN   99.1134                 NaN  0.854743       0.318659E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1531.13        500.000                 NaN   99.4734                 NaN  0.507869       0.187804E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1529.74        500.000                 NaN   99.4764                 NaN  0.503997       0.195927E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1528.34        500.000                 NaN   99.4791                 NaN  0.501071       0.198186E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1526.94        500.000                 NaN   99.4710                 NaN  0.507300       0.216748E-001            NaN            NaN            NaN            NaN            NaN            NaN
