|6.6.6
Archiving\03_Data\eqfracLP/QFM/WD94/WD94_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1557.69        500.000       0.232729E-002   99.5230                 NaN  0.438052       0.366505E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1556.29        500.000                 NaN   99.3009                 NaN  0.658084       0.409736E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.89        500.000                 NaN   99.3015                 NaN  0.659280       0.392687E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1553.50        500.000                 NaN   99.3065                 NaN  0.653746       0.397831E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.10        500.000                 NaN   99.2901                 NaN  0.669136       0.407976E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1550.70        500.000                 NaN   99.3409                 NaN  0.619686       0.394156E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.30        500.000                 NaN   99.3243                 NaN  0.639787       0.358640E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1547.91        500.000                 NaN   99.3291                 NaN  0.632354       0.385072E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.51        500.000                 NaN   99.2396                 NaN  0.729247       0.311925E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        500.000                 NaN   99.4300                 NaN  0.541088       0.289543E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.71        500.000                 NaN   99.3438                 NaN  0.623004       0.331481E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.32        500.000                 NaN   98.7789                 NaN   1.16013       0.609889E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.92        500.000                 NaN   99.9298                 NaN  0.663971E-001  0.380307E-002            NaN            NaN            NaN            NaN            NaN            NaN
