|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/LAR/LAR_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1426.28        2500.00       0.282704E-001   95.1366                 NaN   1.50364        3.26742                 NaN            NaN  0.640701E-001            NaN            NaN            NaN            NaN
  1425.21        2500.00                 NaN   99.4978                 NaN  0.190637E-004  0.407037                 NaN            NaN  0.951556E-001            NaN            NaN            NaN            NaN
  1424.14        2500.00       0.162551E-003   99.4823                 NaN  0.359210       0.158338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        2500.00       0.136583E-003   99.0299                 NaN  0.289259       0.673173                 NaN            NaN  0.752765E-002            NaN            NaN            NaN            NaN
  1422.01        2500.00       0.119201E-004   99.9323                 NaN  0.463035E-001  0.213849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        2500.00       0.125483E-003   99.5017                 NaN  0.155358       0.342831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        2500.00       0.512596E-004   99.4921                 NaN  0.126643       0.362210                 NaN            NaN  0.190264E-001            NaN            NaN            NaN            NaN
  1418.80        2500.00       0.639964E-004   99.4938                 NaN  0.359079       0.131596                 NaN            NaN  0.154743E-001            NaN            NaN            NaN            NaN
  1417.73        2500.00       0.585515E-004   99.4799                 NaN  0.370510       0.130984                 NaN            NaN  0.185903E-001            NaN            NaN            NaN            NaN
  1416.66        2500.00       0.133201E-002   99.8988                 NaN  0.293517E-001  0.674341E-001            NaN            NaN  0.307780E-002            NaN            NaN            NaN            NaN
  1415.60        2500.00                 NaN   98.4559                 NaN  0.324476       0.692226                 NaN            NaN  0.184566       0.342810                 NaN            NaN            NaN
  1414.53        2500.00                 NaN   98.7789                 NaN  0.232858       0.422053                 NaN            NaN  0.188644       0.377495                 NaN            NaN            NaN
  1413.46        2500.00                 NaN   98.7379                 NaN  0.437029       0.237571                 NaN            NaN  0.197254       0.390204                 NaN            NaN            NaN
  1412.39        2500.00                 NaN   98.8602                 NaN  0.211960       0.396114                 NaN            NaN  0.179282       0.352446                 NaN            NaN            NaN
  1411.32        2500.00                 NaN   98.8188                 NaN  0.412505       0.216611                 NaN            NaN  0.186949       0.365099                 NaN            NaN            NaN
  1410.25        2500.00                 NaN   98.8318                 NaN  0.409059       0.211009                 NaN            NaN  0.186829       0.361274                 NaN            NaN            NaN
  1409.19        2500.00                 NaN   98.8443                 NaN  0.406233       0.205644                 NaN            NaN  0.186420       0.357433                 NaN            NaN            NaN
  1408.12        2500.00                 NaN   98.8568                 NaN  0.200330       0.403341                 NaN            NaN  0.185887       0.353643                 NaN            NaN            NaN
  1407.05        2500.00                 NaN   98.8687                 NaN  0.198844       0.399449                 NaN            NaN  0.183382       0.349596                 NaN            NaN            NaN
  1405.98        2500.00                 NaN   98.8805                 NaN  0.398674       0.186984                 NaN            NaN  0.187247       0.346644                 NaN            NaN            NaN
  1404.91        2500.00                 NaN   98.8917                 NaN  0.184995       0.395660                 NaN            NaN  0.184724       0.342910                 NaN            NaN            NaN
  1403.84        2500.00                 NaN   98.9036                 NaN  0.392841       0.180650                 NaN            NaN  0.183821       0.339045                 NaN            NaN            NaN
  1402.78        2500.00                 NaN   98.9141                 NaN  0.391078       0.174230                 NaN            NaN  0.184483       0.336112                 NaN            NaN            NaN
  1401.71        2500.00                 NaN   98.9281                 NaN  0.207557       0.374968                 NaN            NaN  0.161026       0.328372                 NaN            NaN            NaN
  1400.64        2500.00                 NaN   98.9358                 NaN  0.396869       0.130855                 NaN            NaN  0.204110       0.332323                 NaN            NaN            NaN
  1399.57        2500.00                 NaN   98.9444                 NaN  0.383406       0.162837                 NaN            NaN  0.182821       0.326524                 NaN            NaN            NaN
  1398.50        2500.00                 NaN   98.9612                 NaN  0.158205       0.378560                 NaN            NaN  0.180839       0.321228                 NaN            NaN            NaN
  1397.43        2500.00                 NaN   98.9654                 NaN  0.379130       0.153389                 NaN            NaN  0.181916       0.320156                 NaN            NaN            NaN
  1396.37        2500.00                 NaN   98.9793                 NaN  0.374105       0.151537                 NaN            NaN  0.179788       0.315289                 NaN            NaN            NaN
  1395.30        2500.00                 NaN   98.9890                 NaN  0.144667       0.373636                 NaN            NaN  0.180185       0.312496                 NaN            NaN            NaN
  1394.23        2500.00                 NaN   98.9976                 NaN  0.371420       0.141427                 NaN            NaN  0.179616       0.309906                 NaN            NaN            NaN
  1393.16        2500.00                 NaN   99.0074                 NaN  0.369483       0.137367                 NaN            NaN  0.179015       0.306774                 NaN            NaN            NaN
  1392.09        2500.00                 NaN   99.0159                 NaN  0.131983       0.368468                 NaN            NaN  0.179387       0.304299                 NaN            NaN            NaN
  1391.02        2500.00                 NaN   99.0260                 NaN  0.364997       0.131084                 NaN            NaN  0.177132       0.300766                 NaN            NaN            NaN
  1389.96        2500.00                 NaN   99.0369                 NaN  0.362396       0.125800                 NaN            NaN  0.177382       0.297544                 NaN            NaN            NaN
  1388.89        2500.00                 NaN   99.0434                 NaN  0.914333E-001  0.371956                 NaN            NaN  0.195024       0.298141                 NaN            NaN            NaN
  1387.82        2500.00                 NaN   99.0562                 NaN  0.150927       0.346550                 NaN            NaN  0.157562       0.288738                 NaN            NaN            NaN
  1386.75        2500.00                 NaN   99.0619                 NaN  0.115260       0.357516                 NaN            NaN  0.175734       0.289557                 NaN            NaN            NaN
  1385.68        2500.00                 NaN   99.0704                 NaN  0.355674       0.111746                 NaN            NaN  0.175255       0.286907                 NaN            NaN            NaN
  1384.61        2500.00                 NaN   99.0801                 NaN  0.109761       0.352307                 NaN            NaN  0.174087       0.283785                 NaN            NaN            NaN
  1383.55        2500.00                 NaN   99.0840                 NaN  0.106072       0.351877                 NaN            NaN  0.174751       0.283344                 NaN            NaN            NaN
  1382.48        2500.00                 NaN   99.1032                 NaN  0.348760       0.999827E-001            NaN            NaN  0.172024       0.276055                 NaN            NaN            NaN
  1381.41        2500.00                 NaN   99.1046                 NaN  0.348445       0.985429E-001            NaN            NaN  0.172527       0.275887                 NaN            NaN            NaN
  1380.34        2500.00                 NaN   99.1125                 NaN  0.971860E-001  0.344898                 NaN            NaN  0.171840       0.273550                 NaN            NaN            NaN
  1379.27        2500.00                 NaN   99.1204                 NaN  0.344432       0.933329E-001            NaN            NaN  0.170997       0.270866                 NaN            NaN            NaN
  1378.20        2500.00                 NaN   99.1277                 NaN  0.342839       0.907427E-001            NaN            NaN  0.170280       0.268449                 NaN            NaN            NaN
  1377.13        2500.00                 NaN   99.1317                 NaN  0.343755       0.881380E-001            NaN            NaN  0.169512       0.266852                 NaN            NaN            NaN
  1376.07        2500.00                 NaN   99.1440                 NaN  0.847707E-001  0.339443                 NaN            NaN  0.168657       0.263152                 NaN            NaN            NaN
  1375.00        2500.00                 NaN   99.1507                 NaN  0.337630       0.828174E-001            NaN            NaN  0.167897       0.260921                 NaN            NaN            NaN
  1373.93        2500.00                 NaN   99.1580                 NaN  0.336675       0.789778E-001            NaN            NaN  0.167627       0.258769                 NaN            NaN            NaN
  1372.86        2500.00                 NaN   99.1651                 NaN  0.782309E-001  0.333940                 NaN            NaN  0.166324       0.256372                 NaN            NaN            NaN
  1371.79        2500.00                 NaN   98.3472                 NaN  0.142178       0.672090                 NaN            NaN  0.331403       0.507151                 NaN            NaN            NaN
  1370.72        2500.00                 NaN   99.9979                 NaN  0.188566E-002            NaN            NaN            NaN            NaN  0.198815E-003            NaN            NaN            NaN
  1369.66        2500.00                 NaN   99.1999                 NaN  0.703705E-001  0.324021                 NaN            NaN  0.160604       0.245105                 NaN            NaN            NaN
  1368.59        2500.00                 NaN   99.1927                 NaN  0.685850E-001  0.328631                 NaN            NaN  0.162910       0.247193                 NaN            NaN            NaN
  1367.52        2500.00                 NaN   99.1988                 NaN  0.327467       0.665901E-001            NaN            NaN  0.162008       0.245140                 NaN            NaN            NaN
  1366.45        2500.00                 NaN   99.2065                 NaN  0.647933E-001  0.324931                 NaN            NaN  0.161077       0.242726                 NaN            NaN            NaN
  1365.38        2500.00                 NaN   99.2117                 NaN  0.324938       0.622161E-001            NaN            NaN  0.160278       0.240872                 NaN            NaN            NaN
  1364.31        2500.00                 NaN   99.2196                 NaN  0.609884E-001  0.321694                 NaN            NaN  0.159340       0.238382                 NaN            NaN            NaN
  1363.25        2500.00                 NaN   99.2253                 NaN  0.582896E-001  0.321836                 NaN            NaN  0.158184       0.236358                 NaN            NaN            NaN
  1362.18        2500.00                 NaN   99.2319                 NaN  0.574661E-001  0.319367                 NaN            NaN  0.157087       0.234228                 NaN            NaN            NaN
  1361.11        2500.00                 NaN   99.2379                 NaN  0.317909       0.558414E-001            NaN            NaN  0.156140       0.232198                 NaN            NaN            NaN
  1360.04        2500.00                 NaN   99.2439                 NaN  0.538444E-001  0.316296                 NaN            NaN  0.155601       0.230370                 NaN            NaN            NaN
  1358.97        2500.00                 NaN   99.2492                 NaN  0.528066E-001  0.315539                 NaN            NaN  0.153998       0.228460                 NaN            NaN            NaN
  1357.90        2500.00                 NaN   99.2571                 NaN  0.314358       0.502754E-001            NaN            NaN  0.152707       0.225536                 NaN            NaN            NaN
  1356.84        2500.00                 NaN   99.2615                 NaN  0.497489E-001  0.312890                 NaN            NaN  0.151713       0.224191                 NaN            NaN            NaN
  1355.77        2500.00                 NaN   99.2670                 NaN  0.311836       0.481603E-001            NaN            NaN  0.150730       0.222280                 NaN            NaN            NaN
  1354.70        2500.00                 NaN   99.2728                 NaN  0.311258       0.459956E-001            NaN            NaN  0.149653       0.220310                 NaN            NaN            NaN
  1353.63        2500.00                 NaN   99.2787                 NaN  0.441425E-001  0.308570                 NaN            NaN  0.149788       0.218832                 NaN            NaN            NaN
  1352.56        2500.00                 NaN   99.2847                 NaN  0.307635       0.455422E-001            NaN            NaN  0.146191       0.215898                 NaN            NaN            NaN
  1351.49        2500.00                 NaN   99.2875                 NaN  0.306395       0.447589E-001            NaN            NaN  0.146179       0.215172                 NaN            NaN            NaN
  1350.43        2500.00                 NaN   99.2961                 NaN  0.304187       0.432584E-001            NaN            NaN  0.144156       0.212254                 NaN            NaN            NaN
  1349.36        2500.00                 NaN   99.2996                 NaN  0.304688       0.401831E-001            NaN            NaN  0.144205       0.211282                 NaN            NaN            NaN
  1348.29        2500.00                 NaN   99.3055                 NaN  0.300986       0.430526E-001            NaN            NaN  0.141438       0.208984                 NaN            NaN            NaN
  1347.22        2500.00                 NaN   99.3105                 NaN  0.302908       0.377788E-001            NaN            NaN  0.141403       0.207419                 NaN            NaN            NaN
  1346.15        2500.00                 NaN   99.3160                 NaN  0.420640E-001  0.298191                 NaN            NaN  0.138494       0.205259                 NaN            NaN            NaN
  1345.08        2500.00                 NaN   99.3205                 NaN  0.395016E-001  0.298094                 NaN            NaN  0.138058       0.203837                 NaN            NaN            NaN
  1344.02        2500.00                 NaN   99.3251                 NaN  0.298057       0.376687E-001            NaN            NaN  0.136901       0.202263                 NaN            NaN            NaN
  1342.95        2500.00                 NaN   99.3304                 NaN  0.295582       0.391252E-001            NaN            NaN  0.134705       0.200230                 NaN            NaN            NaN
  1341.88        2500.00                 NaN   99.3345                 NaN  0.297363       0.334933E-001            NaN            NaN  0.135458       0.199182                 NaN            NaN            NaN
  1340.81        2500.00                 NaN   99.3400                 NaN  0.415322E-001  0.290940                 NaN            NaN  0.130867       0.196648                 NaN            NaN            NaN
  1339.74        2500.00                 NaN   99.3449                 NaN  0.336693E-001  0.293709                 NaN            NaN  0.132254       0.195472                 NaN            NaN            NaN
  1338.67        2500.00                 NaN   99.3490                 NaN  0.401597E-001  0.288583                 NaN            NaN  0.128596       0.193664                 NaN            NaN            NaN
  1337.61        2500.00                 NaN   99.3533                 NaN  0.386060E-001  0.288737                 NaN            NaN  0.127266       0.192084                 NaN            NaN            NaN
  1336.54        2500.00                 NaN   99.3575                 NaN  0.370296E-001  0.288825                 NaN            NaN  0.126056       0.190556                 NaN            NaN            NaN
  1335.47        2500.00                 NaN   99.3627                 NaN  0.287365       0.359167E-001            NaN            NaN  0.125116       0.188942                 NaN            NaN            NaN
  1334.40        2500.00                 NaN   99.3665                 NaN  0.286273       0.366589E-001            NaN            NaN  0.123119       0.187432                 NaN            NaN            NaN
  1333.33        2500.00                 NaN   99.3719                 NaN  0.284320       0.360607E-001            NaN            NaN  0.121945       0.185772                 NaN            NaN            NaN
  1332.26        2500.00                 NaN   99.3747                 NaN  0.379967E-001  0.283364                 NaN            NaN  0.119581       0.184345                 NaN            NaN            NaN
  1331.19        2500.00                 NaN   99.3792                 NaN  0.282568       0.368711E-001            NaN            NaN  0.118448       0.182914                 NaN            NaN            NaN
  1330.13        2500.00                 NaN   99.3829                 NaN  0.279929       0.397115E-001            NaN            NaN  0.116069       0.181430                 NaN            NaN            NaN
  1329.06        2500.00                 NaN   99.3872                 NaN  0.279963       0.381382E-001            NaN            NaN  0.114815       0.179905                 NaN            NaN            NaN
  1327.99        2500.00                 NaN   99.3910                 NaN  0.279120       0.381866E-001            NaN            NaN  0.113185       0.178546                 NaN            NaN            NaN
  1326.92        2500.00                 NaN   99.3949                 NaN  0.277696       0.389936E-001            NaN            NaN  0.111343       0.177055                 NaN            NaN            NaN
  1325.85        2500.00                 NaN   99.3990                 NaN  0.393433E-001  0.276113                 NaN            NaN  0.109895       0.175685                 NaN            NaN            NaN
  1324.78        2500.00                 NaN   99.4025                 NaN  0.404865E-001  0.274762                 NaN            NaN  0.107933       0.174327                 NaN            NaN            NaN
  1323.72        2500.00                 NaN   99.4062                 NaN  0.273978       0.407816E-001            NaN            NaN  0.106103       0.172941                 NaN            NaN            NaN
  1322.65        2500.00                 NaN   99.4099                 NaN  0.272198       0.421833E-001            NaN            NaN  0.104114       0.171567                 NaN            NaN            NaN
  1321.58        2500.00                 NaN   99.4140                 NaN  0.269304       0.441554E-001            NaN            NaN  0.102368       0.170221                 NaN            NaN            NaN
  1320.51        2500.00                 NaN   99.4169                 NaN  0.271574       0.417530E-001            NaN            NaN  0.100888       0.168932                 NaN            NaN            NaN
  1319.44        2500.00                 NaN   99.4203                 NaN  0.269942       0.431498E-001            NaN            NaN  0.989024E-001  0.167703                 NaN            NaN            NaN
  1318.37        2500.00                 NaN   99.4241                 NaN  0.269572       0.428190E-001            NaN            NaN  0.971438E-001  0.166331                 NaN            NaN            NaN
  1317.31        2500.00                 NaN   99.4268                 NaN  0.267842       0.449778E-001            NaN            NaN  0.951001E-001  0.165260                 NaN            NaN            NaN
  1316.24        2500.00                 NaN   99.0729                 NaN  0.461497                 NaN            NaN            NaN  0.183426       0.282162                 NaN            NaN            NaN
  1315.17        2500.00                 NaN   99.8038                 NaN  0.967358E-001            NaN            NaN            NaN  0.578018E-001  0.416798E-001            NaN            NaN            NaN
  1314.10        2500.00                 NaN   99.4268                 NaN  0.382268                 NaN            NaN            NaN  0.273252E-001  0.163566                 NaN            NaN            NaN
  1313.03        2500.00                 NaN   99.4428                 NaN  0.283181       0.198118E-001            NaN            NaN  0.937278E-001  0.160525                 NaN            NaN            NaN
  1311.96        2500.00                 NaN   99.4393                 NaN  0.221139       0.106317                 NaN            NaN  0.740517E-001  0.159215                 NaN            NaN            NaN
  1310.90        2500.00                 NaN   99.4458                 NaN  0.265441       0.472128E-001            NaN            NaN  0.834722E-001  0.158100                 NaN            NaN            NaN
  1309.83        2500.00                 NaN   99.4490                 NaN  0.460602E-001  0.266388                 NaN            NaN  0.816596E-001  0.156929                 NaN            NaN            NaN
  1308.76        2500.00                 NaN   99.4516                 NaN  0.512328E-001  0.262336                 NaN            NaN  0.789235E-001  0.155861                 NaN            NaN            NaN
  1307.69        2500.00                 NaN   93.6463                 NaN   1.54961                 NaN            NaN            NaN  0.462873       0.863140        3.47805                 NaN            NaN
  1306.62        2500.00                 NaN   90.2983                 NaN   2.29256                 NaN            NaN            NaN  0.664444        1.26988        5.47481                 NaN            NaN
  1305.55        2500.00                 NaN   90.7588                 NaN   2.19712                 NaN            NaN            NaN  0.635077        1.21278        5.19624                 NaN            NaN
  1304.49        2500.00                 NaN   91.1666                 NaN   2.11328                 NaN            NaN            NaN  0.608475        1.16227        4.94934                 NaN            NaN
  1303.42        2500.00                 NaN   91.5546                 NaN   2.05018                 NaN            NaN            NaN  0.569749        1.11434        4.71111                 NaN            NaN
  1302.35        2500.00                 NaN   91.8743                 NaN   1.99852                 NaN            NaN            NaN  0.538669        1.07474        4.51373                 NaN            NaN
  1301.28        2500.00                 NaN   92.1869                 NaN   1.91311                 NaN            NaN            NaN  0.534617        1.03588        4.32950                 NaN            NaN
