|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/LAR/LAR_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1426.28        2500.00       0.184010E-001   95.8828                 NaN   1.26464        2.78394                 NaN            NaN  0.502135E-001            NaN            NaN            NaN            NaN
  1425.21        2500.00                 NaN   99.5817                 NaN  0.159128E-004  0.344245                 NaN            NaN  0.739940E-001            NaN            NaN            NaN            NaN
  1424.14        2500.00       0.105172E-003   99.5641                 NaN  0.303657       0.132097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.07        2500.00       0.884410E-004   99.1835                 NaN  0.241365       0.569167                 NaN            NaN  0.585677E-002            NaN            NaN            NaN            NaN
  1422.01        2500.00       0.771015E-005   99.9431                 NaN  0.391081E-001  0.178197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.94        2500.00       0.812757E-004   99.5811                 NaN  0.129400       0.289418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.87        2500.00       0.332155E-004   99.5742                 NaN  0.105422       0.305638                 NaN            NaN  0.147347E-001            NaN            NaN            NaN            NaN
  1418.80        2500.00       0.414807E-004   99.5756                 NaN  0.302872       0.109496                 NaN            NaN  0.119778E-001            NaN            NaN            NaN            NaN
  1417.73        2500.00       0.379779E-004   99.5643                 NaN  0.312369       0.108933                 NaN            NaN  0.143779E-001            NaN            NaN            NaN            NaN
  1416.66        2500.00       0.863869E-003   99.9156                 NaN  0.243861E-001  0.568052E-001            NaN            NaN  0.237838E-002            NaN            NaN            NaN            NaN
  1415.60        2500.00                 NaN   98.6503                 NaN  0.269746       0.583505                 NaN            NaN  0.142592       0.353877                 NaN            NaN            NaN
  1414.53        2500.00                 NaN   98.9168                 NaN  0.193279       0.355238                 NaN            NaN  0.145436       0.389257                 NaN            NaN            NaN
  1413.46        2500.00                 NaN   98.8815                 NaN  0.367536       0.197013                 NaN            NaN  0.151804       0.402167                 NaN            NaN            NaN
  1412.39        2500.00                 NaN   98.9908                 NaN  0.175590       0.332805                 NaN            NaN  0.137771       0.363022                 NaN            NaN            NaN
  1411.32        2500.00                 NaN   98.9551                 NaN  0.346302       0.179283                 NaN            NaN  0.143438       0.375879                 NaN            NaN            NaN
  1410.25        2500.00                 NaN   98.9675                 NaN  0.343116       0.174483                 NaN            NaN  0.143131       0.371740                 NaN            NaN            NaN
  1409.19        2500.00                 NaN   98.9795                 NaN  0.340447       0.169885                 NaN            NaN  0.142599       0.367588                 NaN            NaN            NaN
  1408.12        2500.00                 NaN   98.9915                 NaN  0.165340       0.337729                 NaN            NaN  0.141968       0.363492                 NaN            NaN            NaN
  1407.05        2500.00                 NaN   99.0029                 NaN  0.163963       0.334141                 NaN            NaN  0.139848       0.359134                 NaN            NaN            NaN
  1405.98        2500.00                 NaN   99.0143                 NaN  0.333215       0.154023                 NaN            NaN  0.142561       0.355903                 NaN            NaN            NaN
  1404.91        2500.00                 NaN   99.0251                 NaN  0.152242       0.330408                 NaN            NaN  0.140401       0.351872                 NaN            NaN            NaN
  1403.84        2500.00                 NaN   99.0365                 NaN  0.327756       0.148520                 NaN            NaN  0.139514       0.347710                 NaN            NaN            NaN
  1402.78        2500.00                 NaN   99.0466                 NaN  0.325996       0.143107                 NaN            NaN  0.139799       0.344506                 NaN            NaN            NaN
  1401.71        2500.00                 NaN   99.0591                 NaN  0.170324       0.312315                 NaN            NaN  0.121852       0.336385                 NaN            NaN            NaN
  1400.64        2500.00                 NaN   99.0681                 NaN  0.330225       0.107275                 NaN            NaN  0.154181       0.340234                 NaN            NaN            NaN
  1399.57        2500.00                 NaN   99.0760                 NaN  0.318693       0.133351                 NaN            NaN  0.137878       0.334102                 NaN            NaN            NaN
  1398.50        2500.00                 NaN   99.0914                 NaN  0.129448       0.314427                 NaN            NaN  0.136194       0.328488                 NaN            NaN            NaN
  1397.43        2500.00                 NaN   99.0961                 NaN  0.314565       0.125376                 NaN            NaN  0.136771       0.327202                 NaN            NaN            NaN
  1396.37        2500.00                 NaN   99.1092                 NaN  0.310130       0.123736                 NaN            NaN  0.134944       0.322036                 NaN            NaN            NaN
  1395.30        2500.00                 NaN   99.1185                 NaN  0.118015       0.309454                 NaN            NaN  0.135051       0.318993                 NaN            NaN            NaN
  1394.23        2500.00                 NaN   99.1268                 NaN  0.307343       0.115264                 NaN            NaN  0.134403       0.316161                 NaN            NaN            NaN
  1393.16        2500.00                 NaN   99.1362                 NaN  0.305440       0.111841                 NaN            NaN  0.133749       0.312777                 NaN            NaN            NaN
  1392.09        2500.00                 NaN   99.1445                 NaN  0.107351       0.304316                 NaN            NaN  0.133809       0.310066                 NaN            NaN            NaN
  1391.02        2500.00                 NaN   99.1541                 NaN  0.301177       0.106524                 NaN            NaN  0.131923       0.306279                 NaN            NaN            NaN
  1389.96        2500.00                 NaN   99.1643                 NaN  0.298792       0.102139                 NaN            NaN  0.131929       0.302812                 NaN            NaN            NaN
