|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/EETA/EETA_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           Opx(TH)        an             San(TH)        ilm            q             
  1461.54        2500.00        99.9592       0.406737E-001            NaN            NaN  0.828510E-004            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00        99.8548       0.121062                 NaN            NaN  0.110314E-002  0.229915E-001            NaN            NaN            NaN            NaN
  1459.23        2500.00        99.1210       0.436464       0.440404                 NaN  0.217735E-002            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00        99.0057       0.658221       0.330105                 NaN  0.593728E-002            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00        99.8823       0.778497E-001  0.391335E-001            NaN  0.698475E-003            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00        99.4662       0.177074       0.353621                 NaN  0.311343E-002            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00        99.4571       0.359754       0.180049                 NaN  0.310285E-002            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        99.4634       0.178466       0.355153                 NaN  0.301911E-002            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00        99.4659       0.177544       0.353628                 NaN  0.294333E-002            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00        99.4701       0.350653       0.176340                 NaN  0.287990E-002            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00        99.4732       0.175388       0.348571                 NaN  0.280273E-002            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00        99.4774       0.345673       0.174242                 NaN  0.271637E-002            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00        99.4461       0.366709       0.184460                 NaN  0.277414E-002            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00        99.5187       0.160839       0.318021                 NaN  0.240982E-002            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00        99.4873       0.338736       0.171430                 NaN  0.252048E-002            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00        98.6680       0.455632       0.445762                 NaN  0.194850E-001            NaN  0.411160                 NaN            NaN            NaN
  1443.03        2500.00        98.2783       0.576100       0.506630                 NaN  0.275977E-001            NaN  0.611327                 NaN            NaN            NaN
  1441.88        2500.00        98.3196       0.562440       0.494289                 NaN  0.267375E-001            NaN  0.596929                 NaN            NaN            NaN
  1440.72        2500.00        98.3597       0.549473       0.482164                 NaN  0.259534E-001            NaN  0.582743                 NaN            NaN            NaN
  1439.56        2500.00        98.3957       0.472091       0.536344                 NaN  0.253789E-001            NaN  0.570442                 NaN            NaN            NaN
  1438.41        2500.00        98.4382       0.523484       0.458839                 NaN  0.244164E-001            NaN  0.555103                 NaN            NaN            NaN
