|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/EETA/EETA_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           Opx(TH)        an             San(TH)        ilm            q             
  1461.54        2500.00        99.9516       0.482148E-001            NaN            NaN  0.224204E-003            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00        99.8273       0.142299                 NaN            NaN  0.298485E-002  0.274176E-001            NaN            NaN            NaN            NaN
  1459.23        2500.00        98.9597       0.512504       0.521905                 NaN  0.588657E-002            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00        98.8191       0.773425       0.391377                 NaN  0.160573E-001            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00        99.8600       0.916244E-001  0.464885E-001            NaN  0.189228E-002            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00        99.3652       0.210314       0.416088                 NaN  0.843084E-002            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00        99.3541       0.423509       0.213982                 NaN  0.840480E-002            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        99.3613       0.212209       0.418285                 NaN  0.818075E-002            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00        99.3641       0.211240       0.416693                 NaN  0.797808E-002            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00        99.3689       0.413374       0.209916                 NaN  0.780878E-002            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00        99.3724       0.208914       0.411117                 NaN  0.760207E-002            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00        99.3771       0.407908       0.207666                 NaN  0.737030E-002            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00        99.3395       0.432955       0.219994                 NaN  0.752922E-002            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00        99.4259       0.191925       0.375659                 NaN  0.654334E-002            NaN            NaN            NaN            NaN            NaN
