|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/EETA/EETA_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1423.08        500.000        99.9661       0.339493E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.7999       0.917140E-001  0.108324                 NaN  0.351924E-004            NaN            NaN            NaN            NaN
  1420.96        500.000        99.1545       0.294998       0.550507                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.4103       0.208506       0.381235                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.4083       0.382723       0.208944                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.4212       0.373793       0.204988                 NaN            NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        99.4200       0.374762       0.205238                 NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        98.5921       0.458284       0.582501                 NaN            NaN  0.367095                 NaN            NaN            NaN
  1414.60        500.000        98.4529       0.468552       0.646768                 NaN            NaN  0.431821                 NaN            NaN            NaN
  1413.54        500.000        99.4125       0.186081       0.218295                 NaN  0.163687E-001  0.166709                 NaN            NaN            NaN
  1412.48        500.000        97.5626        1.01975       0.737781                 NaN            NaN  0.679863                 NaN            NaN            NaN
  1411.42        500.000        98.5132       0.621452       0.450610                 NaN            NaN  0.414749                 NaN            NaN            NaN
  1410.36        500.000        98.4499       0.469644       0.647961                 NaN            NaN  0.432505                 NaN            NaN            NaN
  1409.30        500.000        98.6353       0.413243       0.570802                 NaN            NaN  0.380634                 NaN            NaN            NaN
  1408.24        500.000        98.5704       0.598151       0.432776                 NaN  0.161006E-005  0.398689                 NaN            NaN            NaN
  1407.17        500.000        98.5893       0.460550       0.457146                 NaN  0.870239E-001  0.406012                 NaN            NaN            NaN
  1406.11        500.000        98.5246       0.431944       0.490452                 NaN  0.124178       0.428806                 NaN            NaN            NaN
  1405.05        500.000        98.7192       0.370366       0.427214                 NaN  0.110541       0.372673                 NaN            NaN            NaN
  1403.99        500.000        98.6457       0.387801       0.453424                 NaN  0.118867       0.394216                 NaN            NaN            NaN
  1402.93        500.000        98.6605       0.450335       0.378627                 NaN  0.120077       0.390499                 NaN            NaN            NaN
  1401.87        500.000        98.5454       0.411382       0.487315                 NaN  0.132303       0.423628                 NaN            NaN            NaN
  1400.81        500.000        98.8267       0.396391       0.325372                 NaN  0.109334       0.342241                 NaN            NaN            NaN
  1399.75        500.000        98.7128       0.436417       0.353024                 NaN  0.122261       0.375507                 NaN            NaN            NaN
  1398.69        500.000        98.7262       0.346714       0.432333                 NaN  0.122831       0.371941                 NaN            NaN            NaN
  1397.63        500.000        98.7426       0.428551       0.337779                 NaN  0.123771       0.367347                 NaN            NaN            NaN
  1396.57        500.000        98.7562       0.329968       0.425549                 NaN  0.124714       0.363584                 NaN            NaN            NaN
  1395.51        500.000        98.7715       0.421466       0.322202                 NaN  0.125502       0.359286                 NaN            NaN            NaN
  1394.45        500.000        98.7852       0.418064       0.315102                 NaN  0.126203       0.355422                 NaN            NaN            NaN
  1393.39        500.000        98.6314       0.472422       0.351317                 NaN  0.144166       0.400672                 NaN            NaN            NaN
  1392.33        500.000        98.9778       0.258013       0.354263                 NaN  0.110552       0.299388                 NaN            NaN            NaN
  1391.27        500.000        98.8267       0.407569       0.293954                 NaN  0.127923       0.343809                 NaN            NaN            NaN
  1390.21        500.000        98.8403       0.284504       0.405158                 NaN  0.129894       0.340094                 NaN            NaN            NaN
  1389.15        500.000        98.8533       0.279475       0.400714                 NaN  0.130017       0.336510                 NaN            NaN            NaN
  1388.09        500.000        99.6146       0.954215E-001  0.135327                 NaN  0.415681E-001  0.113074                 NaN            NaN            NaN
  1387.03        500.000        98.1278       0.658866       0.445046                 NaN  0.218862       0.549385                 NaN            NaN            NaN
  1385.97        500.000        98.8895       0.259181       0.392832                 NaN  0.132261       0.326262                 NaN            NaN            NaN
  1384.91        500.000        98.9026       0.253143       0.389104                 NaN  0.132646       0.322539                 NaN            NaN            NaN
  1383.85        500.000        98.9121       0.371322       0.303382                 NaN  0.981552E-001  0.315023                 NaN            NaN            NaN
  1382.79        500.000        98.7881       0.484944       0.312208                 NaN  0.665049E-001  0.348196                 NaN            NaN            NaN
  1381.73        500.000        99.0212       0.389783       0.158262                 NaN  0.142648       0.288070                 NaN            NaN            NaN
  1380.67        500.000        99.0072       0.455849                 NaN            NaN  0.230602       0.306343                 NaN            NaN            NaN
  1379.61        500.000        98.9611       0.376240       0.219725                 NaN  0.136823       0.306126                 NaN            NaN            NaN
  1378.55        500.000        98.9710       0.217127       0.372583                 NaN  0.136163       0.303127                 NaN            NaN            NaN
  1377.48        500.000        98.9785       0.211276       0.371436                 NaN  0.137584       0.301230                 NaN            NaN            NaN
  1376.42        500.000        98.9946       0.366783       0.205647                 NaN  0.136766       0.296248                 NaN            NaN            NaN
  1375.36        500.000        99.0018       0.200192       0.365514                 NaN  0.138033       0.294415                 NaN            NaN            NaN
  1374.30        500.000        99.0126       0.194544       0.363052                 NaN  0.138457       0.291311                 NaN            NaN            NaN
  1373.24        500.000        99.0238       0.359887       0.189361                 NaN  0.138782       0.288205                 NaN            NaN            NaN
  1372.18        500.000        99.0321       0.184516       0.358680                 NaN  0.139046       0.285683                 NaN            NaN            NaN
  1371.12        500.000        99.0419       0.179463       0.356156                 NaN  0.139625       0.282849                 NaN            NaN            NaN
  1370.06        500.000        99.0508       0.353815       0.175050                 NaN  0.139993       0.280295                 NaN            NaN            NaN
  1369.00        500.000        99.0604       0.169169       0.351920                 NaN  0.140914       0.277624                 NaN            NaN            NaN
  1367.94        500.000        99.0706       0.349213       0.165164                 NaN  0.140451       0.274533                 NaN            NaN            NaN
  1366.88        500.000        99.0791       0.347798       0.159787                 NaN  0.141156       0.272148                 NaN            NaN            NaN
  1365.82        500.000        99.0875       0.345527       0.155997                 NaN  0.141306       0.269685                 NaN            NaN            NaN
  1364.76        500.000        99.0941       0.148840       0.345748                 NaN  0.143180       0.268163                 NaN            NaN            NaN
  1363.70        500.000        99.1076       0.149458       0.339648                 NaN  0.139896       0.263442                 NaN            NaN            NaN
  1362.64        500.000        99.1136       0.340550       0.140667                 NaN  0.142859       0.262337                 NaN            NaN            NaN
  1361.58        500.000        99.1230       0.336850       0.139419                 NaN  0.141532       0.259191                 NaN            NaN            NaN
  1360.52        500.000        99.1295       0.336806       0.131945                 NaN  0.143855       0.257881                 NaN            NaN            NaN
  1359.46        500.000        99.1402       0.132433       0.332490                 NaN  0.140932       0.253929                 NaN            NaN            NaN
  1358.40        500.000        99.1463       0.126124       0.332128                 NaN  0.142916       0.252508                 NaN            NaN            NaN
  1357.34        500.000        99.1547       0.329757       0.123384                 NaN  0.142296       0.249907                 NaN            NaN            NaN
  1356.28        500.000        99.1622       0.119313       0.328176                 NaN  0.142574       0.247708                 NaN            NaN            NaN
  1355.22        500.000        99.1677       0.113200       0.328310                 NaN  0.144206       0.246590                 NaN            NaN            NaN
