|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/EETA/EETA_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1423.08        500.000        99.9716       0.284199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000        99.8313       0.767735E-001  0.918785E-001            NaN  0.276394E-004            NaN            NaN            NaN            NaN
  1420.96        500.000        99.2857       0.247013       0.467251                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.90        500.000        99.5023       0.174415       0.323305                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.5009       0.324399       0.174674                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.78        500.000        99.5120       0.316694       0.171281                 NaN            NaN            NaN            NaN            NaN            NaN
  1416.72        500.000        99.5112       0.317391       0.171400                 NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        98.7472       0.388146       0.486429                 NaN            NaN  0.378225                 NaN            NaN            NaN
  1414.60        500.000        98.6189       0.396599       0.539678                 NaN            NaN  0.444825                 NaN            NaN            NaN
  1413.54        500.000        99.4764       0.157347       0.181987                 NaN  0.127647E-001  0.171532                 NaN            NaN            NaN
  1412.48        500.000        97.8249       0.850311       0.624224                 NaN            NaN  0.700576                 NaN            NaN            NaN
  1411.42        500.000        98.6754       0.517221       0.380592                 NaN            NaN  0.426802                 NaN            NaN            NaN
  1410.36        500.000        98.6199       0.396366       0.538818                 NaN            NaN  0.444952                 NaN            NaN            NaN
  1409.30        500.000        98.7860       0.348469       0.474188                 NaN            NaN  0.391388                 NaN            NaN            NaN
  1408.24        500.000        98.7289       0.496536       0.364726                 NaN  0.124897E-005  0.409846                 NaN            NaN            NaN
  1407.17        500.000        98.7486       0.381909       0.384966                 NaN  0.673598E-001  0.417199                 NaN            NaN            NaN
  1406.11        500.000        98.6931       0.357884       0.412663                 NaN  0.959446E-001  0.440444                 NaN            NaN            NaN
  1405.05        500.000        98.8666       0.306517       0.359089                 NaN  0.852594E-001  0.382537                 NaN            NaN            NaN
  1403.99        500.000        98.8025       0.320651       0.380828                 NaN  0.915278E-001  0.404496                 NaN            NaN            NaN
  1402.93        500.000        98.8165       0.377895       0.312755                 NaN  0.923160E-001  0.400485                 NaN            NaN            NaN
  1401.87        500.000        98.7162       0.339383       0.408576                 NaN  0.101521       0.434291                 NaN            NaN            NaN
  1400.81        500.000        98.9655       0.332016       0.268182                 NaN  0.837661E-001  0.350585                 NaN            NaN            NaN
  1399.75        500.000        98.8659       0.365266       0.290730                 NaN  0.935469E-001  0.384526                 NaN            NaN            NaN
  1398.69        500.000        98.8788       0.285225       0.361509                 NaN  0.938158E-001  0.380679                 NaN            NaN            NaN
  1397.63        500.000        98.8942       0.358038       0.277617                 NaN  0.943807E-001  0.375782                 NaN            NaN            NaN
  1396.57        500.000        98.9072       0.270915       0.355213                 NaN  0.949534E-001  0.371737                 NaN            NaN            NaN
  1395.51        500.000        98.9217       0.351499       0.264288                 NaN  0.953892E-001  0.367147                 NaN            NaN            NaN
  1394.45        500.000        98.9347       0.348329       0.258178                 NaN  0.957667E-001  0.363004                 NaN            NaN            NaN
  1393.39        500.000        98.8010       0.393310       0.287580                 NaN  0.109012       0.409051                 NaN            NaN            NaN
  1392.33        500.000        99.1055       0.210943       0.294599                 NaN  0.836040E-001  0.305378                 NaN            NaN            NaN
  1391.27        500.000        98.9740       0.338688       0.240124                 NaN  0.966073E-001  0.350566                 NaN            NaN            NaN
  1390.21        500.000        98.9870       0.232165       0.336336                 NaN  0.979268E-001  0.346585                 NaN            NaN            NaN
  1389.15        500.000        98.9992       0.227827       0.332392                 NaN  0.978434E-001  0.342740                 NaN            NaN            NaN
  1388.09        500.000        99.6642       0.776166E-001  0.112014                 NaN  0.311474E-001  0.115036                 NaN            NaN            NaN
  1387.03        500.000        98.3677       0.546044       0.362437                 NaN  0.164375       0.559465                 NaN            NaN            NaN
  1385.97        500.000        99.0337       0.210615       0.324898                 NaN  0.990664E-001  0.331732                 NaN            NaN            NaN
  1384.91        500.000        99.0461       0.205484       0.321489                 NaN  0.991870E-001  0.327756                 NaN            NaN            NaN
  1383.85        500.000        99.0542       0.306544       0.246037                 NaN  0.732627E-001  0.319940                 NaN            NaN            NaN
  1382.79        500.000        98.9465       0.392966       0.257542                 NaN  0.495584E-001  0.353477                 NaN            NaN            NaN
  1381.73        500.000        99.1524       0.321204       0.128066                 NaN  0.106145       0.292197                 NaN            NaN            NaN
  1380.67        500.000        99.1429       0.375228                 NaN            NaN  0.171281       0.310547                 NaN            NaN            NaN
  1379.61        500.000        99.1015       0.309416       0.177445                 NaN  0.101466       0.310157                 NaN            NaN            NaN
  1378.55        500.000        99.1110       0.175160       0.306115                 NaN  0.100814       0.306932                 NaN            NaN            NaN
  1377.48        500.000        99.1183       0.170260       0.304878                 NaN  0.101695       0.304826                 NaN            NaN            NaN
  1376.42        500.000        99.1332       0.300764       0.165552                 NaN  0.100933       0.299599                 NaN            NaN            NaN
  1375.36        500.000        99.1403       0.160991       0.299440                 NaN  0.101699       0.297562                 NaN            NaN            NaN
  1374.30        500.000        99.1505       0.156295       0.297110                 NaN  0.101856       0.294241                 NaN            NaN            NaN
  1373.24        500.000        99.1609       0.294266       0.151967                 NaN  0.101938       0.290922                 NaN            NaN            NaN
  1372.18        500.000        99.1690       0.147913       0.292987                 NaN  0.101941       0.288195                 NaN            NaN            NaN
  1371.12        500.000        99.1783       0.143711       0.290642                 NaN  0.102202       0.285156                 NaN            NaN            NaN
  1370.06        500.000        99.1868       0.288423       0.140024                 NaN  0.102305       0.282401                 NaN            NaN            NaN
  1369.00        500.000        99.1958       0.135199       0.286612                 NaN  0.102816       0.279531                 NaN            NaN            NaN
  1367.94        500.000        99.2055       0.284131       0.131842                 NaN  0.102323       0.276240                 NaN            NaN            NaN
  1366.88        500.000        99.2136       0.282697       0.127421                 NaN  0.102663       0.273665                 NaN            NaN            NaN
  1365.82        500.000        99.2216       0.280573       0.124250                 NaN  0.102602       0.271012                 NaN            NaN            NaN
  1364.76        500.000        99.2281       0.118432       0.280402                 NaN  0.103802       0.269307                 NaN            NaN            NaN
  1363.70        500.000        99.2403       0.118800       0.275270                 NaN  0.101249       0.264391                 NaN            NaN            NaN
  1362.64        500.000        99.2462       0.275726       0.111701                 NaN  0.103250       0.263109                 NaN            NaN            NaN
  1361.58        500.000        99.2551       0.272440       0.110581                 NaN  0.102104       0.259783                 NaN            NaN            NaN
  1360.52        500.000        99.2614       0.272142       0.104547                 NaN  0.103628       0.258299                 NaN            NaN            NaN
  1359.46        500.000        99.2713       0.104818       0.268367                 NaN  0.101351       0.254170                 NaN            NaN            NaN
  1358.40        500.000        99.2773       0.997198E-001  0.267807                 NaN  0.102619       0.252579                 NaN            NaN            NaN
  1357.34        500.000        99.2851       0.265632       0.974496E-001            NaN  0.101999       0.249810                 NaN            NaN            NaN
  1356.28        500.000        99.2923       0.941339E-001  0.264090                 NaN  0.102033       0.247445                 NaN            NaN            NaN
  1355.22        500.000        99.2976       0.892139E-001  0.263945                 NaN  0.103095       0.246162                 NaN            NaN            NaN
  1354.16        500.000        99.3097       0.882631E-001  0.259740                 NaN  0.101031       0.241224                 NaN            NaN            NaN
  1353.10        500.000        99.3127       0.259754       0.856843E-001            NaN  0.101343       0.240487                 NaN            NaN            NaN
  1352.04        500.000        99.3211       0.827039E-001  0.257347                 NaN  0.101217       0.237669                 NaN            NaN            NaN
  1350.98        500.000        99.3274       0.255740       0.794679E-001            NaN  0.101577       0.235782                 NaN            NaN            NaN
  1349.92        500.000        99.3346       0.254197       0.774540E-001            NaN  0.100705       0.233054                 NaN            NaN            NaN
  1348.86        500.000        99.3406       0.252109       0.759043E-001            NaN  0.100409       0.230955                 NaN            NaN            NaN
  1347.80        500.000        99.3450       0.252218       0.723819E-001            NaN  0.100610       0.229746                 NaN            NaN            NaN
  1346.73        500.000        99.3540       0.248851       0.719800E-001            NaN  0.992021E-001  0.225940                 NaN            NaN            NaN
  1345.67        500.000        99.3613       0.691047E-001  0.246973                 NaN  0.989239E-001  0.223748                 NaN            NaN            NaN
  1344.61        500.000        99.3663       0.662038E-001  0.246329                 NaN  0.990333E-001  0.222130                 NaN            NaN            NaN
  1343.55        500.000        99.3723       0.244601       0.643967E-001            NaN  0.986612E-001  0.220005                 NaN            NaN            NaN
  1342.49        500.000        99.3784       0.625807E-001  0.242985                 NaN  0.981626E-001  0.217853                 NaN            NaN            NaN
  1341.43        500.000        99.4139       0.565757E-001  0.230278                 NaN  0.935141E-001  0.205779                 NaN            NaN            NaN
  1340.37        500.000        99.3606       0.251211       0.630563E-001            NaN  0.101349       0.223822                 NaN            NaN            NaN
  1339.31        500.000        99.3965       0.574420E-001  0.238620                 NaN  0.961957E-001  0.211267                 NaN            NaN            NaN
  1338.25        500.000        99.4021       0.551858E-001  0.237046                 NaN  0.962000E-001  0.209491                 NaN            NaN            NaN
  1337.19        500.000        99.4045       0.538462E-001  0.236931                 NaN  0.959252E-001  0.208778                 NaN            NaN            NaN
  1336.13        500.000        99.4162       0.234404       0.494066E-001            NaN  0.955161E-001  0.204476                 NaN            NaN            NaN
  1335.07        500.000        99.4128       0.237198       0.486885E-001            NaN  0.953502E-001  0.205999                 NaN            NaN            NaN
  1334.01        500.000        99.4288       0.230101       0.482321E-001            NaN  0.933336E-001  0.199503                 NaN            NaN            NaN
  1332.95        500.000        99.4302       0.509663E-001  0.227804                 NaN  0.919393E-001  0.199065                 NaN            NaN            NaN
  1331.89        500.000        99.4340       0.227769       0.482335E-001            NaN  0.921055E-001  0.197874                 NaN            NaN            NaN
  1330.83        500.000        99.4396       0.226906       0.447188E-001            NaN  0.925212E-001  0.196262                 NaN            NaN            NaN
