|6.6.6
Archiving\03_Data\frac/QFM_m5/TIS/TIS_1.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          25
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       melt(TH)       melt(TH)       melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              geik           wo             sill           tiTHL         
  2000.00        2500.00        93.0086                 NaN            NaN            NaN            NaN            NaN   1.00109        5.97426       0.160720E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        2500.00        92.9886                 NaN            NaN            NaN            NaN            NaN   1.00115        5.99419       0.160730E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        2500.00        92.9687                 NaN            NaN            NaN            NaN            NaN   1.00121        6.01405       0.160739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        2500.00        92.9488                 NaN            NaN            NaN            NaN            NaN   1.00126        6.03388       0.160748E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        2500.00        92.9290                 NaN            NaN            NaN            NaN            NaN   1.00132        6.05356       0.160756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        2500.00        92.9094                 NaN            NaN            NaN            NaN            NaN   1.00137        6.07317       0.160765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        2500.00        92.8898                 NaN            NaN            NaN            NaN            NaN   1.00143        6.09274       0.160774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        2500.00        92.8702                 NaN            NaN            NaN            NaN            NaN   1.00148        6.11222       0.160783E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        2500.00        92.8507                 NaN            NaN            NaN            NaN            NaN   1.00154        6.13165       0.160792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        2500.00        92.8313                 NaN            NaN            NaN            NaN            NaN   1.00159        6.15098       0.160801E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
