|6.6.6
Archiving\03_Data\frac/QFM_m5/TIS/TIS_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          25
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       melt(TH)       melt(TH)       melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              geik           wo             sill           tiTHL         
  2000.00        2500.00        96.7627                 NaN            NaN            NaN            NaN            NaN  0.824513        2.40696       0.581370E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        2500.00        96.7545                 NaN            NaN            NaN            NaN            NaN  0.824628        2.41508       0.581409E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        2500.00        96.7463                 NaN            NaN            NaN            NaN            NaN  0.824743        2.42317       0.581448E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        2500.00        96.7381                 NaN            NaN            NaN            NaN            NaN  0.824858        2.43125       0.581487E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        2500.00        96.7299                 NaN            NaN            NaN            NaN            NaN  0.824972        2.43927       0.581525E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        2500.00        96.7218                 NaN            NaN            NaN            NaN            NaN  0.825085        2.44726       0.581563E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        2500.00        96.7137                 NaN            NaN            NaN            NaN            NaN  0.825199        2.45524       0.581601E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        2500.00        96.7057                 NaN            NaN            NaN            NaN            NaN  0.825313        2.46318       0.581639E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        2500.00        96.6977                 NaN            NaN            NaN            NaN            NaN  0.825426        2.47110       0.581677E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        2500.00        96.6897                 NaN            NaN            NaN            NaN            NaN  0.825539        2.47899       0.581715E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        2500.00        96.6817                 NaN            NaN            NaN            NaN            NaN  0.825651        2.48683       0.581753E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        2500.00        96.6738                 NaN            NaN            NaN            NaN            NaN  0.825764        2.49466       0.581790E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        96.6658                 NaN            NaN            NaN            NaN            NaN  0.825876        2.50246       0.581828E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        96.6580                 NaN            NaN            NaN            NaN            NaN  0.825988        2.51024       0.581865E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
