|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2/GRV/GRV_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1560.90        500.000       0.149443E-001   99.5070       0.452551       0.255396E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.49        500.000                 NaN   99.1355       0.864523       0.159840E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.09        500.000                 NaN   99.1366       0.863368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        500.000       0.351163E-003   99.1429       0.856715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.28        500.000                 NaN   99.1466       0.853398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        500.000                 NaN   99.1508       0.849186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.47        500.000                 NaN   99.1561       0.843890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        500.000                 NaN   98.6840        1.31601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.65        500.000                 NaN   99.6434       0.356602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        500.000                 NaN   99.1714       0.828575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        500.000                 NaN   99.1724       0.827644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.44        500.000                 NaN   99.1773       0.822729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.03        500.000       0.875655E-002   99.1454       0.845853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.63        500.000                 NaN   99.2402       0.759784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.22        500.000                 NaN   99.1884       0.811588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        500.000                 NaN   99.1908       0.809228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.41        500.000                 NaN   99.1960       0.804013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        500.000                 NaN   99.1945       0.805512                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.60        500.000                 NaN   99.2005       0.791293                 NaN  0.815740E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1534.19        500.000                 NaN   99.0049       0.624231E-001            NaN  0.932697                 NaN            NaN            NaN            NaN            NaN            NaN
  1532.78        500.000                 NaN   98.8416                 NaN  0.144297E-004   1.15843                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        500.000                 NaN   99.3183                 NaN            NaN  0.681737                 NaN            NaN            NaN            NaN            NaN            NaN
  1529.97        500.000                 NaN   98.5902                 NaN            NaN   1.40979                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.57        500.000       0.752926E-002   98.7667                 NaN            NaN  0.107956        1.11777                 NaN            NaN            NaN            NaN            NaN
  1527.16        500.000       0.108182E-001   98.1771                 NaN            NaN  0.584536        1.22755                 NaN            NaN            NaN            NaN            NaN
  1525.76        500.000       0.105833E-001   98.2047                 NaN            NaN  0.573510        1.21121                 NaN            NaN            NaN            NaN            NaN
  1524.35        500.000       0.104061E-001   98.2310                 NaN            NaN   1.19347       0.565165                 NaN            NaN            NaN            NaN            NaN
  1522.94        500.000       0.249014E-002   98.2494       0.419325                 NaN   1.32880                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.54        500.000       0.149045E-002   98.2483       0.463514                 NaN   1.28666                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        500.000       0.122814E-002   98.2778       0.457640                 NaN   1.26335                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.73        500.000       0.980414E-003   98.3053       0.451096                 NaN   1.24262                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        500.000       0.720332E-003   98.3344       0.445157                 NaN   1.21968                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.92        500.000       0.527747E-003   98.3604       0.437481                 NaN   1.20157                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        500.000       0.296368E-003   98.3862       0.432322                 NaN   1.18121                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.10        500.000       0.116205E-003   98.4106       0.424429                 NaN   1.16484                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        500.000       0.196249E-002   98.4333       0.408252                 NaN   1.15652                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000                 NaN   98.4663       0.405526                 NaN   1.12813                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        500.000                 NaN   98.4839       0.402164                 NaN   1.11398                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.48        500.000                 NaN   98.5044       0.393678                 NaN   1.10194                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.08        500.000       0.474895E-003   98.5316       0.388546                 NaN   1.07940                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.67        500.000                 NaN   98.5530       0.377416                 NaN   1.06958                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        500.000                 NaN   98.5724       0.370886                 NaN   1.05673                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.86        500.000                 NaN   98.5906       0.361561                 NaN   1.04785                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        500.000                 NaN   98.6133       0.353958                 NaN   1.03273                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.05        500.000                 NaN   98.6344       0.348118                 NaN   1.01747                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        500.000                 NaN   98.6507       0.342346                 NaN   1.00697                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.23        500.000                 NaN   98.6717       0.336744                 NaN  0.991529                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.83        500.000                 NaN   98.6894       0.327942                 NaN  0.982681                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.42        500.000                 NaN   98.7066       0.322051                 NaN  0.971373                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.02        500.000                 NaN   98.7227       0.310804                 NaN  0.966447                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.61        500.000                 NaN   98.7409       0.306823                 NaN  0.952272                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.21        500.000                 NaN   98.7572       0.299424                 NaN  0.943394                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.80        500.000                 NaN   98.7704       0.288496                 NaN  0.941122                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.39        500.000                 NaN   98.7884       0.285533                 NaN  0.926030                 NaN            NaN            NaN            NaN            NaN            NaN
