|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1596.15        2500.00        99.0852                 NaN  0.914798       0.148872E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00        99.0694                 NaN  0.929561       0.163131E-005  0.108210E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00        99.0751                 NaN  0.924866       0.435382E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00        99.0788                 NaN  0.916642       0.454661E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00        99.0641                 NaN  0.917902       0.180067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.1164                 NaN  0.870280       0.109757E-001  0.236995E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00        99.0723                 NaN  0.905509       0.212829E-001  0.952608E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00        99.1321                 NaN  0.833328       0.345616E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00        99.0717                 NaN  0.904295       0.240494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00        99.1512                 NaN  0.826382       0.223784E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00        99.1145                 NaN  0.867627       0.178456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00        99.1252                 NaN  0.846769       0.280723E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00        99.1248                 NaN  0.859806       0.154086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00        99.1212                 NaN  0.801712       0.156820E-001            NaN  0.614344E-001            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00        99.0052                 NaN  0.194526       0.358180E-002            NaN  0.796737                 NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        98.9679                 NaN  0.331424E-001  0.270016E-001            NaN  0.971954                 NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00        98.9545                 NaN  0.424322E-001            NaN  0.268680E-003   1.00280                 NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00        98.9159                 NaN            NaN            NaN  0.967120E-002   1.07440                 NaN            NaN            NaN            NaN            NaN
  1569.26        2500.00        98.8976                 NaN            NaN  0.404899E-003  0.118845E-001   1.09010                 NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00        98.8868                 NaN            NaN            NaN  0.118383E-001   1.10140                 NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00        98.8713                 NaN            NaN            NaN  0.117917E-001   1.11695                 NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00        98.8510                 NaN            NaN            NaN  0.117527E-001   1.13724                 NaN            NaN            NaN            NaN            NaN
