|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/GRV/GRV_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1596.15        2500.00        99.1837                 NaN  0.816313       0.128038E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00        99.1699                 NaN  0.829434       0.140364E-005  0.688114E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00        99.1749                 NaN  0.825092       0.374414E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00        99.1785                 NaN  0.817618       0.390714E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00        99.1661                 NaN  0.818471       0.154650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.2131                 NaN  0.775935       0.942450E-002  0.150702E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00        99.1734                 NaN  0.807690       0.183070E-001  0.606378E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00        99.2276                 NaN  0.742788       0.296611E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00        99.1734                 NaN  0.805956       0.206333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00        99.2445                 NaN  0.736272       0.191838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00        99.2117                 NaN  0.772970       0.152970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00        99.2216                 NaN  0.754302       0.240519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00        99.2209                 NaN  0.765853       0.131990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00        99.2177                 NaN  0.713886       0.134272E-001            NaN  0.549961E-001            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00        99.1106                 NaN  0.173206       0.306590E-002            NaN  0.713084                 NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        99.0776                 NaN  0.295037E-001  0.231044E-001            NaN  0.869786                 NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00        99.0648                 NaN  0.377689E-001            NaN  0.170902E-003  0.897261                 NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00        99.0327                 NaN            NaN            NaN  0.615289E-002  0.961193                 NaN            NaN            NaN            NaN            NaN
  1569.26        2500.00        99.0171                 NaN            NaN  0.346024E-003  0.756132E-002  0.975008                 NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00        99.0075                 NaN            NaN            NaN  0.753372E-002  0.984970                 NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00        98.9938                 NaN            NaN            NaN  0.750532E-002  0.998647                 NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00        98.9759                 NaN            NaN            NaN  0.748197E-002   1.01660                 NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00        98.9560                 NaN            NaN            NaN  0.747119E-002   1.03657                 NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00        98.9279                 NaN            NaN            NaN  0.745458E-002   1.06465                 NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00        98.7388                 NaN            NaN            NaN  0.841075E-002   1.25281                 NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00        98.9900                 NaN            NaN            NaN  0.647525E-002   1.00348                 NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00        98.7224                 NaN            NaN            NaN  0.739488E-002  0.109594        1.16057                 NaN            NaN            NaN            NaN
  1555.81        2500.00        98.3249                 NaN            NaN            NaN  0.666832E-002   1.35922       0.309199                 NaN            NaN            NaN            NaN
  1554.31        2500.00        98.3477                 NaN            NaN            NaN  0.654315E-002   1.33808       0.307715                 NaN            NaN            NaN            NaN
  1552.82        2500.00        98.3737                 NaN            NaN            NaN  0.639500E-002   1.31638       0.303518                 NaN            NaN            NaN            NaN
  1551.33        2500.00        98.3938                 NaN            NaN  0.548091E-001  0.604435E-002  0.174248        1.37107                 NaN            NaN            NaN            NaN
  1549.83        2500.00        98.3950                 NaN            NaN  0.138997       0.564687E-002   1.44915       0.112407E-001            NaN            NaN            NaN            NaN
  1548.34        2500.00        98.4424                 NaN            NaN  0.145458       0.538107E-002   1.40681                 NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00        98.4545                 NaN            NaN  0.141003       0.530474E-002   1.39924                 NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00        98.4737                 NaN            NaN  0.138382       0.519778E-002   1.38271                 NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.5039                 NaN            NaN  0.140018       0.500909E-002   1.35108                 NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00        98.2666                 NaN            NaN  0.164860       0.574519E-002   1.56279                 NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00        98.8111                 NaN            NaN  0.115046       0.387443E-002   1.07002                 NaN            NaN            NaN            NaN            NaN
  1539.37        2500.00        98.5678                 NaN            NaN  0.136595       0.461799E-002   1.29102                 NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00        97.0735                 NaN            NaN  0.288744       0.949318E-002   2.62828                 NaN            NaN            NaN            NaN            NaN
  1536.39        2500.00        99.7918                 NaN            NaN  0.231851E-001  0.637504E-003  0.184404                 NaN            NaN            NaN            NaN            NaN
  1534.89        2500.00        99.0040                 NaN            NaN  0.960349E-001  0.309237E-002  0.896908                 NaN            NaN            NaN            NaN            NaN
  1533.40        2500.00        98.6483                 NaN            NaN  0.127143       0.416240E-002   1.22042                 NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00        98.6667                 NaN            NaN  0.125899       0.404013E-002   1.20337                 NaN            NaN            NaN            NaN            NaN
  1530.41        2500.00        98.6840                 NaN            NaN  0.121653       0.394601E-002   1.19038                 NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00        98.6992                 NaN            NaN  0.117735       0.386532E-002   1.16738       0.118109E-001            NaN            NaN            NaN            NaN
  1527.42        2500.00        98.7214                 NaN            NaN  0.119727       0.371618E-002   1.15514                 NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00        98.7342                 NaN            NaN  0.116416       0.362111E-002   1.13885       0.693704E-002            NaN            NaN            NaN            NaN
  1524.43        2500.00        98.5424                 NaN            NaN  0.128492       0.414300E-002   1.29845       0.264778E-001            NaN            NaN            NaN            NaN
  1522.94        2500.00        98.9729                 NaN            NaN  0.880864E-001  0.290023E-002  0.899648       0.364624E-001            NaN            NaN            NaN            NaN
  1521.44        2500.00        98.7801                 NaN            NaN  0.103967       0.338040E-002   1.06740       0.451657E-001            NaN            NaN            NaN            NaN
  1519.95        2500.00        98.7954                 NaN            NaN  0.101634       0.328980E-002   1.05127       0.484161E-001            NaN            NaN            NaN            NaN
  1518.46        2500.00        98.4142                 NaN            NaN  0.130427       0.438737E-002   1.37057       0.804011E-001            NaN            NaN            NaN            NaN
  1516.96        2500.00        99.2256                 NaN            NaN  0.663388E-001  0.202920E-002  0.677264       0.288059E-001            NaN            NaN            NaN            NaN
  1515.47        2500.00        98.8361                 NaN            NaN  0.913030E-001  0.303717E-002  0.685089E-001   1.00101                 NaN            NaN            NaN            NaN
  1513.97        2500.00        98.8509                 NaN            NaN  0.971012E-001  0.292491E-002  0.991213       0.578587E-001            NaN            NaN            NaN            NaN
  1512.48        2500.00        98.8635                 NaN            NaN  0.911612E-001  0.285095E-002  0.692715E-001  0.973180                 NaN            NaN            NaN            NaN
  1510.99        2500.00        98.8765                 NaN            NaN  0.890896E-001  0.277074E-002  0.958036       0.735817E-001            NaN            NaN            NaN            NaN
  1509.49        2500.00        98.8826                 NaN            NaN  0.870336E-001  0.271679E-002  0.947493       0.801366E-001            NaN            NaN            NaN            NaN
  1508.00        2500.00        98.9054                 NaN            NaN  0.858261E-001  0.257876E-002  0.792122E-001  0.927008                 NaN            NaN            NaN            NaN
  1506.50        2500.00        98.9174                 NaN            NaN  0.828026E-001  0.252970E-002  0.856593E-001  0.911611                 NaN            NaN            NaN            NaN
  1505.01        2500.00        98.9252                 NaN            NaN  0.815534E-001  0.246341E-002  0.901837       0.889683E-001            NaN            NaN            NaN            NaN
  1503.52        2500.00        98.9362                 NaN            NaN  0.797935E-001  0.238513E-002  0.890021       0.916032E-001            NaN            NaN            NaN            NaN
  1502.02        2500.00        98.9476                 NaN            NaN  0.781089E-001  0.231089E-002  0.877502       0.945106E-001            NaN            NaN            NaN            NaN
  1500.53        2500.00        98.9556                 NaN            NaN  0.768807E-001  0.224600E-002  0.960002E-001  0.869311                 NaN            NaN            NaN            NaN
  1499.03        2500.00        98.9716                 NaN            NaN  0.746537E-001  0.216256E-002  0.100084       0.851492                 NaN            NaN            NaN            NaN
  1497.54        2500.00        98.9780                 NaN            NaN  0.726181E-001  0.209867E-002  0.104096       0.843212                 NaN            NaN            NaN            NaN
  1496.04        2500.00        98.9914                 NaN            NaN  0.712794E-001  0.202788E-002  0.829747       0.105531                 NaN            NaN            NaN            NaN
  1494.55        2500.00        98.9993                 NaN            NaN  0.698081E-001  0.196049E-002  0.108602       0.820327                 NaN            NaN            NaN            NaN
  1493.06        2500.00        99.0095                 NaN            NaN  0.682477E-001  0.189532E-002  0.810225       0.110156                 NaN            NaN            NaN            NaN
  1491.56        2500.00        99.0190                 NaN            NaN  0.667920E-001  0.183203E-002  0.799806       0.112568                 NaN            NaN            NaN            NaN
  1490.07        2500.00        99.0280                 NaN            NaN  0.652011E-001  0.177063E-002  0.115857       0.789158                 NaN            NaN            NaN            NaN
  1488.57        2500.00        99.0364                 NaN            NaN  0.638362E-001  0.170536E-002  0.781191       0.116875                 NaN            NaN            NaN            NaN
  1487.08        2500.00        99.0468                 NaN            NaN  0.624129E-001  0.164622E-002  0.769252       0.119879                 NaN            NaN            NaN            NaN
  1485.59        2500.00        99.0547                 NaN            NaN  0.609898E-001  0.158506E-002  0.761637       0.121064                 NaN            NaN            NaN            NaN
  1484.09        2500.00        99.0635                 NaN            NaN  0.600019E-001  0.152442E-002  0.752370       0.122614                 NaN            NaN            NaN            NaN
  1482.60        2500.00        99.0707                 NaN            NaN  0.576775E-001  0.147505E-002  0.127408       0.742698                 NaN            NaN            NaN            NaN
  1481.10        2500.00        99.0800                 NaN            NaN  0.570238E-001  0.141421E-002  0.733638       0.127899                 NaN            NaN            NaN            NaN
  1479.61        2500.00        99.0875                 NaN            NaN  0.556924E-001  0.136217E-002  0.129274       0.726200                 NaN            NaN            NaN            NaN
  1478.12        2500.00        99.0957                 NaN            NaN  0.543287E-001  0.130387E-002  0.718140       0.130516                 NaN            NaN            NaN            NaN
  1476.62        2500.00        99.1016                 NaN            NaN  0.531920E-001  0.125726E-002  0.132874       0.711060                 NaN            NaN            NaN            NaN
  1475.13        2500.00        99.1098                 NaN            NaN  0.518710E-001  0.120079E-002  0.133519       0.703596                 NaN            NaN            NaN            NaN
  1473.63        2500.00        99.1186                 NaN            NaN  0.506212E-001  0.114780E-002  0.135208       0.694465                 NaN            NaN            NaN            NaN
  1472.14        2500.00        99.1242                 NaN            NaN  0.495383E-001  0.109761E-002  0.689280       0.135925                 NaN            NaN            NaN            NaN
  1470.64        2500.00        99.1319                 NaN            NaN  0.483581E-001  0.104798E-002  0.681184       0.137528                 NaN            NaN            NaN            NaN
