|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/WD94/WD94_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1576.92        500.000       0.178879E-002   99.4230       0.518369       0.568021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.47        500.000                 NaN   99.3485       0.627988       0.235474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.03        500.000                 NaN   99.3533       0.621790       0.248964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.58        500.000                 NaN   99.3603       0.610292       0.294435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.14        500.000                 NaN   99.3660       0.616017       0.179393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        500.000                 NaN   99.3736       0.603559       0.228855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.24        500.000                 NaN   99.3784       0.599279       0.223303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.80        500.000                 NaN   99.3844       0.594372       0.212116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.35        500.000                 NaN   99.3727       0.604019       0.232367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000       0.184093E-002   98.7831        1.18852       0.218018E-001  0.475154E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.46        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.01        500.000                 NaN   98.8937        1.06722       0.391072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.57        500.000                 NaN   99.9804       0.159288E-001  0.367252E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.12        500.000                 NaN   99.4199       0.566131       0.139378E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        500.000                 NaN   99.4314       0.462427       0.106131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        500.000                 NaN   99.4259       0.574084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.79        500.000                 NaN   99.4577       0.333538       0.208780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        500.000                 NaN   99.4408       0.559203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.89        500.000                 NaN   99.4395       0.560523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        500.000                 NaN   99.4475       0.552178       0.311039E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.00        500.000                 NaN   99.4479       0.465833       0.862675E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        500.000                 NaN   99.4649       0.535051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        500.000                 NaN   99.4642       0.535783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        500.000                 NaN   99.4667       0.533300                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.22        500.000                 NaN   99.4683       0.531748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        500.000                 NaN   99.5608       0.439195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.33        500.000                 NaN   99.3946       0.605422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        500.000                 NaN   99.4844       0.515588                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.43        500.000                 NaN   99.4849       0.515098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        500.000                 NaN   99.4948       0.505208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.54        500.000                 NaN   99.4964       0.503551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        500.000                 NaN   99.5018       0.498246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.65        500.000                 NaN   99.5041       0.495897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.20        500.000                 NaN   99.5722       0.427391       0.379220E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.76        500.000                 NaN   99.4455       0.554461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        500.000                 NaN   99.5181       0.481938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000                 NaN   99.5202       0.479812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.42        500.000                 NaN   99.5235       0.476535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.98        500.000                 NaN   99.5277       0.472265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
