|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/WD94/WD94_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1576.92        500.000       0.283445E-002   99.3288       0.600936       0.674757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.47        500.000                 NaN   99.2438       0.728230       0.279823E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.03        500.000                 NaN   99.2491       0.721313       0.296009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.58        500.000                 NaN   99.2567       0.708250       0.350226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.14        500.000                 NaN   99.2637       0.714949       0.213430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        500.000                 NaN   99.2720       0.700714       0.272397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.24        500.000                 NaN   99.2773       0.696069       0.265930E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.80        500.000                 NaN   99.2841       0.690659       0.252739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.35        500.000                 NaN   99.2703       0.702003       0.276949E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000       0.294659E-002   98.5776        1.38074       0.259909E-001  0.127543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.46        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.01        500.000                 NaN   98.7123        1.24103       0.466597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.57        500.000                 NaN   99.9771       0.185558E-001  0.438978E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.12        500.000                 NaN   99.3243       0.659032       0.166436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        500.000                 NaN   99.3347       0.538478       0.126822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        500.000                 NaN   99.3313       0.668744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.79        500.000                 NaN   99.3614       0.388794       0.249822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        500.000                 NaN   99.3479       0.652116                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.89        500.000                 NaN   99.3463       0.653706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        500.000                 NaN   99.3553       0.644280       0.372824E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.00        500.000                 NaN   99.3529       0.543652       0.103453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        500.000                 NaN   99.3753       0.624677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        500.000                 NaN   99.3742       0.625807                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        500.000                 NaN   99.3769       0.623088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.22        500.000                 NaN   99.3787       0.621294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        500.000                 NaN   99.4864       0.513634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.33        500.000                 NaN   99.2921       0.707878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        500.000                 NaN   99.3969       0.603100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.43        500.000                 NaN   99.3972       0.602790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
