|6.6.6
Archiving\03_Data\Deq/QFM_m4.75/YM20/YM20_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.1029       0.857754       0.393796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.0706       0.890018       0.393832E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.0383       0.922287       0.393869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.0060       0.954562       0.393905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        98.9738       0.986844       0.393941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        98.9415        1.01913       0.393978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        98.9092        1.05142       0.394014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        98.8769        1.08372       0.394051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        98.8446        1.11603       0.394087E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        98.8130        1.14763       0.394123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        98.7813        1.17924       0.394158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        98.7497        1.21085       0.394194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        98.7181        1.24247       0.394230E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        98.6865        1.27410       0.394265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        98.6548        1.30573       0.394301E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        98.6232        1.33737       0.394337E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        98.5916        1.36901       0.394372E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        98.5606        1.39996       0.394407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.5296        1.43091       0.394442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        98.4987        1.46187       0.394477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        98.4677        1.49284       0.394512E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.4367        1.52381       0.394547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.4058        1.55479       0.394582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        98.3748        1.58577       0.394617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        98.3438        1.61676       0.394652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        97.9490        1.63040       0.390943E-001  0.381539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        97.1815        1.62540       0.383305E-001   1.15473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        96.4365        1.61895       0.375749E-001   1.90693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        95.6916        1.61250       0.368194E-001   2.65911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        94.9725        1.60231       0.360570E-001   3.38915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        94.2534        1.59212       0.352946E-001   4.11914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        93.5344        1.58194       0.345323E-001   4.84909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        92.8155        1.57175       0.337701E-001   5.57900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        92.1208        1.55793       0.330023E-001   6.28825                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        91.4262        1.54412       0.322346E-001   6.99744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        90.7355        1.52723       0.314590E-001   7.69880       0.699032E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        90.0419        1.50760       0.306841E-001   8.39362       0.261886E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        89.3619        1.48419       0.298912E-001   9.07896       0.450609E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        88.6820        1.46078       0.290983E-001   9.76420       0.639306E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        88.0022        1.43737       0.283056E-001   10.4493       0.827976E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        87.3225        1.41396       0.275129E-001   11.1344       0.101662                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        86.6715        1.38257       0.266941E-001   11.7995       0.119756                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        86.0207        1.35118       0.258754E-001   12.4644       0.137846                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        85.3699        1.31980       0.250569E-001   13.1293       0.155933                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        84.7193        1.28843       0.242386E-001   13.7940       0.174016                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        84.0689        1.25706       0.234204E-001   14.4586       0.192096                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        83.4185        1.22569       0.226023E-001   15.1230       0.210173                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        82.7682        1.19433       0.217844E-001   15.7874       0.228247                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        82.1181        1.16298       0.209666E-001   16.4516       0.246317                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        81.4888        1.11950       0.200904E-001   17.1081       0.263556                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        80.8596        1.07604       0.192145E-001   17.7644       0.280790                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        80.2305        1.03258       0.183388E-001   18.4205       0.298020                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        79.6016       0.989137       0.174633E-001   19.0765       0.315245                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        78.9729       0.945703       0.165880E-001   19.7323       0.332466                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        78.3443       0.902280       0.157129E-001   20.3880       0.349683                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        77.7159       0.858868       0.148381E-001   21.0435       0.366895                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        77.0877       0.815467       0.139634E-001   21.6988       0.384103                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        76.4648       0.758730       0.130160E-001   22.3629       0.400606                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        75.8421       0.702012       0.120689E-001   23.0268       0.417103                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        75.2196       0.645312       0.111221E-001   23.6904       0.433595                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        74.5973       0.588631       0.101756E-001   24.3539       0.450081                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        73.9752       0.531968       0.922944E-002   25.0171       0.466562                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        73.3533       0.475324       0.828358E-002   25.6801       0.483038                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        72.7316       0.418698       0.733802E-002   26.3429       0.499508                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        72.1101       0.362091       0.639277E-002   27.0055       0.515972                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        71.4857       0.294767       0.538733E-002   27.6821       0.532044                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        70.8615       0.227469       0.438227E-002   28.3586       0.548110                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        70.2375       0.160197       0.337761E-002   29.0347       0.564169                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        69.6138       0.929516E-001  0.237334E-002   29.7106       0.580222                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        68.9869       0.207768E-001  0.133994E-002   30.3949       0.596099                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        68.3990                 NaN  0.370344E-003   30.9906       0.610014                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        67.8330                 NaN            NaN   31.5436       0.623426                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        67.2762                 NaN            NaN   32.0877       0.636069                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        66.7290                 NaN            NaN   32.6222       0.648859                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        66.1818                 NaN            NaN   33.1566       0.661649                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        65.6346                 NaN            NaN   33.6910       0.674439                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        65.0874                 NaN            NaN   34.2254       0.687230                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        64.5402                 NaN            NaN   34.7598       0.700020                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        63.9930                 NaN            NaN   35.2942       0.712810                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        63.4458                 NaN            NaN   35.8286       0.725601                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        62.8986                 NaN            NaN   36.3631       0.738391                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        62.3753                 NaN            NaN   36.8744       0.750288                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        61.8520                 NaN            NaN   37.3858       0.762185                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        61.3287                 NaN            NaN   37.8972       0.774081                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        60.8054                 NaN            NaN   38.4086       0.785978                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        60.2821                 NaN            NaN   38.9200       0.797875                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        59.7588                 NaN            NaN   39.4314       0.809772                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        59.2356                 NaN            NaN   39.9428       0.821669                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        58.7123                 NaN            NaN   40.4542       0.833566                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        58.2147                 NaN            NaN   40.9404       0.844837                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        57.7172                 NaN            NaN   41.4267       0.856107                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        57.2196                 NaN            NaN   41.9130       0.867378                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        56.7221                 NaN            NaN   42.3993       0.878649                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        56.2245                 NaN            NaN   42.8856       0.889920                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        55.7269                 NaN            NaN   43.3719       0.901190                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        55.2294                 NaN            NaN   43.8582       0.912461                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        54.7318                 NaN            NaN   44.3444       0.923732                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        54.2660                 NaN            NaN   44.7996       0.934372                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        53.8002                 NaN            NaN   45.2548       0.945011                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        53.3343                 NaN            NaN   45.7100       0.955651                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        52.8685                 NaN            NaN   46.1652       0.966291                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        52.4027                 NaN            NaN   46.6204       0.976931                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        51.9368                 NaN            NaN   47.0756       0.987570                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        51.4710                 NaN            NaN   47.5308       0.998210                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        51.0052                 NaN            NaN   47.9860        1.00885                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        50.5603                 NaN            NaN   48.4204        1.01923                 NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        50.1155                 NaN            NaN   48.8549        1.02962                 NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        49.6635                 NaN            NaN   49.2790        1.03978       0.177440E-001            NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        48.2973                 NaN            NaN   49.4265        1.03170        1.24448                 NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        47.0724                 NaN            NaN   49.5551        1.02349        2.34895                 NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        45.8475                 NaN            NaN   49.6838        1.01528        3.45342                 NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        44.6225                 NaN            NaN   49.8125        1.00707        4.55789                 NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        43.3976                 NaN            NaN   49.9412       0.998861        5.66236                 NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        42.4330                 NaN            NaN   50.0351       0.989899        6.54202                 NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        41.4683                 NaN            NaN   50.1290       0.980937        7.42169                 NaN            NaN            NaN            NaN            NaN
  1631.41        2500.00        40.5037                 NaN            NaN   50.2230       0.971975        8.30135                 NaN            NaN            NaN            NaN            NaN
  1628.21        2500.00        39.5390                 NaN            NaN   50.3169       0.963013        9.18102                 NaN            NaN            NaN            NaN            NaN
  1625.00        2500.00        38.5744                 NaN            NaN   50.4109       0.954051        10.0607                 NaN            NaN            NaN            NaN            NaN
  1621.79        2500.00        37.6097                 NaN            NaN   50.5048       0.945090        10.9404                 NaN            NaN            NaN            NaN            NaN
  1618.59        2500.00        36.6451                 NaN            NaN   50.5987       0.936128        11.8200                 NaN            NaN            NaN            NaN            NaN
  1615.38        2500.00        35.6804                 NaN            NaN   50.6927       0.927166        12.6997                 NaN            NaN            NaN            NaN            NaN
  1612.18        2500.00        34.9471                 NaN            NaN   50.7553       0.917393        13.3802                 NaN            NaN            NaN            NaN            NaN
  1608.97        2500.00        34.2137                 NaN            NaN   50.8179       0.907621        14.0607                 NaN            NaN            NaN            NaN            NaN
  1605.77        2500.00        33.4804                 NaN            NaN   50.8806       0.897849        14.7412                 NaN            NaN            NaN            NaN            NaN
  1602.56        2500.00        32.7470                 NaN            NaN   50.9432       0.888077        15.4217                 NaN            NaN            NaN            NaN            NaN
  1599.36        2500.00        32.0137                 NaN            NaN   51.0058       0.878304        16.1022                 NaN            NaN            NaN            NaN            NaN
  1596.15        2500.00        31.2803                 NaN            NaN   51.0684       0.868532        16.7827                 NaN            NaN            NaN            NaN            NaN
  1592.95        2500.00        30.5470                 NaN            NaN   51.1311       0.858759        17.4632                 NaN            NaN            NaN            NaN            NaN
  1589.74        2500.00        29.8136                 NaN            NaN   51.1937       0.848987        18.1437                 NaN            NaN            NaN            NaN            NaN
  1586.54        2500.00        29.2245                 NaN            NaN   51.2375       0.838205        18.6998                 NaN            NaN            NaN            NaN            NaN
  1583.33        2500.00        28.6353                 NaN            NaN   51.2812       0.827423        19.2560                 NaN            NaN            NaN            NaN            NaN
  1580.13        2500.00        28.0462                 NaN            NaN   51.3250       0.816641        19.8121                 NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        27.4571                 NaN            NaN   51.3688       0.805859        20.3683                 NaN            NaN            NaN            NaN            NaN
  1573.72        2500.00        26.8679                 NaN            NaN   51.4126       0.795076        20.9244                 NaN            NaN            NaN            NaN            NaN
  1570.51        2500.00        26.2788                 NaN            NaN   51.4564       0.784294        21.4806                 NaN            NaN            NaN            NaN            NaN
  1567.31        2500.00        25.6896                 NaN            NaN   51.5001       0.773512        22.0367                 NaN            NaN            NaN            NaN            NaN
  1564.10        2500.00        25.1005                 NaN            NaN   51.5439       0.762730        22.5929                 NaN            NaN            NaN            NaN            NaN
  1560.90        2500.00        24.5990                 NaN            NaN   51.5767       0.750381        23.0739                 NaN            NaN            NaN            NaN            NaN
  1557.69        2500.00        24.0976                 NaN            NaN   51.6095       0.738033        23.5549                 NaN            NaN            NaN            NaN            NaN
  1554.49        2500.00        23.5961                 NaN            NaN   51.6423       0.725684        24.0359                 NaN            NaN            NaN            NaN            NaN
  1551.28        2500.00        23.0947                 NaN            NaN   51.6751       0.713336        24.5169                 NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00        22.5932                 NaN            NaN   51.7080       0.700987        24.9979                 NaN            NaN            NaN            NaN            NaN
  1544.87        2500.00        22.0917                 NaN            NaN   51.7408       0.688639        25.4789                 NaN            NaN            NaN            NaN            NaN
  1541.67        2500.00        21.5903                 NaN            NaN   51.7736       0.676290        25.9599                 NaN            NaN            NaN            NaN            NaN
  1538.46        2500.00        21.0888                 NaN            NaN   51.8064       0.663941        26.4409                 NaN            NaN            NaN            NaN            NaN
  1535.26        2500.00        20.6402                 NaN            NaN   51.8334       0.649902        26.8765                 NaN            NaN            NaN            NaN            NaN
  1532.05        2500.00        20.1915                 NaN            NaN   51.8605       0.635862        27.3121                 NaN            NaN            NaN            NaN            NaN
  1528.85        2500.00        19.7429                 NaN            NaN   51.8876       0.621822        27.7478                 NaN            NaN            NaN            NaN            NaN
