|6.6.6
Archiving\03_Data\Deq/QFM_m4.75/YM20/YM20_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.6407       0.345067       0.142236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.6277       0.358080       0.142257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.6147       0.371098       0.142279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.6016       0.384120       0.142301E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.5886       0.397148       0.142322E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.5756       0.410180       0.142344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.5625       0.423218       0.142366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.5495       0.436260       0.142388E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.5365       0.449307       0.142409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.5237       0.462074       0.142431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.5109       0.474845       0.142452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.4981       0.487621       0.142474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.4853       0.500401       0.142495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.4726       0.513186       0.142516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.4598       0.525976       0.142538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.4470       0.538771       0.142559E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.4342       0.551570       0.142581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.4216       0.564092       0.142602E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.4091       0.576619       0.142623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.3966       0.589150       0.142644E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.3840       0.601686       0.142665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.3715       0.614226       0.142686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.3590       0.626771       0.142707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.3464       0.639321       0.142729E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.3339       0.651875       0.142750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        98.9699       0.657567       0.141444E-001  0.358437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        98.2454       0.655869       0.138743E-001   1.08486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        97.5414       0.653573       0.136068E-001   1.79142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        96.8367       0.651274       0.133391E-001   2.49867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        96.1556       0.647454       0.130683E-001   3.18385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        95.4739       0.643628       0.127974E-001   3.86965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        94.7916       0.639799       0.125262E-001   4.55607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        94.1087       0.635965       0.122548E-001   5.24312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        93.4480       0.630647       0.119810E-001   5.90941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        92.7867       0.625324       0.117069E-001   6.57627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        92.1297       0.618755       0.114298E-001   7.23532       0.482575E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        91.4713       0.611072       0.111529E-001   7.88840       0.180816E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        90.8250       0.601842       0.108690E-001   8.53117       0.310929E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        90.1782       0.592605       0.105849E-001   9.17445       0.441153E-001            NaN            NaN            NaN            NaN            NaN            NaN
