|6.6.6
Archiving\03_Data\DeqLP/QFM_m4.75/K22/K22_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        500.000        99.0349       0.925695       0.393915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.0035       0.957131       0.393950E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        98.9720       0.988572       0.393986E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        98.9406        1.02002       0.394021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        98.9091        1.05147       0.394057E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        98.8777        1.08293       0.394092E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        98.8462        1.11439       0.394128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        98.8147        1.14586       0.394163E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        98.7832        1.17734       0.394199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        98.7525        1.20812       0.394234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        98.7217        1.23891       0.394268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        98.6909        1.26970       0.394303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        98.6601        1.30050       0.394338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        98.6293        1.33130       0.394373E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        98.5984        1.36211       0.394407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        98.5676        1.39293       0.394442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        98.5368        1.42375       0.394477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        98.5090        1.45153       0.394508E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        98.1712        1.47530       0.391863E-001  0.314314                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        97.3365        1.47939       0.384685E-001   1.14568                 NaN            NaN            NaN            NaN            NaN            NaN
