|6.6.6
Archiving\03_Data\DeqLP/QFM_m4.75/K22/K22_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)       
  2000.00        500.000        99.6173       0.368645       0.140807E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.6047       0.381201       0.140829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.5922       0.393762       0.140850E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.5796       0.406327       0.140872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.5670       0.418896       0.140893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.5544       0.431471       0.140915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.5419       0.444050       0.140936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.5293       0.456634       0.140958E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.5167       0.469223       0.140980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.5044       0.481537       0.141001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.4920       0.493856       0.141022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.4797       0.506180       0.141043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.4674       0.518508       0.141065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.4551       0.530840       0.141086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.4427       0.543177       0.141107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.4304       0.555519       0.141128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.4180       0.567866       0.141150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.4069       0.579002       0.141169E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.1035       0.588650       0.140258E-001  0.293812                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        98.3247       0.590619       0.137763E-001   1.07091                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        97.5449       0.592589       0.135265E-001   1.84896                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        96.8027       0.593152       0.132769E-001   2.59088                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        96.0596       0.593716       0.130271E-001   3.33366                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        95.3156       0.594279       0.127770E-001   4.07730                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        94.5708       0.594841       0.125267E-001   4.82179                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        93.8915       0.592846       0.122793E-001   5.50335                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        93.2115       0.590848       0.120318E-001   6.18559                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        92.5308       0.588847       0.117839E-001   6.86853                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        91.8495       0.586843       0.115359E-001   7.55215                 NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        91.1674       0.584836       0.112876E-001   8.23646                 NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        90.4847       0.582827       0.110390E-001   8.92145                 NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        89.8013       0.580814       0.107903E-001   9.60712                 NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        89.1172       0.578799       0.105413E-001   10.2935                 NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        88.4820       0.573749       0.102862E-001   10.9340                 NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        87.8462       0.568695       0.100309E-001   11.5751                 NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        87.2099       0.563635       0.977535E-002   12.2167                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        86.5731       0.558571       0.951964E-002   12.8589                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        85.9500       0.552126       0.926394E-002   13.4844       0.418750E-002            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        85.3227       0.544382       0.900492E-002   14.1070       0.169591E-001            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        84.7053       0.536030       0.874634E-002   14.7204       0.295345E-001            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        84.0874       0.527670       0.848756E-002   15.3343       0.421210E-001            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        83.4919       0.516604       0.822010E-002   15.9290       0.542306E-001            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        82.8960       0.505529       0.795246E-002   16.5241       0.663500E-001            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        82.2997       0.494446       0.768463E-002   17.1197       0.784792E-001            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        81.7030       0.483354       0.741663E-002   17.7156       0.906180E-001            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        81.1058       0.472254       0.714846E-002   18.3120       0.102767                 NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        80.5082       0.461146       0.688010E-002   18.9088       0.114925                 NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        79.9102       0.450030       0.661157E-002   19.5060       0.127092                 NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        79.3118       0.438905       0.634287E-002   20.1037       0.139270                 NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        78.7376       0.423297       0.605851E-002   20.6824       0.150721                 NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        78.1630       0.407680       0.577399E-002   21.2614       0.162180                 NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        77.5881       0.392053       0.548932E-002   21.8407       0.173646                 NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        77.0128       0.376417       0.520451E-002   22.4204       0.185120                 NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        76.4373       0.360772       0.491954E-002   23.0004       0.196601                 NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        75.8614       0.345117       0.463443E-002   23.5808       0.208090                 NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        75.2852       0.329453       0.434917E-002   24.1614       0.219587                 NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        74.7087       0.313780       0.406377E-002   24.7424       0.231090                 NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        74.1436       0.293432       0.376118E-002   25.3172       0.242003                 NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        73.5782       0.273074       0.345847E-002   25.8924       0.252921                 NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        73.0126       0.252707       0.315564E-002   26.4677       0.263845                 NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        72.4467       0.232329       0.285268E-002   27.0434       0.274775                 NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        71.8806       0.211943       0.254961E-002   27.6192       0.285711                 NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        71.3142       0.191547       0.224641E-002   28.1953       0.296652                 NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        70.7476       0.171142       0.194310E-002   28.7717       0.307599                 NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        70.1808       0.150727       0.163967E-002   29.3483       0.318551                 NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        69.6141       0.126371       0.131913E-002   29.9291       0.329136                 NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        69.0472       0.102005       0.998490E-003   30.5101       0.339726                 NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        68.4801       0.776310E-001  0.677751E-003   31.0912       0.350320                 NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        67.9129       0.532475E-001  0.356915E-003   31.6726       0.360919                 NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        67.3414       0.267148E-001            NaN   32.2606       0.371283                 NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        66.7799       0.105830E-002            NaN   32.8374       0.381648                 NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        66.2882                 NaN            NaN   33.3213       0.390508                 NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        65.8040                 NaN            NaN   33.7968       0.399194                 NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        65.3312                 NaN            NaN   34.2612       0.407610                 NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        64.8582                 NaN            NaN   34.7258       0.416032                 NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        64.3849                 NaN            NaN   35.1907       0.424459                 NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        63.9113                 NaN            NaN   35.6558       0.432892                 NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        63.4375                 NaN            NaN   36.1212       0.441329                 NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        62.9635                 NaN            NaN   36.5868       0.449772                 NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        62.4892                 NaN            NaN   37.0526       0.458221                 NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        62.0146                 NaN            NaN   37.5187       0.466674                 NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        61.5620                 NaN            NaN   37.9634       0.474583                 NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        61.1092                 NaN            NaN   38.4083       0.482497                 NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        60.6562                 NaN            NaN   38.8534       0.490415                 NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        60.2030                 NaN            NaN   39.2987       0.498337                 NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        59.7496                 NaN            NaN   39.7441       0.506263                 NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        59.2960                 NaN            NaN   40.1898       0.514194                 NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        58.8422                 NaN            NaN   40.6357       0.522129                 NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        58.3882                 NaN            NaN   41.0817       0.530068                 NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        57.9567                 NaN            NaN   41.5057       0.537503                 NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        57.5251                 NaN            NaN   41.9299       0.544941                 NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        57.0934                 NaN            NaN   42.3542       0.552383                 NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        56.6615                 NaN            NaN   42.7787       0.559828                 NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        56.2294                 NaN            NaN   43.2033       0.567277                 NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        55.7972                 NaN            NaN   43.6281       0.574728                 NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        55.3648                 NaN            NaN   44.0530       0.582183                 NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        54.9323                 NaN            NaN   44.4780       0.589641                 NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        54.5239                 NaN            NaN   44.8793       0.596804                 NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        54.1154                 NaN            NaN   45.2806       0.603969                 NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        53.7068                 NaN            NaN   45.6820       0.611136                 NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        53.2981                 NaN            NaN   46.0836       0.618307                 NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        52.8893                 NaN            NaN   46.4852       0.625479                 NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        52.4804                 NaN            NaN   46.8870       0.632655                 NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        52.0714                 NaN            NaN   47.2888       0.639833                 NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        51.6623                 NaN            NaN   47.6907       0.647013                 NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        51.2806                 NaN            NaN   48.0655       0.653850                 NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        50.8989                 NaN            NaN   48.4404       0.660689                 NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        50.5171                 NaN            NaN   48.8153       0.667531                 NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        50.1353                 NaN            NaN   49.1903       0.674374                 NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        49.7534                 NaN            NaN   49.5654       0.681219                 NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        49.3715                 NaN            NaN   49.9405       0.688065                 NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        48.9895                 NaN            NaN   50.3156       0.694914                 NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        48.6074                 NaN            NaN   50.6908       0.701764                 NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        48.2472                 NaN            NaN   51.0445       0.708333                 NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        47.8869                 NaN            NaN   51.3982       0.714904                 NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        47.5266                 NaN            NaN   51.7519       0.721475                 NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        47.1663                 NaN            NaN   52.1056       0.728049                 NaN            NaN            NaN            NaN            NaN
  1625.00        500.000        46.8176                 NaN            NaN   52.4479       0.734496                 NaN            NaN            NaN            NaN            NaN
  1621.79        500.000        46.4689                 NaN            NaN   52.7902       0.740944                 NaN            NaN            NaN            NaN            NaN
  1618.59        500.000        46.0382                 NaN            NaN   53.0974       0.746664       0.117695                 NaN            NaN            NaN            NaN
  1615.38        500.000        44.9300                 NaN            NaN   53.1655       0.742919        1.16150                 NaN            NaN            NaN            NaN
  1612.18        500.000        44.0030                 NaN            NaN   53.2155       0.737862        2.04362                 NaN            NaN            NaN            NaN
  1608.97        500.000        43.0741                 NaN            NaN   53.2655       0.732793        2.92764                 NaN            NaN            NaN            NaN
  1605.77        500.000        42.1432                 NaN            NaN   53.3155       0.727713        3.81357                 NaN            NaN            NaN            NaN
  1602.56        500.000        41.2104                 NaN            NaN   53.3656       0.722620        4.70141                 NaN            NaN            NaN            NaN
