|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m3.5/YM20/YM20_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1583.33        500.000        99.5386       0.461389                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        500.000        99.1429       0.851793       0.525932E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        500.000        99.1534       0.823018       0.235403E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        500.000        98.9020        1.06606       0.230230E-001  0.888021E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        500.000        99.4746       0.502160       0.232356E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        500.000        99.1822       0.778898       0.388561E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        500.000        99.1830       0.779782       0.372234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        500.000        99.1813       0.784525       0.341725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        500.000        99.2066       0.757186       0.362628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        500.000        99.2032       0.761838       0.349560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        500.000        99.2153       0.751544       0.331963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        500.000        99.2189       0.748331       0.328153E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        500.000        99.2220       0.745913       0.320984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        500.000        99.2367       0.733967       0.293414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        500.000        99.2362       0.737157       0.266689E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        99.2477       0.724874       0.274626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
