|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.5/GRV/GRV_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1596.15        2500.00        99.1980                 NaN  0.801955       0.762220E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00        99.1721                 NaN  0.802139       0.230096E-001  0.272756E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00        99.1757                 NaN  0.794874       0.293781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00        99.1797                 NaN  0.792279       0.280161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00        99.1852                 NaN  0.787814       0.270315E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.1880                 NaN  0.786458       0.255903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00        99.1921                 NaN  0.783135       0.247177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00        99.2002                 NaN  0.776183       0.236185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00        99.1966                 NaN  0.780867       0.225032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00        99.2141                 NaN  0.765114       0.207644E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00        99.2127                 NaN  0.767046       0.202294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00        99.2159                 NaN  0.765265       0.188405E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00        99.2202                 NaN  0.761691       0.181327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00        99.2220                 NaN  0.761419       0.165537E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00        99.2295                 NaN  0.754244       0.162884E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        99.1224                 NaN  0.245720       0.135056E-005            NaN  0.631885                 NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00        99.0547                 NaN            NaN  0.805221E-002            NaN  0.937266                 NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00        99.0616                 NaN            NaN            NaN  0.181333E-002  0.936597                 NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        2500.00        99.0221                 NaN            NaN            NaN  0.724889E-002  0.970643                 NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00        99.0112                 NaN            NaN            NaN  0.749145E-002  0.981344                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00        98.9871                 NaN            NaN            NaN  0.752890E-002   1.00541                 NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00        98.9865                 NaN            NaN            NaN  0.741165E-002   1.00606                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00        98.9634                 NaN            NaN            NaN  0.742594E-002   1.02915                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00        98.9332                 NaN            NaN            NaN  0.742373E-002   1.05935                 NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00        98.8745                 NaN            NaN            NaN  0.761087E-002   1.11786                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00        98.8914                 NaN            NaN            NaN  0.718384E-002   1.10143                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00        98.7929                 NaN            NaN            NaN  0.740165E-002   1.19971                 NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        2500.00        98.3970                 NaN            NaN            NaN  0.684310E-002   1.10314       0.493017                 NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00        98.3423                 NaN            NaN            NaN  0.657475E-002  0.320339        1.33076                 NaN            NaN            NaN            NaN            NaN
  1552.82        2500.00        98.3696                 NaN            NaN  0.366555E-003  0.642513E-002   1.30690       0.316718                 NaN            NaN            NaN            NaN            NaN
  1551.33        2500.00        98.3797                 NaN            NaN  0.114802       0.583211E-002   1.45041       0.492594E-001            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00        98.4016                 NaN            NaN  0.154056       0.556480E-002   1.43883                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        2500.00        98.4222                 NaN            NaN  0.147724       0.547309E-002   1.42463                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00        98.4467                 NaN            NaN  0.145309       0.533591E-002   1.40261                 NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00        98.4761                 NaN            NaN  0.156464       0.508603E-002   1.36231                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.4735                 NaN            NaN  0.123631       0.527134E-002   1.31074       0.868783E-001            NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00        98.5289                 NaN            NaN  0.142993       0.487991E-002   1.32322                 NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00        98.5388                 NaN            NaN  0.142764       0.479203E-002   1.31359                 NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        2500.00        98.5644                 NaN            NaN  0.139634       0.465461E-002   1.29129                 NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00        98.5828                 NaN            NaN  0.137871       0.453638E-002   1.27482                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        2500.00        98.6037                 NaN            NaN  0.138726       0.439812E-002   1.25313                 NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        2500.00        98.6249                 NaN            NaN  0.138382       0.426367E-002   1.23248                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        2500.00        99.9955                 NaN            NaN  0.374713E-002  0.774589E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00        97.3160                 NaN            NaN  0.256858       0.744865E-002   2.41970                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        2500.00        98.3999                 NaN            NaN  0.158726       0.478338E-002   1.43660                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00        98.9799                 NaN            NaN  0.100109       0.300418E-002  0.917031                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        2500.00        98.7086                 NaN            NaN  0.118985       0.375613E-002   1.15314       0.155275E-001            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00        98.7298                 NaN            NaN  0.114947       0.369824E-002  0.300725E-001   1.12153                 NaN            NaN            NaN            NaN            NaN
  1524.43        2500.00        98.7416                 NaN            NaN  0.111843       0.362002E-002  0.400657E-001   1.10288                 NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00        98.7577                 NaN            NaN  0.109500       0.352151E-002  0.438770E-001   1.08543                 NaN            NaN            NaN            NaN            NaN
  1521.44        2500.00        98.7710                 NaN            NaN  0.107267       0.343027E-002   1.06878       0.495196E-001            NaN            NaN            NaN            NaN            NaN
