|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/KHA22/KHA22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1583.33        2500.00       0.400055E-002            NaN   99.7365       0.144265       0.115186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        2500.00                 NaN            NaN   99.4028       0.597222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        2500.00                 NaN            NaN   99.4052       0.592987       0.177662E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        2500.00                 NaN            NaN   99.4097       0.569804       0.205312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        2500.00                 NaN            NaN   99.4060       0.538496       0.555025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00                 NaN            NaN   99.4248       0.522030       0.531325E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        2500.00                 NaN            NaN   99.4234       0.523360       0.532233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00                 NaN            NaN   99.4283       0.519586       0.521176E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        2500.00                 NaN            NaN   99.4328       0.515716       0.515057E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        2500.00                 NaN            NaN   99.4386       0.510248       0.511212E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        2500.00                 NaN            NaN   99.4436       0.506237       0.501874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        2500.00                 NaN            NaN   99.4452       0.505293       0.495248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        2500.00                 NaN            NaN   99.4550       0.496949       0.480527E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        2500.00                 NaN            NaN   99.4572       0.489293       0.534666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        2500.00                 NaN            NaN   99.4625       0.503771       0.337198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00                 NaN            NaN   99.4652       0.480362       0.544221E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.94        2500.00                 NaN            NaN   99.4710       0.483678       0.452847E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        2500.00                 NaN            NaN   99.4744       0.481302       0.443353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.01        2500.00                 NaN            NaN   99.4788       0.476364       0.448402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        2500.00                 NaN            NaN   99.4845       0.471702       0.438195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.09        2500.00                 NaN            NaN   99.4877       0.469384       0.429593E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00                 NaN            NaN   99.4914       0.466920       0.417162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.17        2500.00                 NaN            NaN   99.4952       0.463608       0.412137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        2500.00                 NaN            NaN   99.4947       0.465343       0.399713E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.24        2500.00                 NaN            NaN   99.5072       0.453305       0.395137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        2500.00                 NaN            NaN   99.5061       0.455853       0.380937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.32        2500.00                 NaN            NaN   99.5112       0.450416       0.383527E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00                 NaN            NaN   99.5146       0.447789       0.376000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.39        2500.00                 NaN            NaN   99.4562       0.503562       0.402259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
