|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/KHA22/KHA22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1583.33        2500.00       0.624965E-002            NaN   99.6930       0.165799       0.134944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        2500.00                 NaN            NaN   99.3140       0.686036                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        2500.00                 NaN            NaN   99.3166       0.681362       0.208118E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        2500.00                 NaN            NaN   99.3210       0.654910       0.240606E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        2500.00                 NaN            NaN   99.3158       0.619134       0.650744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00                 NaN            NaN   99.3373       0.600351       0.623176E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        2500.00                 NaN            NaN   99.3354       0.602108       0.624560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00                 NaN            NaN   99.3409       0.597934       0.611826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        2500.00                 NaN            NaN   99.3458       0.593690       0.604861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        2500.00                 NaN            NaN   99.3524       0.587564       0.600566E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        2500.00                 NaN            NaN   99.3579       0.583138       0.589908E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        2500.00                 NaN            NaN   99.3595       0.582226       0.582339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        2500.00                 NaN            NaN   99.3707       0.572788       0.565311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        2500.00                 NaN            NaN   99.3729       0.564132       0.629177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        2500.00                 NaN            NaN   99.3793       0.580996       0.396939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00                 NaN            NaN   99.3818       0.554116       0.640915E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.94        2500.00                 NaN            NaN   99.3885       0.558140       0.533553E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        2500.00                 NaN            NaN   99.3922       0.555548       0.522624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.01        2500.00                 NaN            NaN   99.3970       0.550107       0.528971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        2500.00                 NaN            NaN   99.4034       0.544939       0.517071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.09        2500.00                 NaN            NaN   99.4069       0.542378       0.507070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00                 NaN            NaN   99.4111       0.539653       0.492617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.17        2500.00                 NaN            NaN   99.4153       0.536010       0.486866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        2500.00                 NaN            NaN   99.4146       0.538138       0.472494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.24        2500.00                 NaN            NaN   99.4289       0.524390       0.467177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        2500.00                 NaN            NaN   99.4275       0.527412       0.450514E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.32        2500.00                 NaN            NaN   99.4333       0.521346       0.453844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00                 NaN            NaN   99.4370       0.518445       0.445070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.39        2500.00                 NaN            NaN   99.3692       0.583154       0.476327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.93        2500.00                 NaN            NaN   99.7172       0.259843       0.229222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.47        2500.00                 NaN            NaN   99.2475       0.695539       0.569811E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00                 NaN            NaN   99.4510       0.507500       0.414799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.55        2500.00                 NaN            NaN   99.4591       0.499245       0.416893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.08        2500.00                 NaN            NaN   99.4611       0.499359       0.395590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        2500.00                 NaN            NaN   99.4648       0.496204       0.390009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.16        2500.00                 NaN            NaN   99.4677       0.493883       0.383702E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        2500.00                 NaN            NaN   99.4714       0.490583       0.379989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        2500.00                 NaN            NaN   99.4747       0.489509       0.357649E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.77        2500.00                 NaN            NaN   99.4779       0.488262       0.338857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        2500.00                 NaN            NaN   99.4833       0.478899       0.377570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.85        2500.00                 NaN            NaN   99.4827       0.484087       0.332552E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.39        2500.00                 NaN            NaN   99.4900       0.476182       0.338082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.93        2500.00                 NaN            NaN   99.4916       0.476206       0.321763E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.46        2500.00                 NaN            NaN   99.4951       0.473009       0.319326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.00        2500.00                 NaN            NaN   99.4981       0.471153       0.307184E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.54        2500.00                 NaN            NaN   99.4964       0.474714       0.289147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.08        2500.00                 NaN            NaN   99.5080       0.462116       0.299339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
