|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.5/GRV/GRV_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1560.90        500.000       0.117367E-001   99.5788       0.329510       0.799504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.49        500.000                 NaN   99.1343       0.860439       0.522127E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.09        500.000                 NaN   99.1423       0.857658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        500.000                 NaN   99.1461       0.853908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.28        500.000       0.781748E-002   99.1662       0.825936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        500.000                 NaN   99.1562       0.843820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.47        500.000                 NaN   99.1603       0.839698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        500.000                 NaN   99.1656       0.834390                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.65        500.000                 NaN   99.1699       0.830095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        500.000                 NaN   99.1723       0.827707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        500.000                 NaN   99.1783       0.821694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.44        500.000                 NaN   99.1796       0.820420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.03        500.000                 NaN   99.1855       0.814497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.63        500.000                 NaN   99.1888       0.811213                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.22        500.000                 NaN   99.1919       0.808105       0.307532E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        500.000                 NaN   99.1952       0.804753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.41        500.000                 NaN   99.1899       0.810136       0.143158E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        500.000                 NaN   99.1266       0.439586                 NaN  0.433818                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.60        500.000                 NaN   99.0214       0.364506E-001            NaN  0.942161                 NaN            NaN            NaN            NaN            NaN            NaN
  1534.19        500.000                 NaN   98.9632       0.452121E-001            NaN  0.991557                 NaN            NaN            NaN            NaN            NaN            NaN
  1532.78        500.000                 NaN   98.8867                 NaN            NaN   1.11331                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        500.000       0.476043E-002   98.9374                 NaN            NaN   1.05785                 NaN            NaN            NaN            NaN            NaN            NaN
  1529.97        500.000       0.104523E-001   98.8372                 NaN            NaN   1.15230                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.57        500.000       0.107384E-001   98.3939                 NaN            NaN  0.780238       0.815104                 NaN            NaN            NaN            NaN            NaN
  1527.16        500.000       0.122331E-001   97.9154                 NaN            NaN  0.652451        1.41990                 NaN            NaN            NaN            NaN            NaN
