|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/KHA22/KHA22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          O(HP)          O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1589.74        2500.00       0.100372E-001   99.9091       0.808426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        2500.00                 NaN   99.5531       0.237364E-001            NaN            NaN  0.423173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        2500.00                 NaN   99.2986       0.667706E-001            NaN            NaN  0.634605                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00                 NaN   99.3135       0.658108E-001            NaN            NaN  0.620646                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        2500.00                 NaN   99.2928       0.635787E-001            NaN            NaN  0.643611                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00                 NaN   99.3393       0.628076E-001            NaN            NaN  0.597845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        2500.00                 NaN   99.3260       0.637427E-001            NaN            NaN  0.610275                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        2500.00                 NaN   99.3343       0.616916E-001            NaN            NaN  0.604050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        2500.00                 NaN   99.3389       0.614759E-001            NaN            NaN  0.599597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00                 NaN   99.3439       0.602151E-001            NaN            NaN  0.595905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        2500.00                 NaN   99.3446       0.594835E-001            NaN            NaN  0.595934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
