|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.5/EETA/EETA_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          O(HP)          ilm            San(TH)        q             
  1377.19        500.000                 NaN   99.0824       0.315633       0.177626                 NaN  0.309458       0.114904                 NaN            NaN            NaN            NaN
  1376.16        500.000                 NaN   99.0917       0.313383       0.172824                 NaN  0.306613       0.115434                 NaN            NaN            NaN            NaN
  1375.12        500.000                 NaN   99.1015       0.168722       0.310906                 NaN  0.303405       0.115449                 NaN            NaN            NaN            NaN
  1374.08        500.000                 NaN   99.1106       0.308787       0.163825                 NaN  0.300674       0.116086                 NaN            NaN            NaN            NaN
  1373.05        500.000                 NaN   99.1202       0.306261       0.159753                 NaN  0.297632       0.116169                 NaN            NaN            NaN            NaN
  1372.01        500.000                 NaN   99.1281       0.304731       0.155280                 NaN  0.295256       0.116641                 NaN            NaN            NaN            NaN
  1370.97        500.000                 NaN   99.1371       0.151599       0.302311                 NaN  0.292323       0.116712                 NaN            NaN            NaN            NaN
  1369.94        500.000                 NaN   99.1306       0.342696                 NaN            NaN  0.313645       0.213069                 NaN            NaN            NaN            NaN
  1368.90        500.000                 NaN   99.1656       0.296111       0.254376                 NaN  0.263652       0.202593E-001            NaN            NaN            NaN            NaN
  1367.87        500.000                 NaN   99.1625       0.296438       0.139383                 NaN  0.284219       0.117426                 NaN            NaN            NaN            NaN
  1366.83        500.000                 NaN   99.6252       0.602965E-001  0.133418                 NaN  0.127717       0.534096E-001            NaN            NaN            NaN            NaN
  1365.79        500.000                 NaN   98.7180       0.211170       0.455479                 NaN  0.434569       0.180822                 NaN            NaN            NaN            NaN
  1364.76        500.000                 NaN   99.1863       0.128148       0.290762                 NaN  0.276754       0.118051                 NaN            NaN            NaN            NaN
  1363.72        500.000                 NaN   99.1939       0.124599       0.288711                 NaN  0.274395       0.118413                 NaN            NaN            NaN            NaN
  1362.68        500.000                 NaN   99.2031       0.120949       0.286301                 NaN  0.271441       0.118242                 NaN            NaN            NaN            NaN
  1361.65        500.000                 NaN   99.2104       0.285084       0.117076                 NaN  0.269061       0.118399                 NaN            NaN            NaN            NaN
  1360.61        500.000                 NaN   99.2174       0.283138       0.114073                 NaN  0.266818       0.118558                 NaN            NaN            NaN            NaN
  1359.58        500.000                 NaN   99.2245       0.281080       0.110721                 NaN  0.264812       0.118887                 NaN            NaN            NaN            NaN
  1358.54        500.000                 NaN   99.2326       0.279863       0.107493                 NaN  0.261706       0.118317                 NaN            NaN            NaN            NaN
  1357.50        500.000                 NaN   99.2389       0.278129       0.104347                 NaN  0.259857       0.118720                 NaN            NaN            NaN            NaN
  1356.47        500.000                 NaN   99.2458       0.276596       0.101189                 NaN  0.257687       0.118696                 NaN            NaN            NaN            NaN
  1355.43        500.000                 NaN   99.2538       0.274480       0.982017E-001            NaN  0.254947       0.118522                 NaN            NaN            NaN            NaN
  1354.39        500.000                 NaN   99.2605       0.272889       0.949234E-001            NaN  0.252908       0.118777                 NaN            NaN            NaN            NaN
  1353.36        500.000                 NaN   99.2652       0.972394E-001  0.270621                 NaN  0.250809       0.116158                 NaN            NaN            NaN            NaN
  1352.32        500.000                 NaN   99.2718       0.272392       0.832296E-001            NaN  0.250137       0.122473                 NaN            NaN            NaN            NaN
  1351.29        500.000                 NaN   99.2825       0.892255E-001  0.266284                 NaN  0.245038       0.116905                 NaN            NaN            NaN            NaN
  1350.25        500.000                 NaN   99.2863       0.842267E-001  0.267102                 NaN  0.244250       0.118093                 NaN            NaN            NaN            NaN
  1349.21        500.000                 NaN   99.2936       0.824883E-001  0.264374                 NaN  0.241841       0.117677                 NaN            NaN            NaN            NaN
  1348.18        500.000                 NaN   99.2993       0.792964E-001  0.263210                 NaN  0.240159       0.118013                 NaN            NaN            NaN            NaN
  1347.14        500.000                 NaN   99.3062       0.768769E-001  0.261801                 NaN  0.237672       0.117488                 NaN            NaN            NaN            NaN
  1346.10        500.000                 NaN   99.3109       0.260764       0.740077E-001            NaN  0.236291       0.118003                 NaN            NaN            NaN            NaN
  1345.07        500.000                 NaN   99.3185       0.734087E-001  0.258238                 NaN  0.233362       0.116470                 NaN            NaN            NaN            NaN
  1344.03        500.000                 NaN   99.3237       0.257280       0.698296E-001            NaN  0.231950       0.117231                 NaN            NaN            NaN            NaN
  1343.00        500.000                 NaN   99.3305       0.255611       0.678065E-001            NaN  0.229494       0.116540                 NaN            NaN            NaN            NaN
  1341.96        500.000                 NaN   99.3285       0.258484       0.639803E-001            NaN  0.230595       0.118432                 NaN            NaN            NaN            NaN
  1340.92        500.000                 NaN   99.3354       0.253819       0.703490E-001            NaN  0.227303       0.113173                 NaN            NaN            NaN            NaN
  1339.89        500.000                 NaN   99.3565       0.249118       0.588308E-001            NaN  0.220285       0.115239                 NaN            NaN            NaN            NaN
  1338.85        500.000                 NaN   99.3524       0.612154E-001  0.249759                 NaN  0.221907       0.114716                 NaN            NaN            NaN            NaN
  1337.81        500.000                 NaN   99.3575       0.248596       0.591714E-001            NaN  0.220216       0.114509                 NaN            NaN            NaN            NaN
  1336.78        500.000                 NaN   99.3630       0.246291       0.586084E-001            NaN  0.218277       0.113851                 NaN            NaN            NaN            NaN
  1335.74        500.000                 NaN   99.3686       0.560182E-001  0.245534                 NaN  0.216357       0.113510                 NaN            NaN            NaN            NaN
  1334.71        500.000                 NaN   99.3717       0.244805       0.556317E-001            NaN  0.215100       0.112728                 NaN            NaN            NaN            NaN
  1333.67        500.000                 NaN   99.3792       0.242529       0.536743E-001            NaN  0.212481       0.112069                 NaN            NaN            NaN            NaN
  1332.63        500.000                 NaN   99.3839       0.517190E-001  0.241357                 NaN  0.211039       0.111995                 NaN            NaN            NaN            NaN
  1331.60        500.000                 NaN   99.3901       0.497902E-001  0.239745                 NaN  0.208970       0.111436                 NaN            NaN            NaN            NaN
  1330.56        500.000                 NaN   99.3942       0.496559E-001  0.238137                 NaN  0.207307       0.110661                 NaN            NaN            NaN            NaN
  1329.52        500.000                 NaN   99.3991       0.237103       0.483483E-001            NaN  0.205524       0.109934                 NaN            NaN            NaN            NaN
  1328.49        500.000                 NaN   99.4036       0.235998       0.468305E-001            NaN  0.204023       0.109593                 NaN            NaN            NaN            NaN
  1327.45        500.000                 NaN   99.4029       0.234552       0.486819E-001            NaN  0.204490       0.109329                 NaN            NaN            NaN            NaN
  1326.42        500.000                 NaN   99.4161       0.230288       0.485111E-001            NaN  0.199112       0.106011                 NaN            NaN            NaN            NaN
  1325.38        500.000                 NaN   99.4201       0.230621       0.445692E-001            NaN  0.197856       0.106866                 NaN            NaN            NaN            NaN
  1324.34        500.000                 NaN   99.4225       0.229899       0.442240E-001            NaN  0.197065       0.106284                 NaN            NaN            NaN            NaN
  1323.31        500.000                 NaN   99.4268       0.228281       0.446266E-001            NaN  0.195304       0.104957                 NaN            NaN            NaN            NaN
  1322.27        500.000                 NaN   99.4314       0.227007       0.432869E-001            NaN  0.193793       0.104559                 NaN            NaN            NaN            NaN
  1321.23        500.000                 NaN   99.4341       0.414235E-001  0.226581                 NaN  0.193134       0.104751                 NaN            NaN            NaN            NaN
  1320.20        500.000                 NaN   99.4411       0.222284       0.457054E-001            NaN  0.189770       0.101136                 NaN            NaN            NaN            NaN
  1319.16        500.000                 NaN   99.4450       0.401541E-001  0.223468                 NaN  0.188809       0.102523                 NaN            NaN            NaN            NaN
  1318.13        500.000                 NaN   99.4456       0.217048       0.534930E-001            NaN  0.187443       0.963982E-001            NaN            NaN            NaN            NaN
  1317.09        500.000                 NaN   99.4546       0.224387       0.308484E-001            NaN  0.186005       0.104191                 NaN            NaN            NaN            NaN
  1316.05        500.000                 NaN   99.4568       0.218477       0.417792E-001            NaN  0.184216       0.987483E-001            NaN            NaN            NaN            NaN
  1315.02        500.000                 NaN   99.4607       0.413617E-001  0.217234                 NaN  0.182767       0.979639E-001            NaN            NaN            NaN            NaN
  1313.98        500.000                 NaN   99.4647       0.420103E-001  0.215223                 NaN  0.181282       0.968315E-001            NaN            NaN            NaN            NaN
  1312.94        500.000                 NaN   99.4685       0.214158       0.418476E-001            NaN  0.179731       0.957597E-001            NaN            NaN            NaN            NaN
  1311.91        500.000                 NaN   99.4721       0.212856       0.418887E-001            NaN  0.178433       0.947413E-001            NaN            NaN            NaN            NaN
  1310.87        500.000                 NaN   99.4759       0.211937       0.413378E-001            NaN  0.176846       0.939404E-001            NaN            NaN            NaN            NaN
  1309.84        500.000                 NaN   99.4797       0.428458E-001  0.209809                 NaN  0.175358       0.922796E-001            NaN            NaN            NaN            NaN
  1308.80        500.000                 NaN   99.4830       0.208394       0.435786E-001            NaN  0.173962       0.910249E-001            NaN            NaN            NaN            NaN
  1307.76        500.000                 NaN   99.4871       0.206732       0.434736E-001            NaN  0.172529       0.901523E-001            NaN            NaN            NaN            NaN
  1306.73        500.000                 NaN   99.4904       0.205326       0.444376E-001            NaN  0.171089       0.887034E-001            NaN            NaN            NaN            NaN
  1305.69        500.000                 NaN   99.4939       0.203963       0.444454E-001            NaN  0.169828       0.878440E-001            NaN            NaN            NaN            NaN
  1304.65        500.000                 NaN   99.4967       0.201581       0.466503E-001            NaN  0.168699       0.863317E-001            NaN            NaN            NaN            NaN
  1303.62        500.000                 NaN   99.5011       0.470130E-001  0.200372                 NaN  0.166789       0.846969E-001            NaN            NaN            NaN            NaN
  1302.58        500.000                 NaN   99.5041       0.199136       0.470225E-001            NaN  0.165736       0.839599E-001            NaN            NaN            NaN            NaN
  1301.55        500.000                 NaN   99.4865       0.204714       0.516588E-001            NaN  0.171529       0.855614E-001            NaN            NaN            NaN            NaN
  1300.51        500.000                 NaN   99.5286       0.453478E-001  0.189912                 NaN  0.157112       0.790335E-001            NaN            NaN            NaN            NaN
  1299.47        500.000                 NaN   99.5152       0.192817       0.528656E-001            NaN  0.160862       0.782711E-001            NaN            NaN            NaN            NaN
  1298.44        500.000                 NaN   99.5168       0.192985       0.509854E-001            NaN  0.160622       0.786523E-001            NaN            NaN            NaN            NaN
  1297.40        500.000                 NaN   99.5199       0.191309       0.514037E-001            NaN  0.159541       0.778098E-001            NaN            NaN            NaN            NaN
  1296.36        500.000                 NaN   99.5237       0.189063       0.539998E-001            NaN  0.157703       0.755145E-001            NaN            NaN            NaN            NaN
  1295.33        500.000                 NaN   99.5260       0.187950       0.546482E-001            NaN  0.156820       0.745377E-001            NaN            NaN            NaN            NaN
  1294.29        500.000                 NaN   99.5286       0.186275       0.565564E-001            NaN  0.155684       0.729000E-001            NaN            NaN            NaN            NaN
  1293.26        500.000                 NaN   99.5309       0.184741       0.579234E-001            NaN  0.154704       0.716850E-001            NaN            NaN            NaN            NaN
  1292.22        500.000                 NaN   99.5339       0.182211       0.612046E-001            NaN  0.153328       0.693981E-001            NaN            NaN            NaN            NaN
  1291.18        500.000                 NaN   99.5367       0.614435E-001  0.181176                 NaN  0.152243       0.684143E-001            NaN            NaN            NaN            NaN
  1290.15        500.000                 NaN   99.5397       0.627538E-001  0.179276                 NaN  0.151093       0.672072E-001            NaN            NaN            NaN            NaN
  1289.11        500.000                 NaN   99.5424       0.647789E-001  0.177295                 NaN  0.149948       0.655870E-001            NaN            NaN            NaN            NaN
  1288.07        500.000                 NaN   99.5453       0.176371       0.639271E-001            NaN  0.149033       0.653686E-001            NaN            NaN            NaN            NaN
  1287.04        500.000                 NaN   99.5470       0.717419E-001  0.172390                 NaN  0.147699       0.611818E-001            NaN            NaN            NaN            NaN
  1286.00        500.000                 NaN   99.5500       0.172026       0.696080E-001            NaN  0.146860       0.614752E-001            NaN            NaN            NaN            NaN
  1284.97        500.000                 NaN   99.5515       0.737043E-001  0.169847                 NaN  0.145878       0.590460E-001            NaN            NaN            NaN            NaN
  1283.93        500.000                 NaN   99.5540       0.718759E-001  0.169943                 NaN  0.144986       0.586213E-001            NaN  0.602742E-003            NaN            NaN
  1282.89        500.000                 NaN   99.5289       0.218999                 NaN            NaN  0.154688       0.765053E-001            NaN  0.209251E-001            NaN            NaN
  1281.86        500.000                 NaN   99.5306       0.218618                 NaN            NaN  0.153939       0.750333E-001            NaN  0.218458E-001            NaN            NaN
  1280.82        500.000                 NaN   99.5349       0.215964                 NaN            NaN  0.152534       0.750208E-001            NaN  0.215505E-001            NaN            NaN
  1279.78        500.000                 NaN   99.5390       0.215272                 NaN            NaN  0.151126       0.733246E-001            NaN  0.212390E-001            NaN            NaN
  1278.75        500.000                 NaN   99.5443       0.212796                 NaN            NaN  0.149266       0.727341E-001            NaN  0.209122E-001            NaN            NaN
  1277.71        500.000                 NaN   99.5480       0.210230                 NaN            NaN  0.148309       0.727796E-001            NaN  0.207137E-001            NaN            NaN
  1276.68        500.000                 NaN   99.5530       0.209786                 NaN            NaN  0.146208       0.706507E-001            NaN  0.203128E-001            NaN            NaN
  1275.64        500.000                 NaN   99.5571       0.207704                 NaN            NaN  0.145059       0.700787E-001            NaN  0.200798E-001            NaN            NaN
  1274.60        500.000                 NaN   99.5613       0.205982                 NaN            NaN  0.143619       0.693068E-001            NaN  0.197882E-001            NaN            NaN
  1273.57        500.000                 NaN   98.5204       0.373074                 NaN            NaN  0.265328       0.116382                 NaN  0.425934E-001  0.682211                 NaN
  1272.53        500.000                 NaN   92.0137        1.44698                 NaN            NaN   1.02708       0.394788                 NaN  0.183331        4.93407                 NaN
  1271.50        500.000                 NaN   92.5989        1.24328       0.190859                 NaN  0.956248       0.308860                 NaN  0.164311        4.53755                 NaN
  1270.46        500.000                 NaN   93.1226        1.09649       0.306870                 NaN  0.890890       0.241969                 NaN  0.149115        4.19202                 NaN
  1269.42        500.000                 NaN   93.6078       0.290410        1.02628                 NaN  0.831796       0.221012                 NaN  0.137618        3.88510                 NaN
  1268.39        500.000                 NaN   94.0275       0.961432       0.283108                 NaN  0.780588       0.201737                 NaN  0.127467        3.61814                 NaN
  1267.35        500.000                 NaN   94.4032       0.906815       0.268209                 NaN  0.734542       0.186591                 NaN  0.118723        3.38191                 NaN
  1266.31        500.000                 NaN   94.7358       0.252396       0.859882                 NaN  0.693643       0.174083                 NaN  0.111004        3.17320                 NaN
  1265.28        500.000                 NaN   95.0339       0.817661       0.237509                 NaN  0.656879       0.163231                 NaN  0.104140        2.98666                 NaN
  1264.24        500.000                 NaN   95.3001       0.782465       0.221258                 NaN  0.623797       0.153871                 NaN  0.980593E-001   2.82042                 NaN
  1263.21        500.000                 NaN   95.5446       0.747237       0.207273                 NaN  0.593461       0.146049                 NaN  0.925351E-001   2.66888                 NaN
  1262.17        500.000                 NaN   95.7609       0.720295       0.192062                 NaN  0.566303       0.138552                 NaN  0.875849E-001   2.53428                 NaN
  1261.13        500.000                 NaN   95.9630       0.693719       0.176554                 NaN  0.540960       0.132815                 NaN  0.830859E-001   2.40982                 NaN
  1260.10        500.000                 NaN   96.1434       0.667670       0.167760                 NaN  0.518137       0.126068                 NaN  0.789348E-001   2.29805                 NaN
  1259.06        500.000                 NaN   96.3134       0.649929       0.148157                 NaN  0.496684       0.122480                 NaN  0.752264E-001   2.19415                 NaN
  1258.02        500.000                 NaN   96.4700       0.629467       0.136483                 NaN  0.476610       0.117515                 NaN  0.717084E-001   2.09826                 NaN
  1256.99        500.000                 NaN   96.6134       0.124406       0.611434                 NaN  0.458302       0.113449                 NaN  0.685090E-001   2.01052                 NaN
  1255.95        500.000                 NaN   96.7475       0.110087       0.596628                 NaN  0.440954       0.110147                 NaN  0.655390E-001   1.92914                 NaN
  1254.92        500.000                 NaN   96.8715       0.579524       0.101601                 NaN  0.424888       0.105970                 NaN  0.627304E-001   1.85378                 NaN
  1253.88        500.000                 NaN   96.9871       0.567763       0.879091E-001            NaN  0.409866       0.103380                 NaN  0.601845E-001   1.78380                 NaN
  1252.84        500.000                 NaN   97.0978       0.555750       0.752465E-001            NaN  0.395385       0.100812                 NaN  0.577581E-001   1.71724                 NaN
  1251.81        500.000                 NaN   97.1969       0.541046       0.697901E-001            NaN  0.382255       0.972030E-001            NaN  0.554535E-001   1.65735                 NaN
  1250.77        500.000                 NaN   97.2930       0.587058E-001  0.531292                 NaN  0.369526       0.945879E-001            NaN  0.532975E-001   1.59957                 NaN
  1249.73        500.000                 NaN   97.3820       0.521157       0.488709E-001            NaN  0.357669       0.924424E-001            NaN  0.513239E-001   1.54656                 NaN
  1248.70        500.000                 NaN   97.4700       0.438801E-001  0.508360                 NaN  0.345915       0.890957E-001            NaN  0.492864E-001   1.49349                 NaN
  1247.66        500.000                 NaN   97.5493       0.357804E-001  0.498983                 NaN  0.335188       0.868868E-001            NaN  0.474854E-001   1.44638                 NaN
  1246.63        500.000                 NaN   97.6239       0.488054       0.312000E-001            NaN  0.325037       0.840502E-001            NaN  0.457598E-001   1.40198                 NaN
  1245.59        500.000                 NaN   97.6956       0.369960E-001  0.470408                 NaN  0.315153       0.790069E-001            NaN  0.439708E-001   1.35885                 NaN
  1244.55        500.000                 NaN   97.7661       0.618459E-002  0.478523                 NaN  0.305799       0.826446E-001            NaN  0.426468E-001   1.31808                 NaN
  1243.52        500.000                 NaN   97.8296       0.457195       0.188844E-001            NaN  0.296899       0.766323E-001            NaN  0.409489E-001   1.27986                 NaN
  1242.48        500.000                 NaN   97.8910       0.446730       0.165977E-001            NaN  0.288391       0.742269E-001            NaN  0.395215E-001   1.24352                 NaN
  1241.44        500.000                 NaN   97.9495       0.435268       0.163473E-001            NaN  0.280252       0.715882E-001            NaN  0.381191E-001   1.20892                 NaN
  1240.41        500.000                 NaN   98.0064       0.423000       0.175266E-001            NaN  0.272253       0.688418E-001            NaN  0.367187E-001   1.17525                 NaN
  1239.37        500.000                 NaN   98.0598       0.413752       0.157098E-001            NaN  0.264830       0.666649E-001            NaN  0.354532E-001   1.14374                 NaN
  1238.34        500.000                 NaN   98.1111       0.398212       0.221071E-001            NaN  0.257559       0.634561E-001            NaN  0.341826E-001   1.11342                 NaN
  1237.30        500.000                 NaN   98.1399       0.221573       0.238705                 NaN  0.253465       0.286122E-001            NaN  0.312106E-001   1.08650                 NaN
  1236.26        500.000                 NaN   98.2123       0.388087                 NaN            NaN  0.243116       0.676072E-001            NaN  0.323275E-001   1.05661                 NaN
  1235.23        500.000                 NaN   98.2562       0.382214                 NaN            NaN  0.236864       0.635357E-001            NaN  0.311137E-001   1.03004                 NaN
  1234.19        500.000                 NaN   98.3000       0.372994                 NaN            NaN  0.230519       0.616820E-001            NaN  0.300703E-001   1.00474                 NaN
  1233.15        500.000                 NaN   98.7343       0.252255                 NaN            NaN  0.169672       0.624284E-001            NaN  0.238119E-001  0.757512                 NaN
  1232.12        500.000                 NaN   97.9354       0.500176       0.568975E-001            NaN  0.280985       0.406309E-002            NaN  0.307181E-001   1.19176                 NaN
  1231.08        500.000                 NaN   98.4137       0.853029E-001  0.284451                 NaN  0.214141       0.420522E-001            NaN  0.263507E-001  0.934035                 NaN
  1230.05        500.000                 NaN   98.4508       0.284092       0.746043E-001            NaN  0.208934       0.424899E-001            NaN  0.255736E-001  0.913505                 NaN
  1229.01        500.000                 NaN   98.4835       0.115156       0.246610                 NaN  0.203929       0.346486E-001            NaN  0.243667E-001  0.891742                 NaN
  1227.97        500.000                 NaN   98.5181       0.118049       0.237091                 NaN  0.199100       0.324490E-001            NaN  0.234995E-001  0.871734                 NaN
  1226.94        500.000                 NaN   98.5568       0.755341E-001  0.264121                 NaN  0.193315       0.361576E-001            NaN  0.229302E-001  0.851121                 NaN
  1225.90        500.000                 NaN   98.5715       0.261258       0.115572                 NaN  0.190632       0.584568E-002            NaN  0.208826E-001  0.834260                 NaN
  1224.86        500.000                 NaN   98.6090       0.179144       0.164740                 NaN  0.186389       0.239135E-001            NaN  0.207143E-001  0.816120                 NaN
  1223.83        500.000                 NaN   98.6380       0.174534       0.169690                 NaN  0.181327       0.177701E-001            NaN  0.199447E-001  0.798715                 NaN
  1222.79        500.000                 NaN   98.6601       0.275379       0.822869E-001            NaN  0.178202       0.348801E-002            NaN  0.185744E-001  0.781993                 NaN
  1221.76        500.000                 NaN   98.6921       0.266376       0.774810E-001            NaN  0.173507       0.718116E-002            NaN  0.181901E-001  0.765183                 NaN
  1220.72        500.000                 NaN   98.7181       0.254593       0.889975E-001            NaN  0.169693       0.251906E-002            NaN  0.173093E-001  0.748832                 NaN
  1219.68        500.000                 NaN   98.7429       0.566823E-001  0.283882                 NaN  0.166118                 NaN            NaN  0.166075E-001  0.733817                 NaN
  1218.65        500.000                 NaN   98.7674       0.265589       0.687912E-001            NaN  0.162532                 NaN            NaN  0.160180E-001  0.719642                 NaN
  1217.61        500.000                 NaN   98.8212       0.264035                 NaN            NaN  0.153223       0.387367E-001            NaN  0.177956E-001  0.704999                 NaN
  1216.57        500.000                 NaN   98.8105       0.312810E-001  0.294347                 NaN  0.156756                 NaN            NaN  0.147591E-001  0.692337                 NaN
  1215.54        500.000                 NaN   98.8403       0.297123       0.179673E-001            NaN  0.153330                 NaN            NaN  0.140199E-001  0.677302                 NaN
  1214.50        500.000                 NaN   98.8666       0.260974       0.467955E-001            NaN  0.148037                 NaN            NaN  0.139256E-001  0.663656                 NaN
  1213.47        500.000                 NaN   98.8857       0.174915E-001  0.285844                 NaN  0.145551                 NaN            NaN  0.133591E-001  0.652017                 NaN
  1212.43        500.000                 NaN   98.9097       0.275209       0.213801E-001            NaN  0.141899                 NaN            NaN  0.129312E-001  0.638886                 NaN
  1211.39        500.000                 NaN   97.7431       0.369158                 NaN            NaN  0.433940       0.549310E-001  0.245644E-001  0.669823E-001   1.30732                 NaN
  1210.36        500.000                 NaN   99.9068       0.716210E-001            NaN            NaN            NaN  0.215714E-001            NaN            NaN            NaN            NaN
  1209.32        500.000                 NaN   99.4202       0.611541E-001  0.117340                 NaN  0.541018E-001            NaN            NaN  0.259753E-003  0.346916                 NaN
  1208.28        500.000                 NaN   96.3889       0.405454                 NaN            NaN  0.335981       0.371942E-001            NaN  0.208538E-001   2.42927       0.382312     
  1207.25        500.000                 NaN   99.5336       0.738826E-001  0.194455                 NaN            NaN            NaN            NaN  0.223215E-003            NaN  0.197825     
  1206.21        500.000                 NaN   99.7563       0.111277       0.496752E-001            NaN  0.215517E-001  0.238694E-005            NaN  0.977324E-002  0.513925E-001            NaN
  1205.18        500.000                 NaN   94.5357       0.214806       0.538866                 NaN  0.475023                 NaN            NaN  0.110774E-001   2.11334        2.11121     
  1204.14        500.000                 NaN   88.4693        1.07642                 NaN            NaN  0.968590       0.182149                 NaN  0.615835E-001   4.63546        4.60644     
  1203.10        500.000                 NaN   94.9352       0.464060                 NaN            NaN  0.417916       0.139035                 NaN  0.238151E-001   1.92501        2.09498     
  1202.07        500.000                 NaN   87.0733        1.00039       0.152743E-004            NaN   1.07304       0.293571                 NaN  0.667228E-001   5.11495        5.37806     
  1201.03        500.000                 NaN   98.2459       0.257947                 NaN            NaN  0.152803       0.518472E-001            NaN  0.101441E-001  0.734965       0.546368     
