|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/KHA22/KHA22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1589.74        2500.00       0.168597E-002   99.9952       0.313547E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        2500.00                 NaN   99.4554       0.603903E-001  0.484183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        2500.00                 NaN   99.3024       0.664396E-001  0.631145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00                 NaN   99.2536       0.707309E-001  0.675706                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        2500.00                 NaN   99.3662       0.489716E-001  0.584836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00                 NaN   99.3227       0.635162E-001  0.613825                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        2500.00                 NaN   99.3301       0.624286E-001  0.607477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        2500.00                 NaN   99.3348       0.614454E-001  0.603714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        2500.00                 NaN   99.3426       0.614911E-001  0.595862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00                 NaN   99.7302       0.250958E-001  0.244681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        2500.00                 NaN   98.9675       0.942479E-001  0.938219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        2500.00                 NaN   99.3594       0.580342E-001  0.582581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        2500.00                 NaN   99.3601       0.585853E-001  0.581335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00                 NaN   99.3626       0.577273E-001  0.579650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        2500.00                 NaN   99.3866       0.551874E-001  0.558228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00                 NaN   99.3775       0.546347E-001  0.567897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        2500.00                 NaN   99.3866       0.558067E-001  0.557641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        2500.00                 NaN   99.3913       0.537273E-001  0.554998                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        2500.00                 NaN   99.3956       0.527408E-001  0.551686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        2500.00                 NaN   99.3988       0.505724E-001  0.550622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        2500.00                 NaN   99.3784       0.544704E-001  0.567125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        2500.00                 NaN   99.4350       0.475481E-001  0.517421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        2500.00                 NaN   99.4138       0.505359E-001  0.535664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00                 NaN   99.4185       0.475232E-001  0.534021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
