|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/KHA22/KHA22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1589.74        2500.00       0.107809E-002   99.9963       0.266573E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        2500.00                 NaN   99.5283       0.513553E-001  0.420345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        2500.00                 NaN   99.3957       0.564671E-001  0.547799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00                 NaN   99.3536       0.600000E-001  0.586429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        2500.00                 NaN   99.4511       0.416054E-001  0.507321                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00                 NaN   99.4138       0.539346E-001  0.532241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        2500.00                 NaN   99.4204       0.529906E-001  0.526633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        2500.00                 NaN   99.4246       0.521426E-001  0.523276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        2500.00                 NaN   99.4317       0.521445E-001  0.516187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00                 NaN   99.7669       0.212654E-001  0.211822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        2500.00                 NaN   99.1075       0.798698E-001  0.812610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        2500.00                 NaN   99.4466       0.491534E-001  0.504277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        2500.00                 NaN   99.4475       0.495998E-001  0.502943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
