|6.6.6
Archiving\03_Data\eq/QFM_m5/Y98/Y98_1.tab                                 
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           iron           Ni             Sp(TH)         Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        96.7654       0.970428        2.24035       0.238190E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        96.7389       0.970501        2.26677       0.238208E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        96.7124       0.970574        2.29319       0.238226E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        96.6859       0.970647        2.31961       0.238244E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        96.6594       0.970720        2.34604       0.238262E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        96.6329       0.970793        2.37247       0.238280E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        96.6064       0.970867        2.39891       0.238297E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        96.5799       0.970940        2.42535       0.238315E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        96.5534       0.971013        2.45179       0.238333E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        96.5279       0.971083        2.47716       0.238351E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        96.5025       0.971153        2.50254       0.238368E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        96.4770       0.971224        2.52791       0.238385E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        96.4516       0.971294        2.55329       0.238402E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        96.4261       0.971364        2.57868       0.238420E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        96.4007       0.971434        2.60407       0.238437E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        96.3752       0.971505        2.62946       0.238454E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        96.3497       0.971575        2.65486       0.238471E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        96.3253       0.971642        2.67922       0.238488E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        96.3009       0.971710        2.70359       0.238504E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        96.2764       0.971777        2.72796       0.238521E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        96.2520       0.971845        2.75233       0.238538E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        96.2275       0.971912        2.77671       0.238554E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        96.2031       0.971979        2.80109       0.238571E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        96.1786       0.972047        2.82547       0.238587E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        96.1542       0.972114        2.84986       0.238604E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        96.1308       0.972179        2.87318       0.238620E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        96.1074       0.972243        2.89650       0.238635E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        96.0840       0.972308        2.91982       0.238651E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        96.0606       0.972372        2.94315       0.238667E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        96.0372       0.972437        2.96648       0.238683E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        96.0138       0.972501        2.98981       0.238699E-001            NaN            NaN            NaN            NaN            NaN            NaN
