|6.6.6
Archiving\03_Data\eqLP/QFM_m0.5/TIS/TIS_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.1972       0.797145       0.561264E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.1972       0.797227       0.561270E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.1971       0.797309       0.561276E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.1970       0.797392       0.561282E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.1969       0.797474       0.561288E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.1968       0.797556       0.561294E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.1967       0.797639       0.561301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.1967       0.797721       0.561307E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.1966       0.797804       0.561314E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.1965       0.797886       0.561320E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.1964       0.797969       0.561327E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.1963       0.798051       0.561334E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.1963       0.798133       0.561341E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.1962       0.798216       0.561348E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.1961       0.798298       0.561355E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.1960       0.798381       0.561362E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.1959       0.798464       0.561370E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.1958       0.798546       0.561377E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.1958       0.798628       0.561384E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.1957       0.798711       0.561391E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.1956       0.798793       0.561399E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.1955       0.798876       0.561407E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.1954       0.798958       0.561414E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.1953       0.799041       0.561422E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.1953       0.799124       0.561430E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.1952       0.799206       0.561438E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.1951       0.799288       0.561446E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.1950       0.799371       0.561454E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.1949       0.799453       0.561462E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.1948       0.799536       0.561471E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.1948       0.799618       0.561479E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.1947       0.799701       0.561488E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.1946       0.799784       0.561496E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.1945       0.799866       0.561505E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.1944       0.799948       0.561513E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.1944       0.800031       0.561522E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.1943       0.800113       0.561531E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.1942       0.800196       0.561540E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.1941       0.800278       0.561549E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.1940       0.800361       0.561558E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.1939       0.800444       0.561567E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.1939       0.800526       0.561576E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.1938       0.800608       0.561585E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.1937       0.800690       0.561595E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.1936       0.800773       0.561604E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.1935       0.800855       0.561613E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.1934       0.800938       0.561623E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.1934       0.801020       0.561633E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.1933       0.801103       0.561643E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.1932       0.801185       0.561652E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        99.1931       0.801267       0.561662E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        99.1930       0.801349       0.561672E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.1930       0.801432       0.561681E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        99.1929       0.801514       0.561691E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        99.1928       0.801596       0.561702E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        99.1927       0.801679       0.561712E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        99.1926       0.801761       0.561722E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        99.1925       0.801843       0.561732E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        99.1925       0.801925       0.561742E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        99.1924       0.802007       0.561752E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        99.1923       0.802090       0.561763E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        99.1922       0.802172       0.561773E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        99.1921       0.802254       0.561784E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        99.1920       0.802336       0.561795E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        99.1920       0.802419       0.561805E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        99.1919       0.802501       0.561816E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        99.1918       0.802583       0.561827E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        99.1917       0.802665       0.561837E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        99.1916       0.802747       0.561848E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        99.1916       0.802829       0.561859E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        99.1077       0.802924                 NaN  0.893945E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        99.1060       0.803007                 NaN  0.910284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        99.1042       0.803089                 NaN  0.926626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        99.1020       0.803172                 NaN  0.948426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        99.0997       0.803254                 NaN  0.970229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        99.0975       0.803337                 NaN  0.992037E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        99.0952       0.803420                 NaN  0.101385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        99.0929       0.803502                 NaN  0.103566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        99.0907       0.803585                 NaN  0.105748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        99.0884       0.803668                 NaN  0.107931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        99.0861       0.803751                 NaN  0.110113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
