|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/ALH/ALH_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1528.85        500.000        99.9935       0.651484E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.52        500.000        99.5472       0.259712E-001  0.426793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.20        500.000        99.4415       0.477912E-002  0.553742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000        99.4449       0.314885E-002  0.551992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.55        500.000        99.4393       0.492244E-002  0.555789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        500.000        99.9458       0.919719E-002  0.413342E-001  0.370687E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.90        500.000        98.9912       0.153364E-001  0.993470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        99.4590       0.393259E-002  0.537067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.25        500.000        99.4633       0.992871E-002  0.526770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        500.000        99.4654                 NaN  0.534576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.60        500.000        99.4695                 NaN  0.530550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.27        500.000        99.4735       0.134963E-001  0.512955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.94        500.000        99.4770       0.890644E-002  0.514049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        500.000        99.4827       0.216583E-001  0.495619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000        99.4823                 NaN  0.517715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        500.000        99.1225                 NaN  0.877532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.64        500.000        99.8263       0.181811E-005  0.173693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.32        500.000        99.5223       0.900370E-003  0.476836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.99        500.000        99.4778                 NaN  0.443656                 NaN  0.785605E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1503.67        500.000        99.4261                 NaN  0.231263                 NaN  0.342674                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.34        500.000        99.3228       0.208791E-003  0.454415E-001            NaN  0.631565                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        500.000        99.4339                 NaN  0.332973E-001            NaN  0.532827                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        500.000        99.3801                 NaN  0.360658E-001            NaN  0.583856                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.3800                 NaN  0.337546E-001            NaN  0.586225                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.04        500.000        99.3467       0.120707E-003  0.334915E-001            NaN  0.619697                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.4198                 NaN  0.265069E-001            NaN  0.553648                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.39        500.000        99.3626                 NaN  0.140779                 NaN  0.496661                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.4129                 NaN  0.144131                 NaN  0.442956                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.74        500.000        99.3863                 NaN  0.257886E-002            NaN  0.611076                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000        99.3871                 NaN            NaN            NaN  0.612911                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.09        500.000        99.3864                 NaN  0.156071E-001            NaN  0.598007                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000        99.3860                 NaN            NaN            NaN  0.614013                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.44        500.000        99.3868                 NaN  0.147159E-001            NaN  0.598456                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        500.000        99.3858                 NaN  0.228119E-001            NaN  0.591394                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.79        500.000        99.3837                 NaN            NaN            NaN  0.616343                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.46        500.000        99.3827                 NaN            NaN            NaN  0.617349                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.13        500.000        99.2535                 NaN            NaN            NaN  0.746478                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.81        500.000        99.7129                 NaN  0.223150E-001            NaN  0.264799                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.48        500.000        99.1742                 NaN            NaN            NaN  0.825841                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.16        500.000        99.3759                 NaN            NaN            NaN  0.624081                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.83        500.000        99.2512                 NaN            NaN  0.510963E-003  0.748316                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.51        500.000        99.8440                 NaN            NaN  0.146381E-002  0.154505                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        500.000        98.9888                 NaN            NaN  0.590731E-002   1.00525                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.86        500.000        99.3412                 NaN            NaN  0.578645E-002  0.646684       0.629739E-002            NaN            NaN            NaN            NaN            NaN
  1470.53        500.000        99.2190                 NaN  0.141652E-002  0.265505E-002  0.776907                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.21        500.000        98.7768                 NaN            NaN  0.466809E-002  0.456722       0.761801                 NaN            NaN            NaN            NaN            NaN
  1467.88        500.000        99.0026                 NaN            NaN  0.347347E-002  0.374824       0.619127                 NaN            NaN            NaN            NaN            NaN
  1466.55        500.000        99.0128                 NaN            NaN  0.336577E-002  0.371279       0.612572                 NaN            NaN            NaN            NaN            NaN
  1465.23        500.000        99.0210                 NaN            NaN  0.328818E-002  0.607912       0.367837                 NaN            NaN            NaN            NaN            NaN
  1463.90        500.000        99.0316                 NaN            NaN  0.317944E-002  0.364223       0.601008                 NaN            NaN            NaN            NaN            NaN
  1462.58        500.000        99.9845                 NaN            NaN  0.874514E-003  0.146193E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1461.25        500.000        98.1101                 NaN            NaN  0.516671E-002   1.18253       0.702173                 NaN            NaN            NaN            NaN            NaN
  1459.93        500.000        99.0566                 NaN            NaN  0.290509E-002  0.585985       0.354502                 NaN            NaN            NaN            NaN            NaN
  1458.60        500.000        99.0670                 NaN            NaN  0.279823E-002  0.579480       0.350709                 NaN            NaN            NaN            NaN            NaN
  1457.28        500.000        99.0687                 NaN            NaN  0.274281E-002  0.354842       0.573731                 NaN            NaN            NaN            NaN            NaN
  1455.95        500.000        99.0887                 NaN            NaN  0.262338E-002  0.570110       0.338571                 NaN            NaN            NaN            NaN            NaN
  1454.63        500.000        99.0911                 NaN            NaN  0.256216E-002  0.565179       0.341149                 NaN            NaN            NaN            NaN            NaN
  1453.30        500.000        99.0993                 NaN            NaN  0.247249E-002  0.338261       0.559935                 NaN            NaN            NaN            NaN            NaN
  1451.97        500.000        98.8717                 NaN            NaN  0.181034E-001  0.581333       0.528881                 NaN            NaN            NaN            NaN            NaN
  1450.65        500.000        99.3506                 NaN            NaN            NaN  0.551146       0.982746E-001            NaN            NaN            NaN            NaN            NaN
  1449.32        500.000        99.1238                 NaN            NaN            NaN  0.549780       0.326457                 NaN            NaN            NaN            NaN            NaN
  1448.00        500.000        99.1307                 NaN            NaN            NaN  0.322861       0.546394                 NaN            NaN            NaN            NaN            NaN
  1446.67        500.000        99.1367                 NaN            NaN            NaN  0.321150       0.542181                 NaN            NaN            NaN            NaN            NaN
  1445.35        500.000        99.1474                 NaN            NaN            NaN  0.318199       0.534382                 NaN            NaN            NaN            NaN            NaN
  1444.02        500.000        99.1536                 NaN            NaN            NaN  0.315073       0.531289                 NaN            NaN            NaN            NaN            NaN
  1442.70        500.000        99.1596                 NaN            NaN  0.313046E-003  0.526743       0.313393                 NaN            NaN            NaN            NaN            NaN
  1441.37        500.000        99.1295                 NaN            NaN  0.729857E-004  0.288538       0.581889                 NaN            NaN            NaN            NaN            NaN
  1440.05        500.000        99.2102                 NaN            NaN  0.199049E-002  0.331178       0.456646                 NaN            NaN            NaN            NaN            NaN
  1438.72        500.000        98.9453                 NaN            NaN  0.211254E-002  0.658077       0.394491                 NaN            NaN            NaN            NaN            NaN
  1437.39        500.000        99.4207                 NaN            NaN  0.113962E-002  0.361462       0.216746                 NaN            NaN            NaN            NaN            NaN
  1436.07        500.000        99.1857                 NaN            NaN  0.152493E-002  0.510476       0.302262                 NaN            NaN            NaN            NaN            NaN
  1434.74        500.000        99.2058                 NaN            NaN  0.149035E-002  0.299161       0.493572                 NaN            NaN            NaN            NaN            NaN
  1433.42        500.000        99.2051                 NaN            NaN  0.142263E-002  0.296776       0.496740                 NaN            NaN            NaN            NaN            NaN
  1432.09        500.000        99.2105                 NaN            NaN  0.136365E-002  0.493412       0.294747                 NaN            NaN            NaN            NaN            NaN
  1430.77        500.000        99.2177                 NaN            NaN  0.129470E-002  0.291917       0.489126                 NaN            NaN            NaN            NaN            NaN
  1429.44        500.000        99.2235                 NaN            NaN  0.123557E-002  0.485546       0.289729                 NaN            NaN            NaN            NaN            NaN
  1428.12        500.000        98.8818                 NaN            NaN  0.165754E-002  0.415221       0.701317                 NaN            NaN            NaN            NaN            NaN
  1426.79        500.000        99.5801                 NaN            NaN  0.610685E-003  0.156716       0.262573                 NaN            NaN            NaN            NaN            NaN
  1425.47        500.000        99.2421                 NaN            NaN  0.107273E-002  0.474460       0.282395                 NaN            NaN            NaN            NaN            NaN
  1424.14        500.000        99.2466                 NaN            NaN  0.102428E-002  0.280366       0.472057                 NaN            NaN            NaN            NaN            NaN
  1422.81        500.000        99.2523                 NaN            NaN  0.969066E-003  0.278074       0.468703                 NaN            NaN            NaN            NaN            NaN
  1421.49        500.000        99.2578                 NaN            NaN  0.915803E-003  0.275910       0.465334                 NaN            NaN            NaN            NaN            NaN
  1420.16        500.000        99.2612                 NaN            NaN  0.876646E-003  0.273901       0.464009                 NaN            NaN            NaN            NaN            NaN
  1418.84        500.000        99.2697                 NaN            NaN  0.818102E-003  0.271112       0.458406                 NaN            NaN            NaN            NaN            NaN
  1417.51        500.000        98.8330                 NaN            NaN            NaN  0.455748       0.516559                 NaN  0.194708                 NaN            NaN            NaN
  1416.19        500.000        98.1015                 NaN            NaN  0.138149E-002  0.604428       0.768921                 NaN  0.523810                 NaN            NaN            NaN
  1414.86        500.000        98.1383                 NaN            NaN            NaN  0.751664       0.596768                 NaN  0.513293                 NaN            NaN            NaN
  1413.54        500.000        98.1649                 NaN            NaN            NaN  0.740472       0.588489                 NaN  0.506156                 NaN            NaN            NaN
  1412.21        500.000        98.1958                 NaN            NaN            NaN  0.727334       0.579411                 NaN  0.497461                 NaN            NaN            NaN
  1410.89        500.000        98.2256                 NaN            NaN            NaN  0.569905       0.715031                 NaN  0.489419                 NaN            NaN            NaN
  1409.56        500.000        98.2509                 NaN            NaN            NaN  0.562681       0.704097                 NaN  0.482345                 NaN            NaN            NaN
  1408.24        500.000        98.2825                 NaN            NaN            NaN  0.691511       0.552537                 NaN  0.473457                 NaN            NaN            NaN
  1406.91        500.000        98.3070                 NaN            NaN            NaN  0.545642       0.680801                 NaN  0.466550                 NaN            NaN            NaN
  1405.58        500.000        98.3351                 NaN            NaN            NaN  0.536052       0.670070                 NaN  0.458806                 NaN            NaN            NaN
  1404.26        500.000        98.3596                 NaN            NaN            NaN  0.659957       0.528485                 NaN  0.451975                 NaN            NaN            NaN
  1402.93        500.000        98.3845                 NaN            NaN            NaN  0.649495       0.520955                 NaN  0.445051                 NaN            NaN            NaN
  1401.61        500.000        98.4075                 NaN            NaN            NaN  0.513781       0.640123                 NaN  0.438587                 NaN            NaN            NaN
  1400.28        500.000        98.4308                 NaN            NaN            NaN  0.506637       0.630512                 NaN  0.432027                 NaN            NaN            NaN
  1398.96        500.000        98.4537                 NaN            NaN            NaN  0.499400       0.621408                 NaN  0.425477                 NaN            NaN            NaN
  1397.63        500.000        98.4762                 NaN            NaN            NaN  0.492935       0.611388                 NaN  0.419434                 NaN            NaN            NaN
  1396.31        500.000        98.4984                 NaN            NaN            NaN  0.485149       0.603314                 NaN  0.413125                 NaN            NaN            NaN
  1394.98        500.000        98.5188                 NaN            NaN            NaN  0.478513       0.595282                 NaN  0.407428                 NaN            NaN            NaN
  1393.66        500.000        98.5384                 NaN            NaN            NaN  0.586889       0.472799                 NaN  0.401869                 NaN            NaN            NaN
  1392.33        500.000        98.5591                 NaN            NaN            NaN  0.579134       0.465783                 NaN  0.396008                 NaN            NaN            NaN
  1391.00        500.000        98.5777                 NaN            NaN            NaN  0.571874       0.459528                 NaN  0.390865                 NaN            NaN            NaN
  1389.68        500.000        98.5990                 NaN            NaN            NaN  0.453437       0.562892                 NaN  0.384659                 NaN            NaN            NaN
  1388.35        500.000        98.6149                 NaN            NaN            NaN  0.448530       0.556268                 NaN  0.380342                 NaN            NaN            NaN
  1387.03        500.000        98.6346                 NaN            NaN            NaN  0.441558       0.548925                 NaN  0.374946                 NaN            NaN            NaN
  1385.70        500.000        98.6506                 NaN            NaN            NaN  0.542935       0.436313                 NaN  0.370195                 NaN            NaN            NaN
  1384.38        500.000        98.6688                 NaN            NaN            NaN  0.535215       0.431020                 NaN  0.364938                 NaN            NaN            NaN
  1383.05        500.000        98.6848                 NaN            NaN            NaN  0.425626       0.529180                 NaN  0.360416                 NaN            NaN            NaN
  1381.73        500.000        98.7010                 NaN            NaN            NaN  0.522562       0.420534                 NaN  0.355925                 NaN            NaN            NaN
  1380.40        500.000        98.7171                 NaN            NaN            NaN  0.516353       0.415261                 NaN  0.351312                 NaN            NaN            NaN
  1379.08        500.000        98.7320                 NaN            NaN            NaN  0.410107       0.510878                 NaN  0.347054                 NaN            NaN            NaN
  1377.75        500.000        98.7482                 NaN            NaN            NaN  0.404959       0.504512                 NaN  0.342346                 NaN            NaN            NaN
  1376.42        500.000        98.7617                 NaN            NaN            NaN  0.400896       0.498890                 NaN  0.338469                 NaN            NaN            NaN
  1375.10        500.000        98.7754                 NaN            NaN            NaN  0.396432       0.493756                 NaN  0.334400                 NaN            NaN            NaN
  1373.77        500.000        98.7911                 NaN            NaN            NaN  0.390985       0.487776                 NaN  0.330177                 NaN            NaN            NaN
  1372.45        500.000        98.8053                 NaN            NaN            NaN  0.385989       0.482619                 NaN  0.326062                 NaN            NaN            NaN
  1371.12        500.000        98.8186                 NaN            NaN            NaN  0.477405       0.381573                 NaN  0.322372                 NaN            NaN            NaN
  1369.80        500.000        98.8316                 NaN            NaN            NaN  0.377319       0.472726                 NaN  0.318330                 NaN            NaN            NaN
  1368.47        500.000        98.8444                 NaN            NaN            NaN  0.373189       0.467500                 NaN  0.314877                 NaN            NaN            NaN
  1367.15        500.000        98.8584                 NaN            NaN            NaN  0.462417       0.368426                 NaN  0.310708                 NaN            NaN            NaN
  1365.82        500.000        98.8685                 NaN            NaN            NaN  0.364898       0.458772                 NaN  0.307834                 NaN            NaN            NaN
  1364.50        500.000        98.8817                 NaN            NaN            NaN  0.453511       0.360821                 NaN  0.304014                 NaN            NaN            NaN
  1363.17        500.000        98.8929                 NaN            NaN            NaN  0.356890       0.449452                 NaN  0.300803                 NaN            NaN            NaN
  1361.84        500.000        98.9052                 NaN            NaN            NaN  0.352442       0.445099                 NaN  0.297268                 NaN            NaN            NaN
  1360.52        500.000        98.9156                 NaN            NaN            NaN  0.441321       0.348929                 NaN  0.294179                 NaN            NaN            NaN
  1359.19        500.000        98.9271                 NaN            NaN            NaN  0.345311       0.436655                 NaN  0.290979                 NaN            NaN            NaN
  1357.87        500.000        98.9382                 NaN            NaN            NaN  0.341291       0.432827                 NaN  0.287684                 NaN            NaN            NaN
  1356.54        500.000        98.9474                 NaN            NaN            NaN  0.429690       0.337986                 NaN  0.284895                 NaN            NaN            NaN
  1355.22        500.000        98.9582                 NaN            NaN            NaN  0.334178       0.425744                 NaN  0.281879                 NaN            NaN            NaN
  1353.89        500.000        98.9683                 NaN            NaN            NaN  0.330777       0.421874                 NaN  0.279022                 NaN            NaN            NaN
  1352.57        500.000        98.9794                 NaN            NaN            NaN  0.326642       0.418138                 NaN  0.275798                 NaN            NaN            NaN
  1351.24        500.000        98.9882                 NaN            NaN            NaN  0.323823       0.414829                 NaN  0.273164                 NaN            NaN            NaN
  1349.92        500.000        98.9973                 NaN            NaN            NaN  0.319629       0.412631                 NaN  0.270479                 NaN            NaN            NaN
  1348.59        500.000        99.0078                 NaN            NaN            NaN  0.316796       0.407975                 NaN  0.267428                 NaN            NaN            NaN
  1347.26        500.000        99.0163                 NaN            NaN            NaN  0.405305       0.313430                 NaN  0.265004                 NaN            NaN            NaN
  1345.94        500.000        99.0246                 NaN            NaN            NaN  0.402435       0.310489                 NaN  0.262517                 NaN            NaN            NaN
  1344.61        500.000        99.0341                 NaN            NaN            NaN  0.307508       0.398728                 NaN  0.259694                 NaN            NaN            NaN
