|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/Y98/Y98_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        an             O(HP)          Sp(TH)         San(TH)        San(TH)        ilm            q              hed           
  1451.92        500.000        99.9101       0.688656E-001            NaN  0.209946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.3693       0.514031                 NaN  0.116672                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        99.2411       0.295450       0.463482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.2332       0.306281       0.454825       0.564677E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.2399       0.309523       0.450579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.8880       0.437942E-001  0.681761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        98.6052       0.825604       0.569237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.2534       0.303185       0.443408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.2549       0.302380       0.442674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.2669       0.296980       0.436142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.2640       0.297981       0.437970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.2759       0.293850       0.430215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.2773       0.292496       0.430184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.2738       0.432732       0.293477                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        99.2933       0.420454       0.286249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        99.2911       0.422425       0.286458                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        500.000        99.2488       0.448456       0.302772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.67        500.000        99.3444       0.264691       0.390875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        500.000        99.3032       0.415910       0.280908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.40        500.000        99.3077       0.413347       0.278961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.27        500.000        99.3109       0.411610       0.277511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.13        500.000        99.3159       0.275270       0.408813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.00        500.000        99.3195       0.273695       0.406843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
