|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/Y98/Y98_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        an             O(HP)          Sp(TH)         San(TH)        San(TH)        ilm            q              hed           
  1451.92        500.000        99.8972       0.785189E-001            NaN  0.243001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.2793       0.585740                 NaN  0.134966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        99.1318       0.339996       0.528217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.1223       0.352616       0.518498       0.653676E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.1297       0.356505       0.513816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.8716       0.505534E-001  0.778488E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        98.4032       0.941174       0.655591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.1442       0.349674       0.506112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.1456       0.348905       0.505457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.1591       0.342789       0.498135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.1554       0.344155       0.500448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.1687       0.339524       0.491743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.1700       0.338102       0.491849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.1657       0.494913       0.339408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        99.1878       0.481035       0.331185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        99.1850       0.483423       0.331576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        500.000        99.1360       0.513377       0.350614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.67        500.000        99.2456       0.306712       0.447707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        500.000        99.1979       0.476497       0.325632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.40        500.000        99.2027       0.473763       0.323546                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.27        500.000        99.2062       0.471877       0.321965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.13        500.000        99.2116       0.319562       0.468875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.00        500.000        99.2154       0.317862       0.466766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.87        500.000        99.2191       0.316237       0.464617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.74        500.000        99.1932       0.480812       0.325997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.60        500.000        98.7176       0.517757       0.533938                 NaN  0.230691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.47        500.000        98.0466       0.824102       0.622760                 NaN  0.506499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.34        500.000        98.0778       0.613651       0.810212                 NaN  0.498317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.21        500.000        98.1038       0.606048       0.798869                 NaN  0.491251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.07        500.000        98.1330       0.786419       0.597379                 NaN  0.483186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.94        500.000        98.1590       0.775257       0.589549                 NaN  0.476236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.81        500.000        98.1860       0.581672       0.763588                 NaN  0.468782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.68        500.000        98.2114       0.752992       0.573684                 NaN  0.461929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.54        500.000        98.2299       0.568001       0.745215                 NaN  0.456868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.41        500.000        98.2624       0.558618       0.730994                 NaN  0.447988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.28        500.000        98.2824       0.552376       0.722368                 NaN  0.442876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1411.15        500.000        98.3062       0.545512       0.712356                 NaN  0.435965       0.129152E-005            NaN            NaN            NaN            NaN            NaN            NaN
