|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           an             San(TH)        ilm            q             
  1599.36        2500.00        98.8606        1.13945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        2500.00        99.0515       0.948092       0.439681E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        2500.00        99.0565       0.906939       0.357153E-001  0.805917E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        2500.00        99.0682       0.898686       0.331524E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        2500.00        99.0571       0.911603       0.312525E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00        99.0896       0.880424       0.299622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        2500.00        99.0811       0.890254       0.286597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        2500.00        99.0865       0.886692       0.267917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        2500.00        99.0915       0.882351       0.261485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00        99.6592       0.331933       0.883916E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        2500.00        98.5385        1.45517       0.628882E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        2500.00        98.7169        1.22116       0.619868E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        2500.00        99.5084       0.479467       0.120912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        2500.00        99.1160       0.864465       0.195458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        2500.00        99.1204       0.860979       0.186512E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        2500.00        99.1063       0.760039       0.128876E-001            NaN  0.120739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        2500.00        98.8769       0.106559E-003            NaN            NaN   1.12302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        2500.00        99.0320                 NaN  0.652305E-002  0.669086E-003  0.960792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        2500.00        98.9206                 NaN            NaN  0.826872E-002   1.07110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        2500.00        98.9003                 NaN  0.226276E-003  0.120197E-001   1.08743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        2500.00        98.7603                 NaN            NaN  0.133640E-001   1.22635                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00        99.0020                 NaN            NaN  0.105824E-001  0.987436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        2500.00        98.8577                 NaN            NaN  0.118770E-001   1.13047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        2500.00        98.8371                 NaN            NaN  0.118698E-001   1.15100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        2500.00        98.6749                 NaN            NaN  0.131396E-001   1.31192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        2500.00        98.9160                 NaN            NaN  0.104985E-001   1.07347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        2500.00        98.7330                 NaN            NaN  0.118010E-001   1.25515                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00        98.6718                 NaN            NaN  0.117953E-001   1.31645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00        98.4513                 NaN            NaN  0.114798E-001  0.424406        1.11285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00        98.1141                 NaN            NaN  0.104860E-001  0.328232        1.54716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        2500.00        97.7930                 NaN  0.247836E-001  0.665475E-001   1.56297       0.552697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00        98.3937                 NaN  0.404588E-002            NaN   1.46639       0.135863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        2500.00        98.2335                 NaN  0.329933E-001            NaN  0.217998        1.51555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        2500.00        98.2140                 NaN  0.161113                 NaN  0.185818E-001   1.60633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.29        2500.00        95.0005                 NaN  0.462268                 NaN   4.38881       0.148443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.28        2500.00        99.9345                 NaN  0.324045E-002            NaN  0.622969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        2500.00        98.3154                 NaN  0.177652       0.484603E-002   1.50209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.28        2500.00        98.3365                 NaN  0.169662       0.754056E-002   1.48630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        2500.00        98.3631                 NaN  0.183371       0.721729E-002   1.44628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
