|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1602.56        2500.00       0.455138E-002   99.3787       0.498473       0.118310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        2500.00                 NaN   99.5442       0.401524       0.542367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        2500.00                 NaN   98.8734       0.987743       0.138900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        2500.00       0.129496E-002   98.6447        1.18206       0.171906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        2500.00                 NaN   99.8093       0.166522       0.241278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00                 NaN   99.2392       0.667432       0.933693E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        2500.00                 NaN   99.2413       0.665628       0.930381E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        2500.00                 NaN   99.2410       0.657015       0.101965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        2500.00                 NaN   99.2649       0.660968       0.741598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00                 NaN   99.2630       0.649188       0.877635E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        2500.00                 NaN   99.2699       0.642649       0.874343E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        2500.00                 NaN   99.2758       0.638545       0.856571E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        2500.00                 NaN   99.2759       0.638777       0.853402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        2500.00                 NaN   99.2965       0.619877       0.836049E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        2500.00                 NaN   99.2965       0.619834       0.836430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00                 NaN   99.2996       0.619749       0.806486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        2500.00                 NaN   99.2787       0.637588       0.836679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        2500.00                 NaN   99.3434       0.580198       0.764021E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        2500.00                 NaN   99.3211       0.600403       0.785425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        2500.00                 NaN   99.3255       0.596986       0.775418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        2500.00                 NaN   99.3328       0.589863       0.773277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00                 NaN   99.3372       0.587791       0.750143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        2500.00                 NaN   99.3340       0.591617       0.743430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        2500.00                 NaN   99.3539       0.574022       0.720867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        2500.00                 NaN   99.3546       0.572809       0.726088E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        2500.00                 NaN   99.3576       0.571838       0.705778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.30        2500.00                 NaN   99.3645       0.565273       0.702198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00                 NaN   99.3683       0.563091       0.686506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.28        2500.00                 NaN   99.2980       0.623616       0.783746E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.76        2500.00                 NaN   99.5233       0.426266       0.504596E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.25        2500.00                 NaN   99.3142       0.613713       0.720655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00                 NaN   99.3913       0.543012       0.656585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.23        2500.00                 NaN   99.3939       0.540569       0.655712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.72        2500.00                 NaN   99.3995       0.536608       0.639116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.21        2500.00                 NaN   99.3918       0.552495       0.557189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        2500.00                 NaN   99.4141       0.512101       0.737625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.19        2500.00                 NaN   99.4143       0.530969       0.547140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.68        2500.00                 NaN   99.4158       0.525732       0.585151E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.17        2500.00                 NaN   99.4204       0.520985       0.585972E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        2500.00                 NaN   99.1578       0.762002       0.802334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.15        2500.00                 NaN   99.6943       0.274984       0.307555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.64        2500.00                 NaN   99.6371       0.326278       0.366454E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.13        2500.00                 NaN   99.2321       0.691884       0.759835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        2500.00                 NaN   99.4412       0.505547       0.532511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.11        2500.00                 NaN   99.4454       0.500658       0.539158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.60        2500.00                 NaN   99.4492       0.498253       0.525164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.09        2500.00                 NaN   99.4519       0.496464       0.516218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        2500.00                 NaN   99.4570       0.492587       0.504091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.07        2500.00                 NaN   99.4602       0.490347       0.494749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.56        2500.00                 NaN   99.4642       0.487005       0.487555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.05        2500.00                 NaN   99.4691       0.479826       0.510644E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.54        2500.00                 NaN   99.4711       0.482033       0.468443E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.03        2500.00                 NaN   99.4346       0.512927       0.524926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.52        2500.00                 NaN   99.5183       0.440828       0.408351E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.01        2500.00                 NaN   99.4806       0.475359       0.439989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        2500.00                 NaN   99.4795       0.477970       0.425516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.99        2500.00                 NaN   99.4929       0.462255       0.448146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.48        2500.00                 NaN   99.4909       0.467172       0.418826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.97        2500.00                 NaN   99.4922       0.467366       0.403967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.46        2500.00                 NaN   99.3012       0.642244       0.565673E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.95        2500.00                 NaN   99.6968       0.280436       0.227200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        2500.00                 NaN   99.5026       0.459950       0.374999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.93        2500.00                 NaN   99.5037       0.457639       0.386485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        2500.00                 NaN   99.5105       0.453670       0.358421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.91        2500.00                 NaN   99.3808       0.576830       0.423295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.40        2500.00                 NaN   99.6438       0.331072       0.251366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.89        2500.00                 NaN   99.5170       0.448681       0.343504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.38        2500.00                 NaN   99.5187       0.446947       0.323682E-001            NaN  0.200988E-002            NaN            NaN            NaN            NaN            NaN
  1499.87        2500.00                 NaN   99.1672                 NaN            NaN            NaN  0.832796                 NaN            NaN            NaN            NaN            NaN
  1498.36        2500.00                 NaN   99.7264       0.259675E-001            NaN            NaN  0.247654                 NaN            NaN            NaN            NaN            NaN
  1496.85        2500.00                 NaN   99.2875                 NaN  0.753499E-002            NaN  0.704946                 NaN            NaN            NaN            NaN            NaN
  1495.34        2500.00                 NaN   99.3937                 NaN            NaN            NaN  0.606291                 NaN            NaN            NaN            NaN            NaN
  1493.83        2500.00                 NaN   99.3632                 NaN            NaN            NaN  0.636839                 NaN            NaN            NaN            NaN            NaN
  1492.32        2500.00                 NaN   99.4235                 NaN            NaN            NaN  0.576476                 NaN            NaN            NaN            NaN            NaN
  1490.81        2500.00                 NaN   99.3943                 NaN            NaN            NaN  0.605664                 NaN            NaN            NaN            NaN            NaN
  1489.30        2500.00                 NaN   99.3923                 NaN            NaN            NaN  0.607731                 NaN            NaN            NaN            NaN            NaN
  1487.79        2500.00                 NaN   99.3921                 NaN            NaN            NaN  0.607905                 NaN            NaN            NaN            NaN            NaN
  1486.28        2500.00                 NaN   99.4190                 NaN            NaN            NaN  0.580977                 NaN            NaN            NaN            NaN            NaN
  1484.77        2500.00                 NaN   99.3604                 NaN            NaN            NaN  0.639606                 NaN            NaN            NaN            NaN            NaN
  1483.26        2500.00                 NaN   99.3849                 NaN            NaN            NaN  0.615100                 NaN            NaN            NaN            NaN            NaN
  1481.75        2500.00                 NaN   99.3106                 NaN            NaN            NaN  0.689365                 NaN            NaN            NaN            NaN            NaN
  1480.24        2500.00                 NaN   99.5150                 NaN            NaN            NaN  0.484991                 NaN            NaN            NaN            NaN            NaN
  1478.73        2500.00                 NaN   99.7057                 NaN            NaN            NaN  0.294280                 NaN            NaN            NaN            NaN            NaN
  1477.22        2500.00                 NaN   98.9745                 NaN            NaN            NaN   1.02554                 NaN            NaN            NaN            NaN            NaN
  1475.71        2500.00                 NaN   99.3580                 NaN            NaN            NaN  0.642041                 NaN            NaN            NaN            NaN            NaN
  1474.20        2500.00                 NaN   99.3145                 NaN            NaN            NaN  0.999792E-001  0.585487                 NaN            NaN            NaN            NaN
  1472.68        2500.00                 NaN   99.0704                 NaN            NaN            NaN  0.310836       0.618738                 NaN            NaN            NaN            NaN
  1471.17        2500.00                 NaN   97.9885                 NaN            NaN            NaN  0.678388        1.33306                 NaN            NaN            NaN            NaN
  1469.66        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.15        2500.00                 NaN   99.3197                 NaN            NaN            NaN  0.452802       0.227482                 NaN            NaN            NaN            NaN
  1466.64        2500.00                 NaN   99.1068                 NaN            NaN            NaN  0.594654       0.298506                 NaN            NaN            NaN            NaN
  1465.13        2500.00                 NaN   99.1165                 NaN            NaN            NaN  0.295317       0.588149                 NaN            NaN            NaN            NaN
  1463.62        2500.00                 NaN   99.1243                 NaN            NaN            NaN  0.582733       0.292984                 NaN            NaN            NaN            NaN
  1462.11        2500.00                 NaN   99.1299                 NaN            NaN            NaN  0.291752       0.578305                 NaN            NaN            NaN            NaN
  1460.60        2500.00                 NaN   99.1339                 NaN            NaN            NaN  0.576429       0.289703                 NaN            NaN            NaN            NaN
  1459.09        2500.00                 NaN   99.1430                 NaN            NaN            NaN  0.286595       0.570396                 NaN            NaN            NaN            NaN
  1457.58        2500.00                 NaN   99.1484                 NaN            NaN            NaN  0.566653       0.284930                 NaN            NaN            NaN            NaN
  1456.07        2500.00                 NaN   99.1557                 NaN  0.147380E-005            NaN  0.561992       0.282338                 NaN            NaN            NaN            NaN
  1454.56        2500.00                 NaN   99.1593                 NaN            NaN            NaN  0.280080       0.560574                 NaN            NaN            NaN            NaN
  1453.05        2500.00                 NaN   99.1678                 NaN            NaN            NaN  0.278877       0.553316                 NaN            NaN            NaN            NaN
  1451.54        2500.00                 NaN   99.1727                 NaN            NaN            NaN  0.550630       0.276715                 NaN            NaN            NaN            NaN
  1450.03        2500.00                 NaN   99.1777                 NaN            NaN            NaN  0.547664       0.274594                 NaN            NaN            NaN            NaN
  1448.52        2500.00                 NaN   99.1835                 NaN            NaN            NaN  0.544958       0.271548                 NaN            NaN            NaN            NaN
  1447.01        2500.00                 NaN   99.1900                 NaN            NaN            NaN  0.270502       0.539494                 NaN            NaN            NaN            NaN
  1445.50        2500.00                 NaN   98.7103                 NaN            NaN            NaN  0.430835       0.858876                 NaN            NaN            NaN            NaN
  1443.99        2500.00                 NaN   99.7438                 NaN            NaN            NaN  0.169354       0.868690E-001            NaN            NaN            NaN            NaN
  1442.48        2500.00                 NaN   99.1439                 NaN            NaN            NaN  0.571935       0.284147                 NaN            NaN            NaN            NaN
  1440.97        2500.00                 NaN   99.2087                 NaN            NaN            NaN  0.263211       0.528086                 NaN            NaN            NaN            NaN
  1439.46        2500.00                 NaN   99.2169                 NaN            NaN            NaN  0.524007       0.259124                 NaN            NaN            NaN            NaN
  1437.95        2500.00                 NaN   99.2196                 NaN            NaN            NaN  0.521071       0.259307                 NaN            NaN            NaN            NaN
  1436.44        2500.00                 NaN   99.2234                 NaN            NaN            NaN  0.518685       0.257887                 NaN            NaN            NaN            NaN
  1434.93        2500.00                 NaN   99.2294                 NaN  0.131753E-003            NaN  0.514501       0.255938                 NaN            NaN            NaN            NaN
  1433.42        2500.00                 NaN   99.2337                 NaN            NaN            NaN  0.511680       0.254586                 NaN            NaN            NaN            NaN
  1431.91        2500.00                 NaN   99.2374                 NaN            NaN            NaN  0.510022       0.252582                 NaN            NaN            NaN            NaN
  1430.40        2500.00                 NaN   98.6202                 NaN            NaN            NaN  0.562669       0.518935                 NaN  0.298231                 NaN            NaN
  1428.89        2500.00                 NaN   98.1075                 NaN  0.534332E-001            NaN  0.744739       0.538584                 NaN  0.555729                 NaN            NaN
  1427.38        2500.00                 NaN   98.1001                 NaN  0.241865                 NaN  0.471218       0.601519                 NaN  0.585342                 NaN            NaN
  1425.87        2500.00                 NaN   98.1337                 NaN  0.240659                 NaN  0.591825       0.458632                 NaN  0.575204                 NaN            NaN
  1424.36        2500.00                 NaN   98.1667                 NaN  0.239697                 NaN  0.583832       0.444701                 NaN  0.565078                 NaN            NaN
  1422.85        2500.00                 NaN   98.1898                 NaN  0.239638                 NaN  0.433657       0.578420                 NaN  0.558497                 NaN            NaN
  1421.34        2500.00                 NaN   98.2340                 NaN  0.236994                 NaN  0.417909       0.566854                 NaN  0.544242                 NaN            NaN
  1419.83        2500.00                 NaN   98.2610                 NaN  0.235257                 NaN  0.558477       0.408922                 NaN  0.536322                 NaN            NaN
  1418.32        2500.00                 NaN   98.2870                 NaN  0.235111                 NaN  0.552298       0.397082                 NaN  0.528520                 NaN            NaN
  1416.81        2500.00                 NaN   98.3095                 NaN  0.234560                 NaN  0.545980       0.388093                 NaN  0.521821                 NaN            NaN
  1415.30        2500.00                 NaN   98.3482                 NaN  0.232700                 NaN  0.372499       0.536659                 NaN  0.509904                 NaN            NaN
  1413.79        2500.00                 NaN   98.3693                 NaN  0.232136                 NaN  0.364335       0.530800                 NaN  0.503461                 NaN            NaN
  1412.28        2500.00                 NaN   98.3938                 NaN  0.231157                 NaN  0.353785       0.525075                 NaN  0.496136                 NaN            NaN
  1410.77        2500.00                 NaN   98.4194                 NaN  0.230275                 NaN  0.343762       0.518426                 NaN  0.488100                 NaN            NaN
  1409.26        2500.00                 NaN   98.4452                 NaN  0.228874                 NaN  0.334741       0.511019                 NaN  0.480178                 NaN            NaN
  1407.75        2500.00                 NaN   98.4674                 NaN  0.228679                 NaN  0.325498       0.505074                 NaN  0.473370                 NaN            NaN
  1406.24        2500.00                 NaN   98.4917                 NaN  0.227500                 NaN  0.315773       0.498940                 NaN  0.466133                 NaN            NaN
  1404.73        2500.00                 NaN   98.5136                 NaN  0.226101                 NaN  0.307580       0.493754                 NaN  0.458973                 NaN            NaN
  1403.22        2500.00                 NaN   98.5365                 NaN  0.225722                 NaN  0.488055       0.297624                 NaN  0.452141                 NaN            NaN
  1401.71        2500.00                 NaN   98.5565                 NaN  0.226205                 NaN  0.287646       0.483514                 NaN  0.446121                 NaN            NaN
  1400.20        2500.00                 NaN   98.5795                 NaN  0.222684                 NaN  0.283188       0.476121                 NaN  0.438507                 NaN            NaN
  1398.69        2500.00                 NaN   98.5992                 NaN  0.223039                 NaN  0.471783       0.273267                 NaN  0.432757                 NaN            NaN
  1397.18        2500.00                 NaN   98.6192                 NaN  0.222004                 NaN  0.466283       0.266003                 NaN  0.426560                 NaN            NaN
  1395.67        2500.00                 NaN   98.6382                 NaN  0.221676                 NaN  0.257942       0.461408                 NaN  0.420727                 NaN            NaN
  1394.16        2500.00                 NaN   98.6580                 NaN  0.219879                 NaN  0.251327       0.456475                 NaN  0.414270                 NaN            NaN
