|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.75/WD94/WD94_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm           
  1602.56        2500.00       0.292776E-002   99.4584       0.437814       0.100840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.05        2500.00                 NaN   99.6013       0.352510       0.461902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.54        2500.00                 NaN   99.0143       0.867383       0.118314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.03        2500.00       0.832216E-003   98.8156        1.03716       0.146382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.52        2500.00                 NaN   99.8335       0.145962       0.205083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.01        2500.00                 NaN   99.3354       0.585195       0.793738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.50        2500.00                 NaN   99.3375       0.583445       0.790427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.99        2500.00                 NaN   99.3375       0.575875       0.866281E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.48        2500.00                 NaN   99.3580       0.579000       0.629692E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00                 NaN   99.3571       0.568482       0.744683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.46        2500.00                 NaN   99.3634       0.562506       0.741430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.95        2500.00                 NaN   99.3687       0.558678       0.725866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.44        2500.00                 NaN   99.3689       0.558786       0.723047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.93        2500.00                 NaN   99.3872       0.541988       0.707919E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.42        2500.00                 NaN   99.3874       0.541785       0.707963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00                 NaN   99.3902       0.541539       0.682128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.40        2500.00                 NaN   99.3723       0.556935       0.707329E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.89        2500.00                 NaN   99.4289       0.506589       0.645613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.38        2500.00                 NaN   99.4096       0.524072       0.663329E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        2500.00                 NaN   99.4137       0.520891       0.654587E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.36        2500.00                 NaN   99.4202       0.514512       0.652461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00                 NaN   99.4242       0.512538       0.632577E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.34        2500.00                 NaN   99.4218       0.515521       0.626322E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.83        2500.00                 NaN   99.4392       0.500081       0.607153E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.32        2500.00                 NaN   99.4399       0.498918       0.611396E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
