|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/LAR/LAR_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        iron           an             San(TH)        O(HP)          O(HP)          ilm            ne             lc            
  1451.92        2500.00       0.141712E-001   99.9355       0.456020E-001            NaN            NaN  0.228849E-002  0.241762E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        2500.00                 NaN   99.5278       0.116410       0.329517                 NaN  0.220768E-001  0.419703E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        2500.00       0.282903E-003   99.5096       0.309257       0.177392                 NaN            NaN  0.350502E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        2500.00       0.140175E-004   99.5141       0.175678       0.306728                 NaN            NaN  0.344877E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        2500.00       0.349046E-003   99.5072       0.309797       0.179339                 NaN            NaN  0.336222E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        2500.00       0.336811E-003   99.5296       0.295768       0.171074                 NaN            NaN  0.321213E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        2500.00       0.328979E-003   99.5236       0.173435       0.299447                 NaN            NaN  0.321273E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        2500.00       0.315778E-003   99.5261       0.172503       0.297925                 NaN            NaN  0.315208E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        2500.00       0.307298E-003   99.5013       0.313228       0.181775                 NaN            NaN  0.336888E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        2500.00       0.278000E-003   99.5597       0.161198       0.275960                 NaN            NaN  0.284028E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        2500.00       0.284517E-003   99.5352       0.169458       0.292061                 NaN            NaN  0.299967E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        2500.00       0.269507E-003   99.5388       0.168524       0.289502                 NaN            NaN  0.291086E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        2500.00       0.262709E-003   99.5413       0.167351       0.288192                 NaN            NaN  0.288645E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        2500.00       0.250212E-003   99.5445       0.166487       0.285916                 NaN            NaN  0.280951E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.06        2500.00       0.240843E-003   99.5474       0.165510       0.284086                 NaN            NaN  0.274801E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.232757E-003   99.5498       0.164685       0.282569                 NaN            NaN  0.271176E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        2500.00       0.241836E-003   99.5178       0.302656       0.176415                 NaN            NaN  0.284712E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.67        2500.00       0.195555E-003   99.5908       0.256675       0.149941                 NaN            NaN  0.238527E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        2500.00       0.297164E-002   99.5609       0.267127       0.167000                 NaN            NaN  0.202979E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.40        2500.00                 NaN   99.5294       0.279218       0.171177                 NaN            NaN  0.318352E-002  0.170456E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1429.27        2500.00                 NaN   98.7012       0.452650       0.369805                 NaN            NaN  0.209422E-001  0.455380                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.13        2500.00                 NaN   98.7278       0.444544       0.361260                 NaN            NaN  0.204188E-001  0.445993                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.00        2500.00                 NaN   98.7513       0.354375       0.436701                 NaN            NaN  0.198765E-001  0.437766                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.87        2500.00                 NaN   98.7739       0.347204       0.429477                 NaN            NaN  0.195088E-001  0.429924                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.74        2500.00                 NaN   98.8019       0.339889       0.419542                 NaN            NaN  0.188871E-001  0.419793                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.60        2500.00                 NaN   98.8204       0.413214       0.334442                 NaN            NaN  0.184999E-001  0.413407                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.47        2500.00                 NaN   98.8425       0.406265       0.327419                 NaN            NaN  0.180381E-001  0.405763                 NaN            NaN            NaN            NaN            NaN            NaN
