|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/LAR/LAR_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        iron           an             San(TH)        O(HP)          O(HP)          ilm            ne             lc            
  1439.46        2500.00       0.419867E-003   99.4458       0.201968       0.343852                 NaN            NaN  0.797319E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        2500.00       0.409075E-003   99.4486       0.200653       0.342445                 NaN            NaN  0.790903E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        2500.00       0.389566E-003   99.4523       0.199736       0.339902                 NaN            NaN  0.770085E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.06        2500.00       0.374828E-003   99.4555       0.198676       0.337883                 NaN            NaN  0.753484E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.362047E-003   99.4582       0.197794       0.336229                 NaN            NaN  0.743796E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        2500.00       0.376059E-003   99.4195       0.360288       0.211995                 NaN            NaN  0.781154E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.67        2500.00       0.304052E-003   99.5071       0.305726       0.180297                 NaN            NaN  0.654737E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        2500.00       0.462143E-002   99.4705       0.318333       0.200932                 NaN            NaN  0.557313E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.40        2500.00                 NaN   99.4355       0.332844       0.206043                 NaN            NaN  0.874365E-002  0.168947E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1429.27        2500.00                 NaN   98.5056       0.544844       0.440804                 NaN            NaN  0.575094E-001  0.451264                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.13        2500.00                 NaN   98.5349       0.535632       0.431021                 NaN            NaN  0.561230E-001  0.442348                 NaN            NaN            NaN            NaN            NaN            NaN
  1427.00        2500.00                 NaN   98.5607       0.423237       0.526768                 NaN            NaN  0.546814E-001  0.434564                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.87        2500.00                 NaN   98.5856       0.415052       0.518522                 NaN            NaN  0.537179E-001  0.427147                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.74        2500.00                 NaN   98.6168       0.406670       0.507069                 NaN            NaN  0.520525E-001  0.417441                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.60        2500.00                 NaN   98.6371       0.499941       0.400521                 NaN            NaN  0.510300E-001  0.411438                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.47        2500.00                 NaN   98.6615       0.492018       0.392489                 NaN            NaN  0.497998E-001  0.404173                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.34        2500.00                 NaN   98.6829       0.484261       0.386402                 NaN            NaN  0.487264E-001  0.397701                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.21        2500.00                 NaN   98.7073       0.378204       0.476507                 NaN            NaN  0.475067E-001  0.390462                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.07        2500.00                 NaN   98.7288       0.372057       0.468684                 NaN            NaN  0.466322E-001  0.383791                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.94        2500.00                 NaN   98.7507       0.461899       0.364947                 NaN            NaN  0.453946E-001  0.377054                 NaN            NaN            NaN            NaN            NaN            NaN
  1416.81        2500.00                 NaN   98.7703       0.359021       0.454999                 NaN            NaN  0.444935E-001  0.371149                 NaN            NaN            NaN            NaN            NaN            NaN
  1415.68        2500.00                 NaN   98.7901       0.353054       0.448234                 NaN            NaN  0.434526E-001  0.365163                 NaN            NaN            NaN            NaN            NaN            NaN
  1414.54        2500.00                 NaN   98.8104       0.346148       0.442075                 NaN            NaN  0.423872E-001  0.358952                 NaN            NaN            NaN            NaN            NaN            NaN
  1413.41        2500.00                 NaN   98.8288       0.340538       0.435748                 NaN            NaN  0.415298E-001  0.353428                 NaN            NaN            NaN            NaN            NaN            NaN
  1412.28        2500.00                 NaN   98.8475       0.429714       0.334592                 NaN            NaN  0.405511E-001  0.347659                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.15        2500.00                 NaN   98.8653       0.423805       0.329018                 NaN            NaN  0.395476E-001  0.342310                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.01        2500.00                 NaN   98.8807       0.323705       0.419031                 NaN            NaN  0.388084E-001  0.337799                 NaN            NaN            NaN            NaN            NaN            NaN
  1408.88        2500.00                 NaN   98.9022       0.317381       0.411689                 NaN            NaN  0.377848E-001  0.330939                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.75        2500.00                 NaN   98.9163       0.312967       0.406764                 NaN            NaN  0.371766E-001  0.326792                 NaN            NaN            NaN            NaN            NaN            NaN
  1406.61        2500.00                 NaN   98.9316       0.308298       0.401719                 NaN            NaN  0.363704E-001  0.321994                 NaN            NaN            NaN            NaN            NaN            NaN
  1405.48        2500.00                 NaN   98.9495       0.395950       0.302639                 NaN            NaN  0.353867E-001  0.316509                 NaN            NaN            NaN            NaN            NaN            NaN
  1404.35        2500.00                 NaN   98.9627       0.391907       0.298082                 NaN            NaN  0.346839E-001  0.312592                 NaN            NaN            NaN            NaN            NaN            NaN
  1403.22        2500.00                 NaN   98.9774       0.293437       0.387022                 NaN            NaN  0.339596E-001  0.308143                 NaN            NaN            NaN            NaN            NaN            NaN
  1402.08        2500.00                 NaN   98.9950       0.288214       0.381173                 NaN            NaN  0.330568E-001  0.302559                 NaN            NaN            NaN            NaN            NaN            NaN
  1400.95        2500.00                 NaN   99.0062       0.377113       0.284913                 NaN            NaN  0.325581E-001  0.299225                 NaN            NaN            NaN            NaN            NaN            NaN
  1399.82        2500.00                 NaN   99.0222       0.279072       0.372880                 NaN            NaN  0.315932E-001  0.294275                 NaN            NaN            NaN            NaN            NaN            NaN
  1398.69        2500.00                 NaN   99.0346       0.275405       0.368394                 NaN            NaN  0.310733E-001  0.290503                 NaN            NaN            NaN            NaN            NaN            NaN
  1397.55        2500.00                 NaN   99.0483       0.364063       0.271177                 NaN            NaN  0.302916E-001  0.286209                 NaN            NaN            NaN            NaN            NaN            NaN
  1396.42        2500.00                 NaN   99.0607       0.266823       0.360364                 NaN            NaN  0.296226E-001  0.282468                 NaN            NaN            NaN            NaN            NaN            NaN
  1395.29        2500.00                 NaN   99.0741       0.262739       0.355969                 NaN            NaN  0.289292E-001  0.278294                 NaN            NaN            NaN            NaN            NaN            NaN
  1394.16        2500.00                 NaN   99.0860       0.258875       0.352123                 NaN            NaN  0.283454E-001  0.274686                 NaN            NaN            NaN            NaN            NaN            NaN
  1393.02        2500.00                 NaN   99.0977       0.348342       0.255112                 NaN            NaN  0.277427E-001  0.271089                 NaN            NaN            NaN            NaN            NaN            NaN
  1391.89        2500.00                 NaN   99.1092       0.250833       0.345298                 NaN            NaN  0.271027E-001  0.267582                 NaN            NaN            NaN            NaN            NaN            NaN
  1390.76        2500.00                 NaN   99.1226       0.247078       0.340658                 NaN            NaN  0.264005E-001  0.263241                 NaN            NaN            NaN            NaN            NaN            NaN
  1389.63        2500.00                 NaN   99.1324       0.337543       0.243858                 NaN            NaN  0.258388E-001  0.260358                 NaN            NaN            NaN            NaN            NaN            NaN
  1388.49        2500.00                 NaN   99.1439       0.240242       0.333790                 NaN            NaN  0.252959E-001  0.256739                 NaN            NaN            NaN            NaN            NaN            NaN
  1387.36        2500.00                 NaN   99.1545       0.236347       0.330893                 NaN            NaN  0.246562E-001  0.253555                 NaN            NaN            NaN            NaN            NaN            NaN
  1386.23        2500.00                 NaN   99.1644       0.327541       0.233358                 NaN            NaN  0.242057E-001  0.250452                 NaN            NaN            NaN            NaN            NaN            NaN
  1385.09        2500.00                 NaN   99.1760       0.324135       0.229430                 NaN            NaN  0.235576E-001  0.246889                 NaN            NaN            NaN            NaN            NaN            NaN
  1383.96        2500.00                 NaN   99.1859       0.320682       0.226624                 NaN            NaN  0.230409E-001  0.243776                 NaN            NaN            NaN            NaN            NaN            NaN
  1382.83        2500.00                 NaN   99.2255       0.305865       0.214838                 NaN            NaN  0.218022E-001  0.231946                 NaN            NaN            NaN            NaN            NaN            NaN
  1381.70        2500.00                 NaN   99.1756       0.326520       0.228641                 NaN            NaN  0.227612E-001  0.246455                 NaN            NaN            NaN            NaN            NaN            NaN
  1380.56        2500.00                 NaN   99.2148       0.217127       0.311870                 NaN            NaN  0.214832E-001  0.234762                 NaN            NaN            NaN            NaN            NaN            NaN
  1379.43        2500.00                 NaN   99.2240       0.309134       0.213949                 NaN            NaN  0.209611E-001  0.231911                 NaN            NaN            NaN            NaN            NaN            NaN
  1378.30        2500.00                 NaN   99.2330       0.211057       0.306384                 NaN            NaN  0.204636E-001  0.229128                 NaN            NaN            NaN            NaN            NaN            NaN
  1377.17        2500.00                 NaN   99.2417       0.303769       0.208073                 NaN            NaN  0.200111E-001  0.226461                 NaN            NaN            NaN            NaN            NaN            NaN
  1376.03        2500.00                 NaN   99.2488       0.301577       0.205550                 NaN            NaN  0.196348E-001  0.224412                 NaN            NaN            NaN            NaN            NaN            NaN
  1374.90        2500.00                 NaN   99.2619       0.201398       0.297806                 NaN            NaN  0.189114E-001  0.220012                 NaN            NaN            NaN            NaN            NaN            NaN
  1373.77        2500.00                 NaN   99.2676       0.295992       0.199537                 NaN            NaN  0.185508E-001  0.218354                 NaN            NaN            NaN            NaN            NaN            NaN
  1372.64        2500.00                 NaN   99.2767       0.196218       0.293596                 NaN            NaN  0.180351E-001  0.215485                 NaN            NaN            NaN            NaN            NaN            NaN
  1371.50        2500.00                 NaN   99.2828       0.290260       0.195326                 NaN            NaN  0.178773E-001  0.213701                 NaN            NaN            NaN            NaN            NaN            NaN
  1370.37        2500.00                 NaN   99.2938       0.190321       0.288867                 NaN            NaN  0.170114E-001  0.209962                 NaN            NaN            NaN            NaN            NaN            NaN
  1369.24        2500.00                 NaN   99.2997       0.188812       0.286405                 NaN            NaN  0.167694E-001  0.208337                 NaN            NaN            NaN            NaN            NaN            NaN
  1368.11        2500.00                 NaN   99.3066       0.186124       0.284807                 NaN            NaN  0.163025E-001  0.206211                 NaN            NaN            NaN            NaN            NaN            NaN
  1366.97        2500.00                 NaN   99.3160       0.281898       0.183087                 NaN            NaN  0.157940E-001  0.203171                 NaN            NaN            NaN            NaN            NaN            NaN
  1365.84        2500.00                 NaN   99.3229       0.279978       0.180665                 NaN            NaN  0.154352E-001  0.201021                 NaN            NaN            NaN            NaN            NaN            NaN
  1364.71        2500.00                 NaN   99.3297       0.178471       0.277841                 NaN            NaN  0.150559E-001  0.198901                 NaN            NaN            NaN            NaN            NaN            NaN
  1363.57        2500.00                 NaN   99.3348       0.276336       0.176768                 NaN            NaN  0.147375E-001  0.197357                 NaN            NaN            NaN            NaN            NaN            NaN
  1362.44        2500.00                 NaN   99.3458       0.273266       0.173071                 NaN            NaN  0.141172E-001  0.193793                 NaN            NaN            NaN            NaN            NaN            NaN
  1361.31        2500.00                 NaN   99.3504       0.171255       0.272161                 NaN            NaN  0.137825E-001  0.192447                 NaN            NaN            NaN            NaN            NaN            NaN
  1360.18        2500.00                 NaN   99.3575       0.168897       0.270019                 NaN            NaN  0.134163E-001  0.190178                 NaN            NaN            NaN            NaN            NaN            NaN
  1359.04        2500.00                 NaN   99.3639       0.268294       0.166653                 NaN            NaN  0.130125E-001  0.188182                 NaN            NaN            NaN            NaN            NaN            NaN
  1357.91        2500.00                 NaN   99.3704       0.164399       0.266408                 NaN            NaN  0.126484E-001  0.186119                 NaN            NaN            NaN            NaN            NaN            NaN
  1356.78        2500.00                 NaN   99.3767       0.162156       0.264711                 NaN            NaN  0.122704E-001  0.184164                 NaN            NaN            NaN            NaN            NaN            NaN
  1355.65        2500.00                 NaN   99.3832       0.159785       0.263037                 NaN            NaN  0.118920E-001  0.182120                 NaN            NaN            NaN            NaN            NaN            NaN
  1354.51        2500.00                 NaN   99.3891       0.157922       0.261222                 NaN            NaN  0.115328E-001  0.180265                 NaN            NaN            NaN            NaN            NaN            NaN
  1353.38        2500.00                 NaN   99.3951       0.259950       0.155508                 NaN            NaN  0.111080E-001  0.178380                 NaN            NaN            NaN            NaN            NaN            NaN
  1352.25        2500.00                 NaN   99.4011       0.258143       0.153461                 NaN            NaN  0.107865E-001  0.176481                 NaN            NaN            NaN            NaN            NaN            NaN
  1351.12        2500.00                 NaN   99.4069       0.256439       0.151589                 NaN            NaN  0.104586E-001  0.174652                 NaN            NaN            NaN            NaN            NaN            NaN
  1349.98        2500.00                 NaN   99.4126       0.254986       0.149530                 NaN            NaN  0.100685E-001  0.172849                 NaN            NaN            NaN            NaN            NaN            NaN
  1348.85        2500.00                 NaN   99.4175       0.254128       0.147344                 NaN            NaN  0.967300E-002  0.171346                 NaN            NaN            NaN            NaN            NaN            NaN
  1347.72        2500.00                 NaN   99.4245       0.145219       0.251909                 NaN            NaN  0.932822E-002  0.169006                 NaN            NaN            NaN            NaN            NaN            NaN
  1346.59        2500.00                 NaN   99.4290       0.143631       0.250678                 NaN            NaN  0.903597E-002  0.167607                 NaN            NaN            NaN            NaN            NaN            NaN
  1345.45        2500.00                 NaN   99.4338       0.141591       0.249528                 NaN            NaN  0.880642E-002  0.166260                 NaN            NaN            NaN            NaN            NaN            NaN
  1344.32        2500.00                 NaN   99.4404       0.139795       0.247482                 NaN            NaN  0.839039E-002  0.163975                 NaN            NaN            NaN            NaN            NaN            NaN
  1343.19        2500.00                 NaN   99.4448       0.246647       0.137853                 NaN            NaN  0.806014E-002  0.162656                 NaN            NaN            NaN            NaN            NaN            NaN
  1342.05        2500.00                 NaN   99.5300       0.209500       0.116210                 NaN            NaN  0.664729E-002  0.137621                 NaN            NaN            NaN            NaN            NaN            NaN
  1340.92        2500.00                 NaN   99.3748       0.153885       0.280064                 NaN            NaN  0.845428E-002  0.182818                 NaN            NaN            NaN            NaN            NaN            NaN
  1339.79        2500.00                 NaN   99.4598       0.242829       0.132407                 NaN            NaN  0.705282E-002  0.157888                 NaN            NaN            NaN            NaN            NaN            NaN
  1338.66        2500.00                 NaN   99.4647       0.241807       0.130407                 NaN            NaN  0.674609E-002  0.156356                 NaN            NaN            NaN            NaN            NaN            NaN
  1337.52        2500.00                 NaN   99.4685       0.241027       0.128690                 NaN            NaN  0.653653E-002  0.155222                 NaN            NaN            NaN            NaN            NaN            NaN
  1336.39        2500.00                 NaN   99.4747       0.239696       0.126592                 NaN            NaN  0.599128E-002  0.153057                 NaN            NaN            NaN            NaN            NaN            NaN
  1335.26        2500.00                 NaN   99.4785       0.238456       0.125300                 NaN            NaN  0.579825E-002  0.151978                 NaN            NaN            NaN            NaN            NaN            NaN
  1334.13        2500.00                 NaN   99.4829       0.237442       0.123544                 NaN            NaN  0.550568E-002  0.150560                 NaN            NaN            NaN            NaN            NaN            NaN
  1332.99        2500.00                 NaN   99.4964       0.232332       0.119551                 NaN            NaN  0.514189E-002  0.146565                 NaN            NaN            NaN            NaN            NaN            NaN
  1331.86        2500.00                 NaN   99.9283       0.529846E-001            NaN            NaN            NaN  0.812846E-003  0.179312E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1330.73        2500.00                 NaN   99.0518       0.241197       0.420105                 NaN            NaN  0.849743E-002  0.278406                 NaN            NaN            NaN            NaN            NaN            NaN
  1329.60        2500.00                 NaN   99.5003       0.233336       0.116960                 NaN            NaN  0.435039E-002  0.145040                 NaN            NaN            NaN            NaN            NaN            NaN
  1328.46        2500.00                 NaN   99.5044       0.115320       0.232551                 NaN            NaN  0.401778E-002  0.143732                 NaN            NaN            NaN            NaN            NaN            NaN
  1327.33        2500.00                 NaN   99.5086       0.231462       0.113802                 NaN            NaN  0.375172E-002  0.142374                 NaN            NaN            NaN            NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.5124       0.231212       0.111778                 NaN            NaN  0.340948E-002  0.141242                 NaN            NaN            NaN            NaN            NaN            NaN
  1325.07        2500.00                 NaN   99.5167       0.110422       0.229961                 NaN            NaN  0.314270E-002  0.139785                 NaN            NaN            NaN            NaN            NaN            NaN
  1323.93        2500.00                 NaN   99.5202       0.109017       0.229246                 NaN            NaN  0.284041E-002  0.138717                 NaN            NaN            NaN            NaN            NaN            NaN
  1322.80        2500.00                 NaN   99.5242       0.107527       0.228303                 NaN            NaN  0.258983E-002  0.137376                 NaN            NaN            NaN            NaN            NaN            NaN
  1321.67        2500.00                 NaN   99.5278       0.227805       0.105768                 NaN            NaN  0.230410E-002  0.136324                 NaN            NaN            NaN            NaN            NaN            NaN
  1320.53        2500.00                 NaN   99.5318       0.104065       0.227086                 NaN            NaN  0.200710E-002  0.135028                 NaN            NaN            NaN            NaN            NaN            NaN
  1319.40        2500.00                 NaN   99.5352       0.102803       0.226373                 NaN            NaN  0.172319E-002  0.133946                 NaN            NaN            NaN            NaN            NaN            NaN
  1318.27        2500.00                 NaN   88.7709        1.82253        1.20487                 NaN            NaN  0.177308        1.40328        6.62110                 NaN            NaN            NaN            NaN            NaN
  1317.14        2500.00                 NaN   81.6028        1.94948        2.84467                 NaN            NaN  0.298590        2.23635        11.0681                 NaN            NaN            NaN            NaN            NaN
  1316.00        2500.00                 NaN   83.6994        2.49843        1.74336                 NaN            NaN  0.268693        1.97913        9.81096                 NaN            NaN            NaN            NaN            NaN
  1314.87        2500.00                 NaN   85.3951        2.22064        1.57399                 NaN            NaN  0.244702        1.77144        8.79417                 NaN            NaN            NaN            NaN            NaN
  1313.74        2500.00                 NaN   86.7885        1.42873        1.99939                 NaN            NaN  0.224092        1.60149        7.95779                 NaN            NaN            NaN            NaN            NaN
  1312.61        2500.00                 NaN   87.9674        1.30631        1.81150                 NaN            NaN  0.206848        1.45775        7.25019                 NaN            NaN            NaN            NaN            NaN
  1311.47        2500.00                 NaN   88.9734        1.20070        1.65250                 NaN            NaN  0.192274        1.33533        6.64577                 NaN            NaN            NaN            NaN            NaN
  1310.34        2500.00                 NaN   89.8339        1.10898        1.51761                 NaN            NaN  0.179915        1.23077        6.12886                 NaN            NaN            NaN            NaN            NaN
  1309.21        2500.00                 NaN   90.5862        1.02877        1.40091                 NaN            NaN  0.168718        1.13949        5.67595                 NaN            NaN            NaN            NaN            NaN
  1308.08        2500.00                 NaN   91.2488       0.957170        1.29908                 NaN            NaN  0.158903        1.05922        5.27681                 NaN            NaN            NaN            NaN            NaN
  1306.94        2500.00                 NaN   91.8378       0.893477        1.20861                 NaN            NaN  0.150380       0.987903        4.92183                 NaN            NaN            NaN            NaN            NaN
  1305.81        2500.00                 NaN   92.3549        1.13076       0.836931                 NaN            NaN  0.142572       0.925319        4.60957                 NaN            NaN            NaN            NaN            NaN
  1304.68        2500.00                 NaN   92.8373        1.06289       0.780937                 NaN            NaN  0.134494       0.867741        4.31665                 NaN            NaN            NaN            NaN            NaN
  1303.55        2500.00                 NaN   93.2650       0.996231       0.736866                 NaN            NaN  0.128473       0.815702        4.05775                 NaN            NaN            NaN            NaN            NaN
  1302.41        2500.00                 NaN   93.6464       0.693971       0.940710                 NaN            NaN  0.122685       0.769801        3.82647                 NaN            NaN            NaN            NaN            NaN
  1301.28        2500.00                 NaN   94.0034       0.889621       0.654049                 NaN            NaN  0.116892       0.726957        3.60904                 NaN            NaN            NaN            NaN            NaN
  1300.15        2500.00                 NaN   94.3214       0.844453       0.618219                 NaN            NaN  0.111824       0.688750        3.41531                 NaN            NaN            NaN            NaN            NaN
  1299.01        2500.00                 NaN   94.6216       0.584279       0.803104                 NaN            NaN  0.106689       0.652765        3.23158                 NaN            NaN            NaN            NaN            NaN
  1297.88        2500.00                 NaN   94.8910       0.765908       0.553598                 NaN            NaN  0.102241       0.620522        3.06668                 NaN            NaN            NaN            NaN            NaN
  1296.75        2500.00                 NaN   95.1411       0.524984       0.732221                 NaN            NaN  0.979460E-001  0.590578        2.91313                 NaN            NaN            NaN            NaN            NaN
  1295.62        2500.00                 NaN   95.3745       0.701757       0.498065                 NaN            NaN  0.936630E-001  0.562729        2.76930                 NaN            NaN            NaN            NaN            NaN
  1294.48        2500.00                 NaN   95.5894       0.472900       0.674397                 NaN            NaN  0.897306E-001  0.537165        2.63637                 NaN            NaN            NaN            NaN            NaN
  1293.35        2500.00                 NaN   95.7874       0.450127       0.648638                 NaN            NaN  0.861281E-001  0.513396        2.51429                 NaN            NaN            NaN            NaN            NaN
  1292.22        2500.00                 NaN   95.9649       0.429387       0.626685                 NaN            NaN  0.827800E-001  0.492132        2.40415                 NaN            NaN            NaN            NaN            NaN
  1291.09        2500.00                 NaN   96.1372       0.409092       0.605349                 NaN            NaN  0.794390E-001  0.471642        2.29727                 NaN            NaN            NaN            NaN            NaN
  1289.95        2500.00                 NaN   96.2906       0.390753       0.587383                 NaN            NaN  0.763698E-001  0.453284        2.20156                 NaN            NaN            NaN            NaN            NaN
  1288.82        2500.00                 NaN   96.4394       0.569495       0.373382                 NaN            NaN  0.734169E-001  0.435509        2.10876                 NaN            NaN            NaN            NaN            NaN
  1287.69        2500.00                 NaN   96.5755       0.357180       0.554017                 NaN            NaN  0.704606E-001  0.419346        2.02354                 NaN            NaN            NaN            NaN            NaN
  1286.56        2500.00                 NaN   96.7037       0.539899       0.341691                 NaN            NaN  0.677029E-001  0.404067        1.94297                 NaN            NaN            NaN            NaN            NaN
  1285.42        2500.00                 NaN   96.8217       0.526558       0.327600                 NaN            NaN  0.651988E-001  0.389854        1.86906                 NaN            NaN            NaN            NaN            NaN
  1284.29        2500.00                 NaN   96.9333       0.312961       0.515805                 NaN            NaN  0.625871E-001  0.376847        1.79848                 NaN            NaN            NaN            NaN            NaN
  1283.16        2500.00                 NaN   96.9192       0.457993                 NaN            NaN            NaN  0.339582E-001  0.367225        1.93227       0.289313                 NaN            NaN            NaN            NaN
  1282.03        2500.00                 NaN   97.0157       0.443691                 NaN            NaN            NaN  0.324855E-001  0.355755        1.87025       0.282119                 NaN            NaN            NaN            NaN
  1280.89        2500.00                 NaN   97.1119       0.432476                 NaN            NaN            NaN  0.314685E-001  0.344116        1.80795       0.272117                 NaN            NaN            NaN            NaN
  1279.76        2500.00                 NaN   97.2061       0.421226                 NaN            NaN            NaN  0.304190E-001  0.332660        1.74691       0.262680                 NaN            NaN            NaN            NaN
  1278.63        2500.00                 NaN   97.2891       0.411391                 NaN            NaN            NaN  0.294815E-001  0.322659        1.69313       0.254243                 NaN            NaN            NaN            NaN
  1277.49        2500.00                 NaN   97.3780       0.401214                 NaN            NaN            NaN  0.285699E-001  0.311932        1.63509       0.245151                 NaN            NaN            NaN            NaN
  1276.36        2500.00                 NaN   97.4532       0.391694                 NaN            NaN            NaN  0.277235E-001  0.302638        1.58690       0.237844                 NaN            NaN            NaN            NaN
  1275.23        2500.00                 NaN   96.9583       0.118752       0.852310                 NaN            NaN  0.526375E-001  0.425825        1.59220                 NaN            NaN            NaN            NaN            NaN
  1274.10        2500.00                 NaN   96.8007       0.519742                 NaN            NaN            NaN  0.114174E-001  0.337965        2.03737       0.292816                 NaN            NaN            NaN            NaN
  1272.96        2500.00                 NaN   97.2113       0.599943       0.147343                 NaN            NaN  0.576829E-001  0.352736        1.63097                 NaN            NaN            NaN            NaN            NaN
  1271.83        2500.00                 NaN   95.0212       0.644126E-001   1.23694                 NaN            NaN  0.110730       0.665028        2.90174                 NaN            NaN            NaN            NaN            NaN
  1270.70        2500.00                 NaN   99.7511       0.237840                 NaN            NaN            NaN  0.110217E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1269.57        2500.00                 NaN   99.7089       0.128263                 NaN            NaN            NaN            NaN  0.343722E-001  0.128474                 NaN            NaN            NaN            NaN            NaN
  1268.43        2500.00                 NaN   97.5143       0.147774       0.708386                 NaN            NaN  0.269687E-001  0.363566        1.23901                 NaN            NaN            NaN            NaN            NaN
  1267.30        2500.00                 NaN   97.0221       0.376256                 NaN            NaN            NaN  0.355448E-001  0.286942        2.06615       0.212992                 NaN            NaN            NaN            NaN
  1266.17        2500.00                 NaN   96.8760       0.483288                 NaN            NaN            NaN  0.384612E-001  0.462279        1.75365       0.386295                 NaN            NaN            NaN            NaN
  1265.04        2500.00                 NaN   99.4199       0.908083E-001            NaN            NaN            NaN  0.201803E-002  0.813804E-001  0.334750       0.711572E-001            NaN            NaN            NaN            NaN
  1263.90        2500.00                 NaN   98.4626       0.460988                 NaN            NaN            NaN  0.523342E-002  0.737617E-001  0.997383                 NaN            NaN            NaN            NaN            NaN
  1262.77        2500.00                 NaN   98.7714       0.290704                 NaN            NaN            NaN  0.415140E-001  0.137032       0.759331                 NaN            NaN            NaN            NaN            NaN
  1261.64        2500.00                 NaN   98.6905       0.243082       0.724650E-001            NaN            NaN  0.300895E-001  0.150918       0.801835       0.111421E-001            NaN            NaN            NaN            NaN
  1260.51        2500.00                 NaN   98.0754       0.376123                 NaN            NaN            NaN  0.534695E-001  0.241772        1.10074       0.152475                 NaN            NaN            NaN            NaN
  1259.37        2500.00                 NaN   98.4486       0.484112E-001  0.296535                 NaN            NaN            NaN  0.193479       0.895652       0.117330                 NaN            NaN            NaN            NaN
  1258.24        2500.00                 NaN   97.2621       0.181315       0.622624                 NaN            NaN            NaN  0.436316        1.23850       0.221389                 NaN  0.377727E-001            NaN            NaN
  1257.11        2500.00                 NaN   98.4530       0.172302                 NaN            NaN            NaN            NaN  0.797044E-001   1.22620       0.388545E-001            NaN  0.298963E-001            NaN            NaN
  1255.97        2500.00                 NaN   90.0102        1.78808       0.892266E-002            NaN            NaN            NaN  0.865406        5.04763       0.240621       0.106183       0.361015        1.57196                 NaN
